"offspring" "father" "occurences"
3397 1522 1
2287 2599 8
401 1837 3
2275 2599 4
3366 1522 3
2098 112 1
2940 3880 3
1590 1522 8
2849 1837 3
2808 1837 3
1754 3880 2
1594 1522 8
413 1837 3
955 1888 8
767 1504 2
1963 1888 8
3644 1888 8
1604 1522 7
2671 1888 8
2979 1837 2
2838 1837 3
1631 139 12
819 2000 4
2295 1138 2
1013 779 3
3066 2398 1
2923 1837 3
2310 2000 4
818 779 5
546 779 5
2205 1504 5
1583 779 4
3073 1138 7
3144 779 5
545 779 3
3415 2000 4
3156 1097 8
2166 779 5
3983 779 5
1573 1504 8
3460 2000 5
2663 779 5
1623 1504 8
2688 2000 5
3122 2000 5
3024 2599 7
2301 2000 5
3736 2000 3
3033 2000 3
2267 1837 10
2172 1504 7
3062 3315 1
60 1491 1
770 1073 14
322 438 2
2903 1389 3
1191 3013 3
2265 2537 2
3404 1504 9
2849 2537 1
3619 112 1
2815 245 4
543 1491 1
1257 1837 8
815 3013 3
3977 2537 2
597 438 2
3364 3363 5
1222 3363 2
2877 3013 8
3463 1501 2
2856 3013 5
2908 1838 1
1952 1837 2
2980 1838 1
2881 1838 1
2818 2537 2
3770 3363 2
3114 139 4
3092 2599 1
850 3315 1
1343 1097 16
1235 2599 1
2990 3315 1
2941 1501 3
3475 438 2
1357 1097 3
3431 3013 8
1592 1491 1
2268 2537 1
1189 3363 1
1252 3315 1
2838 2537 1
3069 2599 1
2638 1491 1
3973 2537 2
959 3363 5
1161 3455 2
4038 3870 2
3642 3455 2
2655 3455 2
4007 3870 2
3403 1073 3
4000 2599 1
2074 3870 2
1223 3870 2
1381 1831 2
2234 139 10
1343 3870 1
3157 1831 2
2918 3870 2
349 3455 2
472 139 2
463 139 2
766 1563 2
3996 1563 2
3103 1808 1
3061 3013 5
2861 139 2
1239 1808 1
1947 1563 2
3771 1563 2
1335 3013 5
1956 2129 3
2626 1522 1
2885 3571 1
1234 1073 7
2719 1389 1
2203 139 4
1375 2129 3
182 2586 4
851 1073 2
2280 1138 1
64 1888 2
63 1888 1
3688 1138 1
3922 1888 1
2010 1504 1
1155 1888 2
2664 2599 6
3770 298 4
2779 298 1
1974 1504 6
4005 298 3
2954 3572 2
2164 1781 3
2275 1389 6
1959 1561 1
3690 1561 1
2043 1781 3
1182 3572 3
3961 1781 3
827 1561 1
2909 1561 1
3927 1504 1
1375 1561 1
593 1781 2
182 2387 1
2668 2387 9
2878 1561 1
3318 3572 3
2671 1561 1
3771 1781 2
3971 3572 3
2153 1504 6
1174 1501 1
3054 139 1
1221 1097 2
1660 92 1
2101 1805 1
2094 1805 1
3405 3158 1
678 3363 3
804 3158 1
1572 779 3
1581 1755 1
2942 92 1
1724 1755 1
3696 92 1
845 3158 1
3640 92 1
2069 1805 1
3374 1805 1
2887 92 1
1573 1755 1
1579 1805 1
2734 1755 1
3125 3363 1
1640 1755 1
3999 1837 1
4023 3158 1
1349 1805 1
2076 1805 1
2730 1805 1
2153 1755 1
1259 1805 1
1580 1805 1
3647 1618 3
199 3455 1
3692 1618 1
3102 1618 1
2823 3363 1
881 1618 1
3707 1618 2
479 1618 1
182 1618 3
1163 3455 1
3378 2387 1
3978 1618 3
2267 1073 2
1256 3571 3
3425 3013 2
2231 1837 1
2266 3571 3
3065 1837 1
1192 779 2
3073 1837 1
3140 779 2
2782 3013 2
822 3013 5
1245 25 1
3049 2387 1
61 25 1
548 25 1
2229 25 1
3695 3807 1
2033 3807 1
3921 3807 1
2792 3867 4
4017 1563 1
831 3807 1
3940 3807 1
2651 1563 1
3992 3807 1
3962 3807 1
3627 3867 2
3689 3867 4
1641 3867 1
2892 2599 1
675 3867 1
3969 3867 4
280 1618 1
2872 1618 1
2826 139 3
3703 1618 2
1640 2599 1
2667 1522 1
2709 1522 2
332 1781 1
1588 1522 1
2177 3571 2
2730 1522 1
3355 1073 1
2649 1073 1
3692 2586 1
2877 1097 1
811 1837 1
3358 1501 2
3399 3867 1
772 3740 1
1957 1888 1
2302 3261 1
71 18 1
2087 18 1
2260 3867 2
1640 1504 2
3074 3261 1
3427 18 1
2267 3261 1
3656 1888 1
2253 1073 1
819 298 1
2811 1073 1
3716 1501 3
2993 298 1
3736 298 1
3678 2129 2
1247 2000 1
1013 1831 1
2030 3363 2
1374 1097 1
1261 2599 1
3024 1831 1
595 2129 1
2979 2398 1
2988 779 1
4038 3884 1
1223 3884 1
1248 3884 1
2918 3884 1
729 3016 1
2781 3856 1
2014 3016 1
1228 3856 1
2862 2387 2
1220 3016 1
3717 3016 1
3643 3856 2
3375 3856 2
3401 3856 1
3987 3013 1
2870 3013 1
3147 3013 1
2691 1073 1
2626 568 1
2315 568 1
1236 2537 1
1637 568 1
1238 568 1
3946 568 1
2227 2537 1
1404 568 1
2988 568 1
2954 1065 1
2219 2136 1
3691 3363 1
3981 3363 1
2915 1065 1
2151 1501 1
3312 1065 1
183 2136 1
1967 2136 1
544 2136 1
3674 1138 1
2019 1501 1
