"offspring" "father" "occurences"
2247 1837 29
1002 2387 15
2049 2398 2
3699 139 29
3094 1389 18
3981 2398 4
2653 1837 30
3112 139 29
2859 139 22
3690 2129 5
2052 3571 28
3961 112 1
2065 2599 28
2778 1097 5
3398 2129 2
3355 1501 11
1213 2599 14
2767 1097 5
3056 112 12
3970 2398 4
765 3571 17
827 2129 4
2904 1389 29
2909 2129 5
815 1097 6
462 245 22
1008 2599 30
950 2387 15
2719 1097 5
3955 1501 21
2706 2599 30
1952 245 25
2306 1097 25
2888 112 13
2307 1389 29
2693 112 13
275 1389 29
3461 1501 21
2289 1389 30
3612 139 29
4043 1837 29
2841 139 29
2152 139 7
884 2387 15
3021 1501 1
2637 1837 28
2218 245 26
2936 1501 19
3631 245 26
2729 3571 8
2080 1097 28
4029 1097 29
1200 1837 30
2682 112 1
2620 245 4
273 2129 2
2985 2387 14
3370 1501 16
942 1389 19
3695 1138 5
2224 2586 5
2295 1837 11
2270 3761 1
1353 3811 1
401 3740 1
2195 3761 1
1371 3811 1
2690 2488 1
2317 3880 4
2970 1808 3
2292 3880 1
1061 1504 20
1699 3880 5
2923 3740 3
3633 2136 2
3403 696 3
2012 1073 1
1345 1808 3
553 3571 1
3102 2136 2
68 3880 5
2308 3880 4
3956 1900 2
806 298 10
856 1900 2
1367 1837 14
3350 1808 2
2628 3880 5
1155 3761 1
2715 696 3
1243 1900 2
2856 2488 1
813 2599 19
2162 1504 21
2199 2586 5
4017 2586 1
2658 1389 6
3480 3811 1
3088 1073 9
1181 298 7
3703 2586 2
3624 1900 1
2870 2488 1
2184 3880 4
1343 1138 5
964 1504 16
2731 1504 2
1365 1073 15
1627 1504 17
2226 1504 3
1985 1900 2
1341 1900 2
851 2586 1
3672 298 11
1999 2586 5
2986 139 7
3451 3880 5
1357 1138 8
3431 2488 1
540 3880 5
2917 2586 1
2103 3880 3
2003 2586 1
2313 3880 5
594 298 12
2782 1097 4
2660 298 10
2975 696 2
1259 3761 1
1358 1138 8
1625 2136 1
2722 696 3
