"OffspringID" "ParentID" "sex" "yearOffsp" "ClassAgeParent" "YearParent"
"2014" "1808" "M" "2014" "Adult" "2014"
"3350" "1808" "M" "2016" "Adult" "2014"
"3364" "3363" "M" "2016" "Adult" "2016"
"884" "2387" "M" "2013" "Adult" "2014"
"458" "139" "M" "2013" "Adult" "2013"
"813" "2599" "M" "2013" "Adult" "2015"
"1631" "139" "M" "2013" "Adult" "2013"
"819" "298" "M" "2013" "Adult" "2013"
"2247" "1837" "M" "2014" "Adult" "2014"
"3094" "1389" "M" "2015" "Adult" "2013"
"2653" "1837" "M" "2015" "Adult" "2014"
"2859" "139" "M" "2015" "Adult" "2013"
"2065" "2599" "M" "2014" "Adult" "2015"
"3355" "1501" "M" "2016" "Adult" "2013"
"1213" "2599" "M" "2013" "Adult" "2015"
"3056" "112" "M" "2015" "Adult" "2013"
"2904" "1389" "M" "2015" "Adult" "2013"
"950" "2387" "M" "2013" "Adult" "2014"
"3955" "1501" "M" "2016" "Adult" "2013"
"1952" "245" "M" "2014" "Adult" "2013"
"2306" "1097" "M" "2014" "Adult" "2013"
"2888" "112" "M" "2015" "Adult" "2013"
"2307" "1389" "M" "2014" "Adult" "2013"
"2693" "112" "M" "2015" "Adult" "2013"
"3461" "1501" "M" "2016" "Adult" "2013"
"4043" "1837" "M" "2016" "Adult" "2014"
"2841" "139" "M" "2015" "Adult" "2013"
"2637" "1837" "M" "2015" "Adult" "2014"
"2936" "1501" "M" "2015" "Adult" "2013"
"4029" "1097" "M" "2016" "Adult" "2013"
"1200" "1837" "M" "2013" "Adult" "2014"
"2985" "2387" "M" "2015" "Adult" "2014"
"3370" "1501" "M" "2016" "Adult" "2013"
"1061" "1504" "M" "2013" "Adult" "2013"
"1367" "1837" "M" "2013" "Adult" "2014"
"964" "1504" "M" "2013" "Adult" "2013"
"1365" "1073" "M" "2013" "Adult" "2013"
"3672" "298" "M" "2016" "Adult" "2013"
"2660" "298" "M" "2015" "Adult" "2013"
"770" "1073" "M" "2013" "Adult" "2013"
"3647" "110" "F" "2016" "Adult" "2013"
"3039" "3043" "F" "2015" "Adult" "2015"
"3425" "3421" "F" "2016" "Adult" "2016"
"1260" "1873" "F" "2013" "Adult" "2014"
"953" "751" "F" "2013" "Adult" "2013"
"1221" "1681" "F" "2013" "Adult" "2014"
"2231" "1085" "F" "2014" "Adult" "2013"
"3685" "2820" "F" "2016" "Adult" "2015"
"1660" "2932" "F" "2013" "Adult" "2015"
"2219" "3176" "F" "2014" "Adult" "2015"
"1989" "1053" "F" "2014" "Adult" "2013"
"1253" "3632" "F" "2013" "Adult" "2016"
"3699" "285" "F" "2016" "Adult" "2013"
"3365" "1826" "F" "2016" "Adult" "2014"
"4037" "3914" "F" "2016" "Adult" "2016"
"2001" "410" "F" "2014" "Adult" "2013"
"2974" "3319" "F" "2015" "Adult" "2016"
"3924" "2621" "F" "2016" "Adult" "2015"
"825" "2107" "F" "2013" "Adult" "2014"
"426" "860" "F" "2013" "Adult" "2013"
"2924" "1684" "F" "2015" "Adult" "2014"
"63" "17" "F" "2013" "Adult" "2013"
"2285" "17" "F" "2014" "Adult" "2013"
"458" "285" "F" "2013" "Adult" "2013"
"423" "3176" "F" "2013" "Adult" "2015"
"2191" "348" "F" "2014" "Adult" "2013"
"1586" "1520" "F" "2013" "Adult" "2013"
"401" "1826" "F" "2013" "Adult" "2014"
"1905" "860" "F" "2014" "Adult" "2013"
"468" "113" "F" "2013" "Adult" "2013"
"2064" "740" "F" "2014" "Adult" "2013"
"467" "118" "F" "2013" "Adult" "2013"
"1577" "1505" "F" "2013" "Adult" "2013"
"3406" "410" "F" "2016" "Adult" "2013"
"3358" "1849" "F" "2016" "Adult" "2014"
"3719" "2032" "F" "2016" "Adult" "2014"
"1161" "910" "F" "2013" "Adult" "2013"
"668" "135" "F" "2013" "Adult" "2013"
"2876" "120" "F" "2015" "Adult" "2013"
"279" "1638" "F" "2013" "Adult" "2013"
"3112" "1088" "F" "2015" "Adult" "2013"
"2236" "1082" "F" "2014" "Adult" "2013"
"3635" "223" "F" "2016" "Adult" "2013"
"1061" "688" "F" "2013" "Adult" "2013"
"347" "431" "F" "2013" "Adult" "2013"
"2196" "431" "F" "2014" "Adult" "2013"
"1699" "934" "F" "2014" "Adult" "2013"
"1258" "3947" "F" "2013" "Adult" "2016"
"3937" "699" "F" "2016" "Adult" "2013"
"2645" "1719" "F" "2015" "Adult" "2014"
"3352" "424" "F" "2016" "Juv" "2013"
"1544" "1465" "F" "2013" "Adult" "2013"
"3982" "1791" "F" "2016" "Adult" "2014"
"282" "209" "F" "2013" "Adult" "2013"
"3625" "104" "F" "2016" "Adult" "2013"
"3065" "2579" "F" "2015" "Adult" "2015"
"1601" "1526" "F" "2013" "Adult" "2013"
"3139" "3914" "F" "2015" "Adult" "2016"
"551" "315" "F" "2013" "Adult" "2013"
"1656" "185" "F" "2013" "Adult" "2013"
"198" "243" "F" "2013" "Adult" "2013"
"2228" "3875" "F" "2014" "Adult" "2016"
"4001" "326" "F" "2016" "Adult" "2013"
"2982" "1103" "F" "2015" "Adult" "2013"
"3417" "1684" "F" "2016" "Adult" "2014"
"2633" "161" "F" "2015" "Adult" "2013"
"3961" "333" "F" "2016" "Adult" "2013"
"1345" "1085" "F" "2013" "Adult" "2013"
"3127" "342" "F" "2015" "Adult" "2013"
"1188" "410" "F" "2013" "Adult" "2013"
"3984" "555" "F" "2016" "Juv" "2013"
"3436" "3043" "F" "2016" "Adult" "2015"
"771" "494" "F" "2013" "Adult" "2013"
"1234" "1679" "F" "2013" "Adult" "2014"
"1249" "1902" "F" "2013" "Adult" "2014"
"1945" "244" "F" "2014" "Adult" "2013"
"3471" "927" "F" "2016" "Adult" "2013"
"3619" "185" "F" "2016" "Adult" "2013"
"2051" "494" "F" "2014" "Adult" "2013"
"3668" "313" "F" "2016" "Adult" "2013"
"3422" "11" "F" "2016" "Adult" "2013"
"3111" "1899" "F" "2015" "Adult" "2014"
"459" "2345" "F" "2013" "Adult" "2014"
"1176" "410" "F" "2013" "Adult" "2013"
"1240" "1899" "F" "2013" "Adult" "2014"
"1992" "1173" "F" "2014" "Juv" "2013"
"2093" "1132" "F" "2014" "Adult" "2013"
"546" "1794" "F" "2013" "Adult" "2014"
"169" "2144" "F" "2013" "Adult" "2014"
"543" "1791" "F" "2013" "Adult" "2014"
"3998" "453" "F" "2016" "Adult" "2013"
"332" "1809" "F" "2013" "Adult" "2014"
"1986" "1684" "F" "2014" "Adult" "2014"
"885" "618" "F" "2013" "Adult" "2013"
"1231" "3914" "F" "2013" "Adult" "2016"
"1953" "1923" "F" "2014" "Adult" "2014"
"3312" "1132" "F" "2016" "Adult" "2013"
"465" "1610" "F" "2013" "Adult" "2013"
"2201" "453" "F" "2014" "Adult" "2013"
"1990" "997" "F" "2014" "Adult" "2013"
"80" "17" "F" "2013" "Adult" "2013"
"3617" "2144" "F" "2016" "Adult" "2014"
"2789" "2383" "F" "2015" "Adult" "2014"
"597" "449" "F" "2013" "Adult" "2013"
"462" "226" "F" "2013" "Adult" "2013"
"3921" "688" "F" "2016" "Adult" "2013"
"2654" "910" "F" "2015" "Adult" "2013"
"957" "740" "F" "2013" "Adult" "2013"
"2040" "516" "F" "2014" "Adult" "2013"
"1984" "3947" "F" "2014" "Adult" "2016"
"1229" "1106" "F" "2013" "Adult" "2013"
"1581" "1445" "F" "2013" "Adult" "2013"
"890" "2383" "F" "2013" "Adult" "2014"
"2719" "1681" "F" "2015" "Adult" "2014"
"2034" "510" "F" "2014" "Adult" "2013"
"1230" "1088" "F" "2013" "Adult" "2013"
"883" "3865" "F" "2013" "Adult" "2016"
"1179" "914" "F" "2013" "Adult" "2013"
"3061" "3421" "F" "2015" "Adult" "2016"
"4028" "3851" "F" "2016" "Adult" "2016"
"1587" "1421" "F" "2013" "Adult" "2013"
"557" "316" "F" "2013" "Adult" "2013"
"1536" "1462" "F" "2013" "Adult" "2013"
"2905" "1923" "F" "2015" "Adult" "2014"
"3994" "2429" "F" "2016" "Adult" "2015"
"189" "230" "F" "2013" "Adult" "2013"
"3694" "2132" "F" "2016" "Adult" "2014"
"3030" "740" "F" "2015" "Adult" "2013"
"1983" "1679" "F" "2014" "Adult" "2014"
"3145" "357" "F" "2015" "Adult" "2013"
"3718" "494" "F" "2016" "Adult" "2013"
"3395" "395" "F" "2016" "Adult" "2013"
"1546" "1918" "F" "2013" "Adult" "2014"
"1746" "3011" "F" "2014" "Adult" "2015"
"2085" "1094" "F" "2014" "Adult" "2013"
"2237" "3319" "F" "2014" "Adult" "2016"
"421" "3875" "F" "2013" "Adult" "2016"
"1160" "927" "F" "2013" "Adult" "2013"
"2648" "2403" "F" "2015" "Adult" "2014"
"2665" "914" "F" "2015" "Adult" "2013"
"191" "2820" "F" "2013" "Adult" "2015"
"3117" "3851" "F" "2015" "Adult" "2016"
"2680" "1849" "F" "2015" "Adult" "2014"
"555" "333" "F" "2013" "Adult" "2013"
"2819" "2820" "F" "2015" "Adult" "2015"
"1065" "3566" "F" "2013" "Adult" "2016"
"171" "1923" "F" "2013" "Adult" "2014"
"1174" "903" "F" "2013" "Adult" "2013"
"3729" "1464" "F" "2016" "Adult" "2013"
"3443" "777" "F" "2016" "Adult" "2013"
"2837" "285" "F" "2015" "Adult" "2013"
"466" "196" "F" "2013" "Adult" "2013"
"1262" "3931" "F" "2013" "Adult" "2016"
"3926" "734" "F" "2016" "Adult" "2013"
"261" "301" "F" "2013" "Adult" "2013"
"2246" "2470" "F" "2014" "Adult" "2015"
"2947" "934" "F" "2015" "Adult" "2013"
"880" "615" "F" "2013" "Adult" "2013"
"1756" "1698" "F" "2014" "Adult" "2014"
"75" "777" "F" "2013" "Adult" "2013"
"3959" "3865" "F" "2016" "Adult" "2016"
"2277" "3421" "F" "2014" "Adult" "2016"
"1241" "997" "F" "2013" "Adult" "2013"
"956" "734" "F" "2013" "Adult" "2013"
"2234" "1826" "F" "2014" "Adult" "2014"
"2165" "315" "F" "2014" "Adult" "2013"
"1994" "1681" "F" "2014" "Adult" "2014"
"2945" "395" "F" "2015" "Adult" "2013"
"1343" "2462" "F" "2013" "Adult" "2015"
"3376" "393" "F" "2016" "Adult" "2013"
"351" "348" "F" "2013" "Adult" "2013"
"422" "1684" "F" "2013" "Adult" "2014"
"2149" "1421" "F" "2014" "Adult" "2013"
"1995" "1047" "F" "2014" "Adult" "2013"
"2069" "738" "F" "2014" "Adult" "2013"
"830" "51" "F" "2013" "Adult" "2013"
"281" "118" "F" "2013" "Adult" "2013"
"1595" "1464" "F" "2013" "Adult" "2013"
"3454" "910" "F" "2016" "Adult" "2013"
"2192" "305" "F" "2014" "Adult" "2013"
"3461" "903" "F" "2016" "Adult" "2013"
"3132" "449" "F" "2015" "Adult" "2013"
"274" "120" "F" "2013" "Adult" "2013"
"3093" "1897" "F" "2015" "Adult" "2014"
"2289" "327" "F" "2014" "Adult" "2013"
"4022" "3728" "F" "2016" "Adult" "2016"
"938" "699" "F" "2013" "Adult" "2013"
"1156" "196" "F" "2013" "Adult" "2013"
"2668" "1445" "F" "2015" "Adult" "2013"
"1985" "3931" "F" "2014" "Adult" "2016"
"2181" "556" "F" "2014" "Adult" "2013"
"2152" "1497" "F" "2014" "Adult" "2013"
"1153" "244" "F" "2013" "Adult" "2013"
"1537" "1437" "F" "2013" "Adult" "2013"
"3063" "13" "F" "2015" "Adult" "2013"
"841" "637" "F" "2013" "Adult" "2013"
"2028" "3609" "F" "2014" "Adult" "2016"
"2990" "1082" "F" "2015" "Adult" "2013"
"823" "161" "F" "2013" "Adult" "2013"
"2860" "110" "F" "2015" "Adult" "2013"
"1171" "3011" "F" "2013" "Adult" "2015"
"1058" "1736" "F" "2013" "Adult" "2014"
"1624" "1520" "F" "2013" "Adult" "2013"
"2683" "424" "F" "2015" "Juv" "2013"
"552" "305" "F" "2013" "Adult" "2013"
"943" "3865" "F" "2013" "Adult" "2016"
"2263" "3914" "F" "2014" "Adult" "2016"
"1949" "223" "F" "2014" "Adult" "2013"
"2194" "1791" "F" "2014" "Adult" "2014"
"202" "196" "F" "2013" "Adult" "2013"
"1642" "1849" "F" "2013" "Adult" "2014"
"1730" "1173" "F" "2014" "Juv" "2013"
"3726" "2552" "F" "2016" "Adult" "2015"
"2022" "581" "F" "2014" "Adult" "2013"
"2775" "997" "F" "2015" "Adult" "2013"
"548" "453" "F" "2013" "Adult" "2013"
"3631" "226" "F" "2016" "Adult" "2013"
"207" "313" "F" "2013" "Adult" "2013"
"2854" "159" "F" "2015" "Adult" "2013"
"3052" "2107" "F" "2015" "Adult" "2014"
"2080" "1092" "F" "2014" "Adult" "2013"
"3644" "215" "F" "2016" "Adult" "2013"
"547" "357" "F" "2013" "Adult" "2013"
"3122" "3728" "F" "2015" "Adult" "2016"
"663" "196" "F" "2013" "Adult" "2013"
"1592" "1566" "F" "2013" "Adult" "2013"
"1199" "1047" "F" "2013" "Adult" "2013"
"594" "1031" "F" "2013" "Adult" "2013"
"2120" "914" "F" "2014" "Adult" "2013"
"4010" "431" "F" "2016" "Adult" "2013"
"1734" "395" "F" "2014" "Adult" "2013"
"1150" "223" "F" "2013" "Adult" "2013"
"3686" "233" "F" "2016" "Adult" "2013"
"3621" "233" "F" "2016" "Adult" "2013"
"3116" "1873" "F" "2015" "Adult" "2014"
"3934" "3566" "F" "2016" "Adult" "2016"
"2179" "326" "F" "2014" "Adult" "2013"
"3986" "316" "F" "2016" "Adult" "2013"
"1197" "914" "F" "2013" "Adult" "2013"
"3424" "13" "F" "2016" "Adult" "2013"
"4035" "1861" "F" "2016" "Adult" "2014"
"595" "556" "F" "2013" "Adult" "2013"
"3427" "2579" "F" "2016" "Adult" "2015"
"3407" "2931" "F" "2016" "Adult" "2015"
"2229" "424" "F" "2014" "Juv" "2013"
"820" "785" "F" "2013" "Adult" "2013"
"3385" "3011" "F" "2016" "Adult" "2015"
"3434" "785" "F" "2016" "Adult" "2013"
"4015" "1890" "F" "2016" "Adult" "2014"
"163" "156" "F" "2013" "Adult" "2013"
"1250" "1890" "F" "2013" "Adult" "2014"
"2866" "1610" "F" "2015" "Adult" "2013"
"1242" "1053" "F" "2013" "Adult" "2013"
"2813" "2345" "F" "2015" "Adult" "2014"
"268" "1928" "F" "2013" "Adult" "2014"
"2114" "2108" "F" "2014" "Adult" "2014"
"2920" "1173" "F" "2015" "Juv" "2013"
"2987" "760" "F" "2015" "Adult" "2013"
"59" "2472" "F" "2013" "Adult" "2015"
"1152" "156" "F" "2013" "Adult" "2013"
"3121" "1109" "F" "2015" "Adult" "2013"
"3405" "934" "F" "2016" "Adult" "2013"
"3705" "3609" "F" "2016" "Adult" "2016"
"2311" "3728" "F" "2014" "Adult" "2016"
"1008" "2612" "F" "2013" "Adult" "2015"
"2221" "3895" "F" "2014" "Adult" "2016"
"3448" "3799" "F" "2016" "Adult" "2016"
"2991" "3763" "F" "2015" "Adult" "2016"
"2048" "591" "F" "2014" "Adult" "2013"
"179" "2545" "F" "2013" "Adult" "2015"
"2305" "2545" "F" "2014" "Adult" "2015"
"3946" "733" "F" "2016" "Adult" "2013"
"2072" "3763" "F" "2014" "Adult" "2016"
"2925" "919" "F" "2015" "Adult" "2013"
"1341" "1109" "F" "2013" "Adult" "2013"
"2875" "159" "F" "2015" "Adult" "2013"
"2096" "1103" "F" "2014" "Adult" "2013"
"2712" "1679" "F" "2015" "Adult" "2014"
"2262" "1439" "F" "2014" "Adult" "2013"
"947" "738" "F" "2013" "Adult" "2013"
"1353" "1082" "F" "2013" "Adult" "2013"
"2269" "695" "F" "2014" "Adult" "2013"
"891" "618" "F" "2013" "Adult" "2013"
"881" "695" "F" "2013" "Adult" "2013"
"1254" "3728" "F" "2013" "Adult" "2016"
"2248" "1075" "F" "2014" "Adult" "2013"
"2297" "3787" "F" "2014" "Adult" "2016"
"3714" "3558" "F" "2016" "Adult" "2016"
"2844" "313" "F" "2015" "Adult" "2013"
"3037" "1066" "F" "2015" "Juv" "2013"
"1623" "1451" "F" "2013" "Adult" "2013"
"2716" "738" "F" "2015" "Adult" "2013"
"1204" "738" "F" "2013" "Adult" "2013"
"1671" "89" "F" "2013" "Adult" "2013"
"2247" "1072" "F" "2014" "Adult" "2013"
"3151" "3883" "F" "2015" "Adult" "2016"
"2176" "333" "F" "2014" "Adult" "2013"
"1602" "3184" "F" "2013" "Adult" "2015"
"3678" "103" "F" "2016" "Adult" "2013"
"2280" "50" "F" "2014" "Adult" "2013"
"962" "2509" "F" "2013" "Adult" "2015"
"260" "196" "F" "2013" "Adult" "2013"
"2770" "3931" "F" "2015" "Adult" "2016"
"2902" "149" "F" "2015" "Adult" "2013"
"3691" "2855" "F" "2016" "Adult" "2015"
"3397" "3389" "F" "2016" "Adult" "2016"
"2101" "1090" "F" "2014" "Adult" "2013"
"1384" "1116" "F" "2013" "Adult" "2013"
"2006" "2364" "F" "2014" "Adult" "2014"
"3935" "698" "F" "2016" "Adult" "2013"
"1247" "1679" "F" "2013" "Adult" "2014"
"3951" "3763" "F" "2016" "Adult" "2016"
"4027" "1873" "F" "2016" "Adult" "2014"
"846" "636" "F" "2013" "Adult" "2013"
"1385" "1116" "F" "2013" "Adult" "2013"
"206" "177" "F" "2013" "Adult" "2013"
"2811" "237" "F" "2015" "Adult" "2013"
"3086" "516" "F" "2015" "Adult" "2013"
"70" "8" "F" "2013" "Adult" "2013"
"3150" "369" "F" "2015" "Adult" "2013"
"2241" "3176" "F" "2014" "Adult" "2015"
"772" "616" "F" "2013" "Adult" "2013"
"2239" "1832" "F" "2014" "Adult" "2014"
"2700" "1451" "F" "2015" "Adult" "2013"
"1628" "1510" "F" "2013" "Adult" "2013"
"2098" "902" "F" "2014" "Adult" "2013"
"3642" "168" "F" "2016" "Adult" "2013"
"1960" "285" "F" "2014" "Adult" "2013"
"940" "693" "F" "2013" "Adult" "2013"
"3995" "1025" "F" "2016" "Adult" "2013"
"2795" "2146" "F" "2015" "Adult" "2014"
"2622" "327" "F" "2015" "Adult" "2013"
"2265" "645" "F" "2014" "Adult" "2013"
"2043" "2621" "F" "2014" "Adult" "2015"
"2010" "561" "F" "2014" "Adult" "2013"
"3034" "3566" "F" "2015" "Adult" "2016"
"3458" "2508" "F" "2016" "Adult" "2015"
"673" "3538" "F" "2013" "Adult" "2016"
"3716" "516" "F" "2016" "Adult" "2013"
"3035" "733" "F" "2015" "Adult" "2013"
"1190" "1739" "F" "2013" "Adult" "2014"
"2002" "2032" "F" "2014" "Adult" "2014"
"1225" "1095" "F" "2013" "Adult" "2013"
"3446" "3440" "F" "2016" "Adult" "2016"
"3713" "519" "F" "2016" "Adult" "2013"
"2047" "733" "F" "2014" "Adult" "2013"
"2013" "2364" "F" "2014" "Adult" "2014"
"2014" "505" "F" "2014" "Adult" "2013"
"3663" "156" "F" "2016" "Adult" "2013"
"2316" "1105" "F" "2014" "Adult" "2013"
"3408" "2921" "F" "2016" "Adult" "2015"
"2065" "2612" "F" "2014" "Adult" "2015"
"2910" "2839" "F" "2015" "Adult" "2015"
"3991" "2430" "F" "2016" "Adult" "2015"
"3098" "519" "F" "2015" "Adult" "2013"
"3993" "3550" "F" "2016" "Adult" "2016"
"411" "872" "F" "2013" "Adult" "2013"
"1980" "1037" "F" "2014" "Adult" "2013"
"2807" "615" "F" "2015" "Adult" "2013"
"892" "631" "F" "2013" "Adult" "2013"
"2976" "754" "F" "2015" "Adult" "2013"
"3056" "3047" "F" "2015" "Adult" "2015"
"3953" "2612" "F" "2016" "Adult" "2015"
"3702" "522" "F" "2016" "Adult" "2013"
"2309" "1025" "F" "2014" "Adult" "2013"
"2061" "718" "F" "2014" "Adult" "2013"
"201" "565" "F" "2013" "Adult" "2013"
"2724" "1679" "F" "2015" "Adult" "2014"
"765" "585" "F" "2013" "Adult" "2013"
"827" "3440" "F" "2013" "Adult" "2016"
"3670" "209" "F" "2016" "Adult" "2013"
"2951" "872" "F" "2015" "Adult" "2013"
"2244" "1119" "F" "2014" "Adult" "2013"
"2864" "89" "F" "2015" "Adult" "2013"
"2946" "1698" "F" "2015" "Adult" "2014"
"856" "3558" "F" "2013" "Adult" "2016"
"1970" "149" "F" "2014" "Adult" "2013"
"3954" "699" "F" "2016" "Adult" "2013"
"2011" "508" "F" "2014" "Adult" "2013"
"1202" "3931" "F" "2013" "Adult" "2016"
"3927" "3575" "F" "2016" "Adult" "2016"
"4040" "1832" "F" "2016" "Adult" "2014"
"958" "2621" "F" "2013" "Adult" "2015"
"2183" "3883" "F" "2014" "Adult" "2016"
"1749" "3003" "F" "2014" "Adult" "2015"
"965" "718" "F" "2013" "Adult" "2013"
"941" "754" "F" "2013" "Adult" "2013"
"2873" "3538" "F" "2015" "Adult" "2016"
"886" "2401" "F" "2013" "Adult" "2014"
"2715" "1681" "F" "2015" "Adult" "2014"
"3072" "21" "F" "2015" "Adult" "2013"
"3059" "50" "F" "2015" "Adult" "2013"
"3955" "637" "F" "2016" "Adult" "2013"
"3070" "13" "F" "2015" "Adult" "2013"
"769" "494" "F" "2013" "Adult" "2013"
"2264" "1109" "F" "2014" "Adult" "2013"
"539" "1795" "F" "2013" "Adult" "2014"
"1237" "1867" "F" "2013" "Adult" "2014"
"3463" "1124" "F" "2016" "Adult" "2013"
