"offspring" "father"
"1" 3699 139
"2" 3112 139
"3" 4024 1097
"4" 2052 3571
"5" 678 3363
"6" 1590 1522
"7" 806 298
"8" 462 245
"9" 1008 2599
"10" 1594 1522
"11" 2162 1504
"12" 2706 2599
"13" 3382 2599
"14" 1588 1522
"15" 1343 1097
"16" 1627 1504
"17" 275 1389
"18" 2289 1389
"19" 3612 139
"20" 1623 1504
"21" 1642 1522
"22" 2218 245
"23" 3631 245
"24" 1974 1504
"25" 2080 1097
"26" 1604 1522
"27" 3024 2599
"28" 594 298
"29" 3736 298
"30" 605 298
"31" 942 1389
"32" 2038 1035
"33" 3127 1035
"34" 765 3571
"35" 2203 139
"36" 2116 1035
"37" 2234 139
"38" 2152 139
"39" 1002 2387
"40" 3691 3363
"41" 2287 2599
"42" 1345 1808
"43" 2014 1808
"44" 3350 1808
"45" 3364 3363
"46" 884 2387
"47" 458 139
"48" 813 2599
"49" 1631 139
"50" 819 298
"51" 2247 1837
"52" 3094 1389
"53" 2653 1837
"54" 2859 139
"55" 2065 2599
"56" 3355 1501
"57" 1213 2599
"58" 3056 112
"59" 2904 1389
"60" 950 2387
"61" 3955 1501
"62" 1952 245
"63" 2306 1097
"64" 2888 112
"65" 2307 1389
"66" 2693 112
"67" 3461 1501
"68" 4043 1837
"69" 2841 139
"70" 2637 1837
"71" 2936 1501
"72" 4029 1097
"73" 1200 1837
"74" 2985 2387
"75" 3370 1501
"76" 1061 1504
"77" 1367 1837
"78" 964 1504
"79" 1365 1073
"80" 3672 298
"81" 2660 298
"82" 770 1073
