"offspring" "mother"
"1" 3647 110
"2" 3039 3043
"3" 3425 3421
"4" 1260 1873
"5" 953 751
"6" 1221 1681
"7" 2231 1085
"8" 3685 2820
"9" 1660 2932
"10" 2219 3176
"11" 1989 1053
"12" 1253 3632
"13" 3699 285
"14" 3365 1826
"15" 4037 3914
"16" 2001 410
"17" 2974 3319
"18" 3924 2621
"19" 825 2107
"20" 426 860
"21" 2924 1684
"22" 63 17
"23" 2285 17
"24" 458 285
"25" 423 3176
"26" 2191 348
"27" 1586 1520
"28" 401 1826
"29" 1905 860
"30" 468 113
"31" 2064 740
"32" 467 118
"33" 1577 1505
"34" 3406 410
"35" 3358 1849
"36" 3719 2032
"37" 1161 910
"38" 668 135
"39" 2876 120
"40" 279 1638
"41" 3112 1088
"42" 2236 1082
"43" 3635 223
"44" 1061 688
"45" 347 431
"46" 2196 431
"47" 1699 934
"48" 1258 3947
"49" 3937 699
"50" 2645 1719
"51" 3352 424
"52" 1544 1465
"53" 3982 1791
"54" 282 209
"55" 3625 104
"56" 3065 2579
"57" 1601 1526
"58" 3139 3914
"59" 551 315
"60" 1656 185
"61" 198 243
"62" 2228 3875
"63" 4001 326
"64" 2982 1103
"65" 3417 1684
"66" 2633 161
"67" 3961 333
"68" 1345 1085
"69" 3127 342
"70" 1188 410
"71" 3984 555
"72" 3436 3043
"73" 771 494
"74" 1234 1679
"75" 1249 1902
"76" 1945 244
"77" 3471 927
"78" 3619 185
"79" 2051 494
"80" 3668 313
"81" 3422 11
"82" 3111 1899
"83" 459 2345
"84" 1176 410
"85" 1240 1899
"86" 1992 1173
"87" 2093 1132
"88" 546 1794
"89" 169 2144
"90" 543 1791
"91" 3998 453
"92" 332 1809
"93" 1986 1684
"94" 885 618
"95" 1231 3914
"96" 1953 1923
"97" 3312 1132
"98" 465 1610
"99" 2201 453
"100" 1990 997
"101" 80 17
"102" 3617 2144
"103" 2789 2383
"104" 597 449
"105" 462 226
"106" 3921 688
"107" 2654 910
"108" 957 740
"109" 2040 516
"110" 1984 3947
"111" 1229 1106
"112" 1581 1445
"113" 890 2383
"114" 2719 1681
"115" 2034 510
"116" 1230 1088
"117" 883 3865
"118" 1179 914
"119" 3061 3421
"120" 4028 3851
"121" 1587 1421
"122" 557 316
"123" 1536 1462
"124" 2905 1923
"125" 3994 2429
"126" 189 230
"127" 3694 2132
"128" 3030 740
"129" 1983 1679
"130" 3145 357
"131" 3718 494
"132" 3395 395
"133" 1546 1918
"134" 1746 3011
"135" 2085 1094
"136" 2237 3319
"137" 421 3875
"138" 1160 927
"139" 2648 2403
"140" 2665 914
"141" 191 2820
"142" 3117 3851
"143" 2680 1849
"144" 555 333
"145" 2819 2820
"146" 1065 3566
"147" 171 1923
"148" 1174 903
"149" 3729 1464
"150" 3443 777
"151" 2837 285
"152" 466 196
"153" 1262 3931
"154" 3926 734
"155" 261 301
"156" 2246 2470
"157" 2947 934
"158" 880 615
"159" 1756 1698
"160" 75 777
"161" 3959 3865
"162" 2277 3421
"163" 1241 997
"164" 956 734
"165" 2234 1826
"166" 2165 315
"167" 1994 1681
"168" 2945 395
"169" 1343 2462
"170" 3376 393
"171" 351 348
"172" 422 1684
"173" 2149 1421
"174" 1995 1047
"175" 2069 738
"176" 830 51
"177" 281 118
"178" 1595 1464
"179" 3454 910
"180" 2192 305
"181" 3461 903
"182" 3132 449
"183" 274 120
"184" 3093 1897
"185" 2289 327
"186" 4022 3728
"187" 938 699
"188" 1156 196
"189" 2668 1445
"190" 1985 3931
"191" 2181 556
"192" 2152 1497
"193" 1153 244
"194" 1537 1437
"195" 3063 13
"196" 841 637
"197" 2028 3609
"198" 2990 1082
"199" 823 161
"200" 2860 110
"201" 1171 3011
"202" 1058 1736
"203" 1624 1520
"204" 2683 424
"205" 552 305
"206" 943 3865
"207" 2263 3914
"208" 1949 223
"209" 2194 1791
"210" 202 196
"211" 1642 1849
"212" 1730 1173
"213" 3726 2552
"214" 2022 581
"215" 2775 997
"216" 548 453
"217" 3631 226
"218" 207 313
"219" 2854 159
"220" 3052 2107
"221" 2080 1092
"222" 3644 215
"223" 547 357
"224" 3122 3728
"225" 663 196
"226" 1592 1566
"227" 1199 1047
"228" 594 1031
"229" 2120 914
"230" 4010 431
"231" 1734 395
"232" 1150 223
"233" 3686 233
"234" 3621 233
"235" 3116 1873
"236" 3934 3566
"237" 2179 326
"238" 3986 316
"239" 1197 914
"240" 3424 13
"241" 4035 1861
"242" 595 556
"243" 3427 2579
"244" 3407 2931
"245" 2229 424
"246" 820 785
"247" 3385 3011
"248" 3434 785
"249" 4015 1890
"250" 163 156
"251" 1250 1890
"252" 2866 1610
"253" 1242 1053
"254" 2813 2345
"255" 268 1928
"256" 2114 2108
"257" 2920 1173
"258" 2987 760
"259" 59 2472
"260" 1152 156
"261" 3121 1109
"262" 3405 934
"263" 3705 3609
"264" 2311 3728
"265" 1008 2612
"266" 2221 3895
"267" 3448 3799
"268" 2991 3763
"269" 2048 591
"270" 179 2545
"271" 2305 2545
"272" 3946 733
"273" 2072 3763
"274" 2925 919
"275" 1341 1109
"276" 2875 159
"277" 2096 1103
"278" 2712 1679
"279" 2262 1439
"280" 947 738
"281" 1353 1082
"282" 2269 695
"283" 891 618
"284" 881 695
"285" 1254 3728
"286" 2248 1075
"287" 2297 3787
"288" 3714 3558
"289" 2844 313
"290" 3037 1066
"291" 1623 1451
"292" 2716 738
"293" 1204 738
"294" 1671 89
"295" 2247 1072
"296" 3151 3883
"297" 2176 333
"298" 1602 3184
"299" 3678 103
"300" 2280 50
"301" 962 2509
"302" 260 196
"303" 2770 3931
"304" 2902 149
"305" 3691 2855
"306" 3397 3389
"307" 2101 1090
"308" 1384 1116
"309" 2006 2364
"310" 3935 698
"311" 1247 1679
"312" 3951 3763
"313" 4027 1873
