"offspring" "mother"
"314" 846 636
"315" 1385 1116
"316" 206 177
"317" 2811 237
"318" 3086 516
"319" 70 8
"320" 3150 369
"321" 2241 3176
"322" 772 616
"323" 2239 1832
"324" 2700 1451
"325" 1628 1510
"326" 2098 902
"327" 3642 168
"328" 1960 285
"329" 940 693
"330" 3995 1025
"331" 2795 2146
"332" 2622 327
"333" 2265 645
"334" 2043 2621
"335" 2010 561
"336" 3034 3566
"337" 3458 2508
"338" 673 3538
"339" 3716 516
"340" 3035 733
"341" 1190 1739
"342" 2002 2032
"343" 1225 1095
"344" 3446 3440
"345" 3713 519
"346" 2047 733
"347" 2013 2364
"348" 2014 505
"349" 3663 156
"350" 2316 1105
"351" 3408 2921
"352" 2065 2612
"353" 2910 2839
"354" 3991 2430
"355" 3098 519
"356" 3993 3550
"357" 411 872
"358" 1980 1037
"359" 2807 615
"360" 892 631
"361" 2976 754
"362" 3056 3047
"363" 3953 2612
"364" 3702 522
"365" 2309 1025
"366" 2061 718
"367" 201 565
"368" 2724 1679
"369" 765 585
"370" 827 3440
"371" 3670 209
"372" 2951 872
"373" 2244 1119
"374" 2864 89
"375" 2946 1698
"376" 856 3558
"377" 1970 149
"378" 3954 699
"379" 2011 508
"380" 1202 3931
"381" 3927 3575
"382" 4040 1832
"383" 958 2621
"384" 2183 3883
"385" 1749 3003
"386" 965 718
"387" 941 754
"388" 2873 3538
"389" 886 2401
"390" 2715 1681
"391" 3072 21
"392" 3059 50
"393" 3955 637
"394" 3070 13
"395" 769 494
"396" 2264 1109
"397" 539 1795
"398" 1237 1867
"399" 3463 1124
"400" 1206 2508
"401" 2115 3799
"402" 3707 3558
"403" 2768 2401
"404" 606 367
"405" 1977 177
"406" 2035 522
"407" 1238 3550
"408" 1348 1090
"409" 2187 449
"410" 166 297
"411" 3149 333
"412" 3766 2472
"413" 1952 226
"414" 3396 860
"415" 3639 243
"416" 2656 565
"417" 2618 1400
"418" 2078 1124
"419" 3428 8
"420" 1379 1103
"421" 3025 3566
"422" 2117 781
"423" 3104 1025
"424" 2881 301
"425" 2698 1510
"426" 2283 650
"427" 1366 1100
"428" 1014 3566
"429" 3095 561
"430" 2867 209
"431" 2030 491
"432" 3058 777
"433" 852 628
"434" 665 156
"435" 3101 1067
"436" 1914 860
"437" 78 2480
"438" 4009 1067
"439" 3452 2484
"440" 2242 1070
"441" 1233 1048
"442" 3154 299
"443" 2044 699
"444" 2178 375
"445" 1965 104
"446" 4011 2758
"447" 3148 555
"448" 2937 934
"449" 3664 142
"450" 283 142
"451" 3082 3609
"452" 1163 910
"453" 3423 17
"454" 2627 161
"455" 3963 657
"456" 3717 505
"457" 4026 1867
"458" 3087 3558
"459" 2871 313
"460" 3709 561
"461" 876 645
"462" 4032 1105
"463" 4043 1072
"464" 879 657
"465" 2841 2898
"466" 2825 616
"467" 3643 297
"468" 3992 1100
"469" 1359 1075
"470" 3460 913
"471" 810 2107
"472" 3126 305
"473" 1175 902
"474" 3723 3609
"475" 2041 2635
"476" 4025 1834
"477" 2941 1124
"478" 2801 88
"479" 2211 1792
"480" 2713 3391
"481" 1622 89
"482" 2641 2484
"483" 2260 657
"484" 3942 2635
"485" 1404 2403
"486" 3125 1100
"487" 774 581
"488" 2155 336
"489" 2821 631
"490" 1947 3236
"491" 2631 2403
"492" 1951 156
"493" 3431 3747
"494" 2688 913
"495" 2175 3184
"496" 1349 1832
"497" 2816 86
"498" 944 3763
"499" 4031 1899
"500" 320 336
"501" 4039 3176
"502" 2314 1095
"503" 3388 1489
"504" 1997 1047
"505" 2268 645
"506" 3400 3003
"507" 3375 919
"508" 1720 919
"509" 203 95
"510" 2200 369
"511" 3680 234
"512" 3650 89
"513" 2834 297
"514" 1973 243
"515" 2091 1011
"516" 3142 350
"517" 2783 645
"518" 3614 132
"519" 1378 1124
"520" 3130 453
"521" 3313 1116
"522" 3370 3871
"523" 2288 1867
"524" 3626 3538
"525" 3401 404
"526" 2284 2401
"527" 4044 1094
"528" 1157 88
"529" 3771 2480
"530" 2787 618
"531" 2036 519
"532" 3064 3747
"533" 3447 785
"534" 3441 781
"535" 3502 1037
"536" 1166 901
"537" 3969 631
"538" 2159 1431
"539" 1003 3763
"540" 2988 693
"541" 2300 1635
"542" 1336 2380
"543" 729 505
"544" 1667 3236
"545" 538 326
"546" 3980 3866
"547" 805 3440
"548" 2198 1833
"549" 1010 1769
"550" 1574 1497
"551" 1583 1513
"552" 2082 1087
"553" 850 3866
"554" 2897 196
"555" 3925 1769
"556" 3412 426
"557" 2225 1833
"558" 470 2855
"559" 318 333
"560" 2214 373
"561" 2694 1513
"562" 2702 2480
"563" 2243 1075
"564" 2870 230
"565" 461 2139
"566" 537 441
"567" 420 1833
"568" 845 3609
"569" 1573 3762
"570" 2785 967
"571" 1005 733
"572" 3950 752
"573" 3958 628
"574" 1009 752
"575" 4036 1048
"576" 2975 752
"577" 1627 1451
"578" 2299 2403
