"population"	"beta_mean"	"beta_lower_95"	"beta_upper_95"	"distance_mean"	"distance_lower_95"	"distance_upper_95"
"Picardy"	0.16647839874167	0.122967030585068	0.223738457965559	6.00678531003733	4.46950430021259	8.13226110480243
"Thuringia"	0.129308694471662	0.111019949055348	0.150194983035927	7.73343203321219	6.65801200404141	9.00739018986089
