"Results"	"Expected proportion"	"Mean Picardy 8/8 loci"	"SD Picardy 8/8 loci"	"Mean Picardy 6/8 loci"	"SD Picardy 6/8 loci"	"Mean Thuringia 8/8 loci"	"SD Thuringia 8/8 loci"	"Mean Thuringia 6/8 loci"	"SD Thuringia 6/8 loci"
"MsampledMtrue"	0.56	0.0715912983898595	0.00904026665373813	0.0372987324426173	0.00499045493985599	0.02507745122666	0.00369476523867355	0.0112785732228083	0.00240606180121673
"MsampledMfalse"	0	0.0487838300787941	0.00810844903655741	0.039054470709147	0.00718094244574842	0.0342208825253286	0.00769512924297817	0.0356443104747551	0.00807985315521714
"MsampledMnotfound"	0	0.453622816032888	0.0166836392098253	0.490450496745461	0.0116356956276525	0.51417566775517	0.011138181882998	0.503692539562924	0.00978851250231005
"MnotsampledMfound"	0	0.0394741349777321	0.00733074753231199	0.0290339157245632	0.00507634795502262	0.0235870384325546	0.00565674289660036	0.0279494264422674	0.00710816314426561
"MnotsampledMnotfound"	0.44	0.386527920520726	0.00733074753231199	0.404162384378212	0.00507634795502262	0.402938960060286	0.00565674289660035	0.421435150297245	0.00710816314426561
