idind	dby8	dby8b	rha101	rha101b	rha109	rha109b	rha4	rha4b	rha7	rha7b	rhc108	rhc108b	rhc3	rhc3b	rhd102	rhd102b	rhd103	rhd103b	idcol	year_sample	col2013_1	repet2013_1	col2013_2	repet2013_2	col2014_1	repet2014_1	col2014_2	repet2014_2	col2015_1	repet2015_1	col2015_2	repet2015_2	col2016_1	repet2016_1	col2016_2	repet2016_2
1483	154	154	134	136	188	188	288	288	231	231	211	211	173	173	247	251	216	220	P412	2013	NA	NA	P412	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1288	131	154	136	136	186	188	288	290	231	231	216	220	169	173	247	247	224	232	P412	2013	P412	2	P412	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
407	131	154	136	136	177	188	288	288	231	241	211	216	169	173	247	255	216	224	M1102	2013	M1102	1	M1102	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3111	154	154	136	136	186	190	268	288	237	241	216	216	169	169	243	247	220	224	M809	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M809	2	M809	1	NA	NA
3953	154	154	136	136	175	186	268	286	228	228	211	211	169	173	0	0	220	228	M1106	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M1106	1
2308	128	154	134	136	188	190	286	288	228	237	211	211	169	169	243	251	0	0	M809	2014	NA	NA	NA	NA	NA	NA	M809	1	NA	NA	NA	NA	NA	NA	NA	NA
1782	0	0	132	136	177	186	265	268	241	241	211	218	0	0	247	255	224	232	M811	2014	NA	NA	NA	NA	M811	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3855	154	154	136	136	177	190	268	288	228	241	211	216	169	173	247	251	216	224	M1102	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M1102	1	NA	NA
1338	154	154	136	136	175	175	265	293	229	233	216	218	169	169	251	251	216	216	P412	2013	NA	NA	P412	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
177	154	154	136	136	175	186	268	288	229	237	211	220	169	169	243	251	220	232	M831	2014	M831	7	M831	6	M831	2	NA	NA	M831	2	NA	NA	NA	NA	NA	NA
680	154	154	136	136	186	186	268	284	233	237	216	220	173	173	238	263	216	220	M1106	2015	M1106	8	M1106	4	NA	NA	NA	NA	PP3	1	M1106	2	M1106	5	NA	NA
2815	131	154	125	136	175	188	0	0	229	237	214	214	169	173	238	247	212	228	M831	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M831	1	NA	NA	NA	NA
47	154	154	134	136	175	186	284	288	229	235	216	216	169	173	251	259	216	220	M1979	2013	M1979	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M1979	3	NA	NA
3702	154	154	136	136	175	175	268	288	235	237	220	228	0	0	247	247	220	232	M244	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M244	1
2934	154	154	136	136	186	186	268	288	228	229	216	218	169	169	247	259	220	224	M813	2015	NA	NA	NA	NA	NA	NA	NA	NA	M813	2	M813	2	M813	2	NA	NA
443	154	154	136	136	188	190	268	268	231	237	211	216	169	169	247	251	216	216	M811	2014	M811	1	M811	4	M811	1	M811	3	M811	3	M811	2	M811	2	M811	8
1548	154	154	136	146	175	177	268	286	233	237	216	220	169	173	247	259	220	224	M831	2013	M831	3	NA	NA	NA	NA	NA	NA	NA	NA	M831	1	M831	1	NA	NA
735	154	154	136	136	175	186	268	284	228	241	211	218	169	173	255	263	216	224	M1106	2013	M1106	3	M1106	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
306	131	154	136	136	175	190	286	293	229	229	216	216	169	173	243	251	216	220	M831	2013	M831	2	M831	1	NA	NA	NA	NA	NA	NA	NA	NA	M831	1	NA	NA
2	154	154	136	136	177	186	284	288	229	229	216	216	169	169	243	255	212	212	M1979	2014	M1979	3	M1979	6	M1979	2	NA	NA	M1979	1	M1979	3	NA	NA	NA	NA
703	154	154	136	142	177	186	268	290	229	233	216	220	169	169	255	259	216	224	M1551	2013	M1551	1	NA	NA	NA	NA	M831	2	NA	NA	NA	NA	NA	NA	NA	NA
2309	154	154	136	136	188	188	288	288	235	241	218	218	169	177	238	243	220	220	M809	2014	NA	NA	NA	NA	NA	NA	M809	3	NA	NA	NA	NA	NA	NA	NA	NA
3490	154	154	136	136	175	177	288	288	235	241	216	216	169	169	247	255	220	228	M831	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M831	3	M831	1
1787	0	0	134	136	177	188	288	288	235	237	216	220	0	0	251	251	224	232	M811	2014	NA	NA	NA	NA	M811	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2714	154	154	0	0	175	175	0	0	235	241	216	218	165	173	234	234	220	224	PP3	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PP3	1	NA	NA	NA	NA
2005	154	154	146	146	184	184	268	268	231	231	0	0	0	0	238	238	220	220	M244	2014	NA	NA	NA	NA	NA	NA	M244	1	NA	NA	NA	NA	NA	NA	NA	NA
459	154	154	136	148	186	190	265	268	228	241	211	218	173	173	251	259	216	220	M831	2014	NA	NA	M831	3	M831	2	M831	2	NA	NA	NA	NA	M831	2	NA	NA
330	131	154	136	136	175	175	268	288	229	231	211	211	169	177	251	259	216	216	M811	2013	NA	NA	M811	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1653	131	154	125	136	175	190	268	284	229	229	216	218	169	169	251	255	220	220	M831	2015	M831	1	NA	NA	M831	1	NA	NA	M831	1	NA	NA	NA	NA	NA	NA
314	154	154	134	136	184	186	0	0	239	239	211	216	169	169	243	243	216	216	PP1	2013	PP1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
185	154	154	134	136	175	183	268	286	228	233	220	222	169	173	259	259	212	216	M831	2015	M831	1	M831	5	NA	NA	NA	NA	M831	1	NA	NA	NA	NA	NA	NA
916	154	154	125	138	175	184	288	288	233	235	211	216	169	169	238	243	216	216	PP1	2015	PP1	2	NA	NA	NA	NA	NA	NA	PP1	1	NA	NA	NA	NA	NA	NA
3970	131	154	136	142	175	188	265	290	229	235	211	216	165	169	247	251	216	228	M1551	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M1551	1
2647	154	154	136	136	188	188	0	0	0	0	216	216	169	169	251	251	220	220	PP1	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PP1	1	NA	NA	NA	NA
2061	154	154	134	138	175	186	268	288	235	241	220	220	0	0	238	238	220	224	M1106	2014	NA	NA	NA	NA	NA	NA	M1106	1	NA	NA	NA	NA	NA	NA	NA	NA
1084	131	154	136	136	175	184	268	288	229	233	216	216	177	181	234	255	208	220	M1975	2015	M1975	1	NA	NA	NA	NA	NA	NA	M1975	3	NA	NA	NA	NA	NA	NA
3705	154	154	136	136	184	184	290	290	233	235	210	228	169	173	251	251	216	216	M244	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M244	1
201	131	154	136	136	173	175	288	290	235	243	211	216	169	173	251	263	220	224	PP1	2013	NA	NA	PP1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1176	154	154	136	136	186	186	268	286	224	237	216	216	169	173	243	255	216	224	M813	2014	NA	NA	M813	2	M813	1	NA	NA	M813	1	M813	1	M813	1	NA	NA
2147	131	154	138	148	177	190	268	286	229	237	216	216	173	173	251	255	216	216	M831	2014	NA	NA	NA	NA	M831	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1612	131	154	136	136	177	186	268	290	229	231	216	216	169	173	247	251	216	216	M831	2013	M831	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2724	154	154	136	138	186	186	268	293	229	229	216	216	173	173	243	247	216	228	PP3	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PP3	1	NA	NA	NA	NA
2629	131	154	136	136	183	186	0	0	226	228	216	216	0	0	247	251	220	220	PP1	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PP1	1	NA	NA	NA	NA
3103	154	154	136	136	183	186	265	284	229	231	211	216	169	169	234	243	216	220	M809	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M809	3	NA	NA	M809	1
1116	154	154	125	125	177	186	268	288	231	235	216	220	169	181	234	255	208	220	M1975	2013	M1975	4	M1975	1	M1975	2	M1975	2	NA	NA	M1975	1	M1975	4	NA	NA
2898	154	154	136	146	175	177	268	284	241	241	210	218	169	169	251	251	224	224	M831	2016	NA	NA	NA	NA	NA	NA	NA	NA	M831	2	M831	1	M831	4	M831	1
409	154	154	136	138	175	186	265	265	241	241	216	220	169	169	238	243	216	224	M813	2015	M813	1	M813	9	M813	2	M813	1	M813	2	M813	2	NA	NA	NA	NA
779	131	154	136	136	188	188	284	284	235	235	211	220	169	173	251	259	216	224	M815	2013	M815	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1862	154	154	134	136	186	186	265	268	231	239	216	216	169	173	251	251	216	228	M1079	2016	NA	NA	NA	NA	M1079	1	NA	NA	NA	NA	NA	NA	NA	NA	M1079	1
2540	154	154	136	136	175	188	265	268	235	235	216	218	169	177	238	255	216	220	M1551	2015	NA	NA	NA	NA	NA	NA	NA	NA	M1551	1	NA	NA	NA	NA	NA	NA
321	154	154	136	136	177	184	268	286	229	233	216	216	169	169	251	259	216	228	M811	2015	NA	NA	M811	6	M811	3	M811	2	M811	2	M811	1	NA	NA	NA	NA
696	128	154	136	138	173	175	268	290	237	243	211	218	169	173	238	238	208	224	M1106	2013	M1106	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
415	131	154	136	138	177	177	290	290	229	239	210	216	165	173	251	255	216	232	M1102	2013	M1102	1	M1102	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1894	154	154	142	146	175	188	268	268	237	237	211	211	165	165	251	255	0	0	M809	2014	NA	NA	NA	NA	M809	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1240	154	154	136	138	186	188	268	290	237	241	211	220	169	177	247	255	220	220	M809	2015	NA	NA	M809	4	M809	1	M809	2	NA	NA	M809	2	M809	1	NA	NA
736	154	154	136	136	184	186	268	284	228	233	211	218	169	169	251	251	216	220	M1106	2016	M1106	1	M1106	1	NA	NA	NA	NA	M1106	1	PP3	2	M1106	2	M1106	1
1992	154	154	136	136	173	186	268	288	229	229	220	226	173	177	234	255	224	224	M813	2014	NA	NA	NA	NA	NA	NA	M813	2	NA	NA	NA	NA	NA	NA	NA	NA
1568	154	154	136	148	175	175	268	290	228	239	211	216	169	169	251	259	220	224	M831	2015	M831	2	M831	1	NA	NA	NA	NA	NA	NA	M831	3	M831	1	NA	NA
452	154	154	138	138	184	188	288	288	0	0	216	216	169	169	0	0	216	220	PP1	2013	PP1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3895	154	154	136	136	175	188	286	288	228	228	216	220	169	169	247	255	216	216	M1102	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M1102	1	NA	NA
292	154	154	134	138	175	175	268	288	229	239	216	218	169	169	255	259	212	220	M831	2015	M831	2	NA	NA	NA	NA	NA	NA	M831	1	NA	NA	NA	NA	NA	NA
2586	131	154	136	136	175	175	268	288	229	233	210	210	169	173	255	259	216	216	M1979	2015	NA	NA	NA	NA	NA	NA	NA	NA	M1979	1	NA	NA	NA	NA	NA	NA
460	154	154	136	136	183	186	288	290	235	235	216	216	169	173	238	251	220	232	PP1	2013	NA	NA	PP1	1	NA	NA	NA	NA	PP1	1	PP1	1	NA	NA	NA	NA
2093	131	154	138	138	186	188	288	288	239	239	211	216	169	169	238	247	212	220	M1975	2014	NA	NA	NA	NA	NA	NA	M1975	1	NA	NA	NA	NA	NA	NA	NA	NA
1976	0	0	134	136	186	186	288	288	229	237	218	218	0	0	247	251	216	228	M831	2014	NA	NA	NA	NA	NA	NA	M831	1	NA	NA	NA	NA	NA	NA	NA	NA
819	154	154	136	138	175	186	265	268	237	237	216	216	169	173	251	251	216	220	M815	2013	NA	NA	M815	1	M815	1	M815	1	M815	1	M815	1	M815	2	M815	2
546	154	154	136	136	188	190	288	288	228	235	211	220	169	169	259	259	216	224	M811	2016	NA	NA	M811	1	NA	NA	M811	1	NA	NA	NA	NA	NA	NA	M811	1
706	154	154	136	136	186	188	268	288	239	241	216	216	169	177	251	255	216	228	M1106	2016	M1106	6	M1106	5	NA	NA	M1106	1	M1106	2	M1106	1	M1106	3	NA	NA
662	131	154	136	136	175	188	265	268	233	233	211	216	169	169	251	255	216	220	M831	2013	M831	1	M831	1	M831	1	NA	NA	M831	1	M831	1	NA	NA	NA	NA
3965	154	154	136	136	186	188	268	268	0	0	216	218	169	169	251	251	0	0	M811	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M811	1
1005	131	131	125	136	188	188	290	290	235	235	0	0	0	0	238	238	216	224	M1106	2013	NA	NA	M1106	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3169	154	154	136	136	177	186	268	288	235	241	218	226	173	173	238	251	220	224	M1102	2016	NA	NA	NA	NA	NA	NA	NA	NA	M1102	1	NA	NA	M1102	2	NA	NA
2404	154	154	136	136	183	186	268	268	231	239	220	220	169	169	238	238	0	0	M813	2014	NA	NA	NA	NA	M813	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	154	154	136	136	177	186	284	288	229	229	216	216	169	169	243	255	212	212	M1979	2015	M1979	3	M1979	6	M1979	2	NA	NA	M1979	1	M1979	3	NA	NA	NA	NA
2842	154	154	136	136	175	184	288	288	233	233	216	220	169	173	247	263	224	228	M831	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M831	18	NA	NA	M831	12
2137	154	154	136	136	175	186	268	290	239	241	216	216	169	173	247	259	220	220	M831	2015	NA	NA	NA	NA	M831	1	NA	NA	M831	2	NA	NA	NA	NA	NA	NA
765	131	154	136	136	186	186	290	290	231	231	211	216	169	169	255	255	216	220	M244	2013	NA	NA	M244	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2769	154	154	136	136	186	188	268	268	233	239	210	210	169	173	255	255	220	232	PP3	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PP3	1	NA	NA	NA	NA
3274	154	154	136	136	186	188	0	0	224	233	216	218	169	169	255	255	212	220	M831	2015	NA	NA	NA	NA	NA	NA	NA	NA	M831	1	NA	NA	NA	NA	NA	NA
172	154	154	134	136	175	188	265	268	231	235	211	216	169	173	247	255	220	232	M831	2013	NA	NA	M831	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1837	131	154	136	136	186	188	288	288	229	229	218	218	169	173	234	238	212	212	M1975	2015	NA	NA	NA	NA	M1975	1	NA	NA	NA	NA	M1975	1	M1975	1	NA	NA
1877	154	154	136	138	175	188	268	290	231	233	211	216	165	165	238	259	216	220	M809	2014	NA	NA	NA	NA	M809	1	M809	7	NA	NA	NA	NA	NA	NA	NA	NA
3586	154	154	125	125	0	0	257	284	231	235	226	226	169	169	247	247	220	220	M244	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M244	1	NA	NA
3251	131	154	134	136	177	188	268	290	229	233	216	220	169	173	255	255	216	220	M831	2015	NA	NA	NA	NA	NA	NA	NA	NA	M831	1	NA	NA	NA	NA	NA	NA
1464	154	154	136	136	186	190	284	288	229	231	211	216	173	173	255	259	212	212	M399	2013	M399	1	M399	3	NA	NA	NA	NA	M399	2	NA	NA	NA	NA	NA	NA
343	154	154	136	138	175	190	268	288	228	228	211	220	173	173	255	259	216	220	M811	2014	NA	NA	M811	12	NA	NA	M811	1	M811	2	M811	1	NA	NA	NA	NA
973	154	154	138	146	177	186	286	290	229	237	211	218	177	177	243	255	216	220	PP3	2013	PP3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
961	154	154	136	136	190	190	0	0	229	239	216	216	0	0	251	251	220	220	M1106	2013	NA	NA	M1106	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3945	154	154	136	136	188	190	286	286	229	241	214	214	0	0	255	255	220	224	M1106	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M1106	1
827	154	154	136	142	175	188	288	290	231	235	216	220	169	177	255	259	216	220	M815	2013	NA	NA	M815	2	NA	NA	M815	1	NA	NA	NA	NA	M815	2	M815	1
2684	131	154	136	136	184	186	0	0	228	229	211	216	169	177	238	251	220	224	M1102	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M1102	1	NA	NA	NA	NA
2286	0	0	136	136	186	186	265	288	229	229	211	216	0	0	234	255	212	212	M1979	2014	NA	NA	NA	NA	NA	NA	M1979	1	NA	NA	NA	NA	NA	NA	NA	NA
1351	154	154	136	136	175	175	265	268	0	0	216	218	169	173	259	259	216	216	M809	2013	NA	NA	M809	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
926	131	154	136	136	188	190	268	288	235	237	207	211	169	169	243	251	224	224	M813	2013	M813	1	M813	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
355	0	0	136	136	177	184	268	268	233	233	216	216	169	169	251	251	228	228	M811	2013	NA	NA	M811	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2393	154	154	136	136	186	186	268	268	231	235	211	211	165	165	247	259	220	220	M1551	2014	NA	NA	NA	NA	M1551	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2563	154	154	136	136	175	190	268	288	231	231	211	216	173	173	234	251	212	216	M399	2015	NA	NA	NA	NA	NA	NA	NA	NA	M399	1	NA	NA	NA	NA	NA	NA
1319	154	154	136	138	177	188	268	268	228	235	220	220	169	169	255	263	220	232	P412	2013	NA	NA	P412	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3456	131	154	136	136	175	184	268	288	228	233	211	216	169	169	251	255	220	228	M1113	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M1113	1	M1113	1
1462	154	154	136	136	190	190	265	288	231	235	220	220	169	177	251	259	212	224	M399	2013	M399	3	M399	2	M399	4	NA	NA	M399	4	M399	1	NA	NA	NA	NA
2316	154	154	134	136	186	188	268	288	237	237	216	216	169	169	251	251	220	220	M809	2015	NA	NA	NA	NA	NA	NA	M809	1	NA	NA	M809	6	M809	1	NA	NA
2890	131	154	136	136	177	186	0	0	228	233	216	216	169	177	251	255	220	224	M831	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M831	1	NA	NA	NA	NA
2202	131	154	136	136	184	190	0	0	237	237	216	216	0	0	247	251	216	228	M1102	2014	NA	NA	NA	NA	NA	NA	M1102	1	NA	NA	NA	NA	NA	NA	NA	NA
3155	154	154	136	146	177	177	0	0	237	237	0	0	169	169	247	247	224	224	M811	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M811	1	NA	NA	NA	NA
3956	131	154	136	136	184	188	265	268	235	235	211	216	169	169	247	263	216	220	M1551	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M1551	3
2930	154	154	136	146	177	186	284	288	229	235	211	216	169	173	247	251	216	232	CXSGT	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CXSGT	1	CXSGT	1	NA	NA
1830	154	154	136	136	175	177	265	268	229	237	216	216	169	169	243	251	216	216	M1102	2016	NA	NA	NA	NA	M1102	4	NA	NA	M1102	2	M1102	1	M1102	2	NA	NA
3161	154	154	136	136	186	186	290	290	231	241	216	218	169	173	243	251	216	220	M815	2015	NA	NA	NA	NA	NA	NA	NA	NA	M815	2	NA	NA	NA	NA	NA	NA
2800	154	154	136	136	177	177	0	0	228	241	216	216	169	169	247	247	0	0	M831	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M831	1	NA	NA	NA	NA
844	131	154	136	136	175	186	265	288	233	241	211	216	169	173	238	247	216	216	PP1	2015	PP1	2	PP1	2	NA	NA	PP1	1	PP1	2	NA	NA	PP1	1	NA	NA
144	154	154	125	136	177	186	284	288	233	235	207	218	169	169	251	255	212	220	M831	2015	M831	4	M831	1	NA	NA	NA	NA	M831	1	NA	NA	NA	NA	NA	NA
1649	131	154	136	138	177	186	265	268	235	235	211	216	169	169	251	255	224	232	M831	2013	M831	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
923	154	154	125	136	175	188	268	288	231	237	211	216	169	173	251	259	220	224	M1113	2014	M1113	1	NA	NA	NA	NA	M1113	1	M1113	1	NA	NA	NA	NA	M1113	3
3670	154	154	136	136	175	188	265	265	235	235	0	0	173	173	255	255	216	220	M831	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M831	1
2055	154	154	136	138	183	188	286	288	237	239	216	216	169	173	238	243	220	224	M1106	2015	NA	NA	NA	NA	NA	NA	M1106	1	M1106	2	M1106	2	M1106	3	M1106	2
169	154	154	134	136	177	188	268	288	235	239	218	222	169	177	255	263	220	224	M831	2013	NA	NA	M831	19	M831	2	M831	3	NA	NA	NA	NA	M831	3	M831	36
543	154	154	136	138	186	188	268	268	231	239	216	218	169	169	251	251	220	224	M811	2013	NA	NA	M811	1	M811	2	M811	4	M811	2	M811	2	NA	NA	M811	7
12	154	154	136	136	177	188	286	288	231	237	220	220	169	169	243	255	224	224	M1112	2013	M1112	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M1112	2
223	154	154	136	136	177	188	284	290	231	233	220	220	169	169	247	247	220	224	M831	2015	M831	2	M831	5	M831	2	NA	NA	M831	1	M831	7	M831	1	M831	7
3420	131	154	134	134	184	186	268	288	229	233	218	220	169	181	238	251	212	216	M1979	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M1979	1	M1979	2
2904	154	154	125	125	175	175	0	0	237	237	0	0	169	177	238	255	220	224	M831	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M831	1	NA	NA	NA	NA
208	131	154	136	136	175	188	286	288	233	237	211	216	169	173	251	255	220	224	M831	2013	M831	2	M831	11	M831	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
806	154	154	136	138	186	188	265	286	235	237	216	216	165	177	255	259	220	228	PP1	2016	NA	NA	PP1	2	NA	NA	NA	NA	NA	NA	NA	NA	PP1	1	NA	NA
710	154	154	136	138	184	186	268	268	229	233	216	218	169	173	255	255	220	224	M1551	2013	M1551	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2822	154	154	134	138	188	188	265	268	233	235	211	216	169	173	247	255	216	220	M831	2015	NA	NA	NA	NA	NA	NA	NA	NA	M831	2	M831	4	M831	1	NA	NA
2409	154	154	136	138	183	188	268	288	229	241	216	216	169	177	238	251	220	220	PP1	2016	NA	NA	NA	NA	PP1	1	NA	NA	PP1	1	NA	NA	PP1	1	NA	NA
1419	154	154	136	136	175	175	268	288	228	237	211	220	173	173	247	259	212	212	M399	2013	M399	1	NA	NA	M399	10	NA	NA	M399	1	NA	NA	NA	NA	NA	NA
93	131	154	134	148	175	186	284	288	237	241	216	216	165	173	251	255	220	228	M831	2013	M831	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2608	154	154	136	138	186	188	286	288	229	239	216	218	169	173	234	251	220	228	M1106	2015	NA	NA	NA	NA	NA	NA	NA	NA	M1106	4	NA	NA	PP3	1	NA	NA
2808	131	154	136	136	186	186	0	0	229	235	218	218	0	0	238	238	220	224	M831	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M831	1	NA	NA	NA	NA
2742	154	154	136	136	186	186	0	0	0	0	211	211	173	173	247	247	220	220	M244	2015	NA	NA	NA	NA	NA	NA	NA	NA	M244	1	NA	NA	NA	NA	NA	NA
2255	0	0	136	136	175	190	268	288	228	228	211	211	173	173	0	0	212	212	M399	2014	NA	NA	NA	NA	NA	NA	M399	1	NA	NA	NA	NA	NA	NA	NA	NA
1850	131	154	136	136	175	175	265	265	235	235	207	216	177	177	247	255	224	224	M1102	2014	NA	NA	NA	NA	M1102	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
223	154	154	136	136	177	188	284	290	231	233	220	220	169	169	247	247	220	224	M831	2014	M831	2	M831	5	M831	2	NA	NA	M831	1	M831	7	M831	1	M831	7
165	154	154	136	136	175	188	268	268	231	235	216	216	169	169	247	255	220	232	M831	2013	NA	NA	M831	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1078	131	154	136	136	184	186	268	288	228	229	220	220	169	169	243	259	212	224	M1975	2016	M1975	5	M1975	2	NA	NA	NA	NA	NA	NA	NA	NA	M1975	1	NA	NA
2311	154	154	125	136	175	186	265	290	229	235	211	220	169	169	255	255	224	228	M809	2014	NA	NA	NA	NA	NA	NA	M809	1	NA	NA	M809	1	M809	2	NA	NA
952	154	154	136	136	188	190	268	286	229	241	211	216	177	177	255	255	220	224	M1106	2014	PP3	1	M1106	2	M1106	1	NA	NA	NA	NA	M1106	1	M1106	1	M1106	2
1572	154	154	150	150	186	188	284	284	235	235	0	0	169	173	251	251	216	216	M1079	2013	NA	NA	M1079	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3287	154	154	136	136	186	188	268	290	229	235	211	216	169	169	247	251	216	224	PP3	2015	NA	NA	NA	NA	NA	NA	NA	NA	PP3	1	NA	NA	NA	NA	NA	NA
913	154	154	136	138	175	188	288	290	229	241	216	216	177	177	243	259	224	224	M1113	2015	M1113	5	M1113	1	NA	NA	M1113	2	M1113	1	M1113	2	M1113	1	M1113	1
1681	154	154	125	136	177	186	265	268	237	241	211	218	169	173	238	255	220	224	PP3	2015	NA	NA	NA	NA	PP3	3	NA	NA	PP3	1	NA	NA	NA	NA	NA	NA
1409	154	154	136	136	175	188	288	290	229	233	216	220	173	173	259	263	224	224	P412	2013	NA	NA	P412	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
716	154	154	134	136	186	188	293	293	233	239	216	216	169	177	243	243	220	224	PP1	2013	PP1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2909	131	154	134	142	175	175	268	288	228	231	216	216	173	173	255	255	212	220	M831	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M831	1	NA	NA	NA	NA
2543	154	154	136	138	175	177	268	288	235	239	211	216	169	169	247	251	220	224	PP1	2016	NA	NA	NA	NA	NA	NA	NA	NA	PP1	3	NA	NA	PP1	1	NA	NA
2623	154	154	136	146	175	186	0	0	239	239	216	220	169	169	251	251	220	224	PP1	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PP1	1	NA	NA	NA	NA
572	131	154	136	146	175	188	288	288	231	239	211	218	169	173	243	255	216	224	M244	2013	M244	1	NA	NA	M244	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3998	154	154	136	136	177	183	268	286	228	229	211	216	173	173	247	247	220	220	M811	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M811	1
2603	154	154	136	136	184	186	0	0	228	233	216	216	169	173	251	251	216	220	M1979	2015	NA	NA	NA	NA	NA	NA	NA	NA	M1979	1	NA	NA	NA	NA	NA	NA
