idind	dby8	dby8b	rha101	rha101b	rha109	rha109b	rha4	rha4b	rha7	rha7b	rhc108	rhc108b	rhc3	rhc3b	rhd102	rhd102b	rhd103	rhd103b	idcol	year_sample	col2013_1	repet2013_1	col2013_2	repet2013_2	col2014_1	repet2014_1	col2014_2	repet2014_2	col2015_1	repet2015_1	col2015_2	repet2015_2	col2016_1	repet2016_1	col2016_2	repet2016_2
579	154	154	136	136	175	175	246	290	229	235	211	211	0	0	247	247	224	224	M244	2013	M244	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
277	154	154	136	136	184	188	284	284	237	241	211	218	169	169	243	255	216	228	M811	2013	NA	NA	M811	5	NA	NA	M811	1	M811	2	M811	1	NA	NA	M811	4
1697	154	154	136	136	175	186	288	290	229	233	211	216	169	169	247	251	220	224	M1113	2015	NA	NA	NA	NA	M1113	2	NA	NA	M1113	2	M1113	5	NA	NA	NA	NA
1739	154	154	136	136	175	186	288	288	228	229	211	216	169	173	243	251	224	224	M813	2016	NA	NA	NA	NA	M813	2	M813	3	NA	NA	NA	NA	M813	2	M813	2
1778	131	154	136	136	175	177	286	288	228	231	216	218	165	169	251	259	220	224	M811	2014	NA	NA	NA	NA	M811	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
795	154	154	134	138	184	186	284	290	235	241	211	211	169	173	247	247	216	224	M815	2014	M815	4	M815	3	M815	3	M815	2	M815	3	M815	5	NA	NA	NA	NA
2394	154	154	136	136	175	175	268	268	228	228	0	0	0	0	255	255	220	220	M1551	2014	NA	NA	NA	NA	M1551	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
694	131	154	136	142	175	186	268	288	233	235	210	216	169	169	247	255	220	224	M1551	2013	M1551	1	NA	NA	NA	NA	M1551	2	NA	NA	NA	NA	NA	NA	NA	NA
912	154	154	136	136	175	175	265	288	228	241	207	216	169	173	251	251	220	224	M813	2013	M813	1	NA	NA	M813	4	M813	4	M813	2	NA	NA	M813	1	NA	NA
270	154	154	136	136	186	186	265	268	229	231	211	216	169	173	247	259	216	224	M831	2013	NA	NA	M831	3	NA	NA	NA	NA	NA	NA	NA	NA	M831	2	NA	NA
505	154	154	136	138	175	186	268	288	229	235	216	216	173	173	255	255	220	220	M244	2015	M244	1	NA	NA	NA	NA	NA	NA	NA	NA	M244	2	NA	NA	M244	1
25	131	154	125	136	186	188	268	284	228	229	216	220	169	169	247	255	212	216	M1979	2013	M1979	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3647	154	154	136	136	175	177	268	284	233	235	211	216	169	169	251	263	216	216	M831	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M831	1
2216	154	154	136	138	175	188	284	288	233	237	216	222	169	173	238	251	224	232	M1102	2014	NA	NA	NA	NA	NA	NA	M1102	3	NA	NA	NA	NA	NA	NA	NA	NA
1671	154	154	136	136	175	190	268	268	235	237	211	218	169	173	251	255	220	232	M831	2014	NA	NA	M831	1	M831	1	M831	1	NA	NA	NA	NA	NA	NA	NA	NA
3039	154	154	136	136	188	190	268	288	229	235	216	218	169	173	251	251	224	228	M815	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M815	2	NA	NA	M815	2
1591	154	154	136	136	177	184	268	268	229	235	211	218	169	169	247	251	220	220	M1079	2013	NA	NA	M1079	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1497	154	154	136	136	186	186	265	284	229	239	210	210	169	173	243	255	212	220	M1079	2015	M1079	2	M1079	1	M1079	1	M1079	1	M1079	1	NA	NA	NA	NA	NA	NA
1647	154	154	125	136	186	188	288	290	235	241	207	216	169	169	251	255	212	216	M831	2013	M831	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3425	154	154	136	136	184	188	286	286	228	228	216	220	169	169	247	255	212	212	M1979	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M1979	2
2247	154	154	136	136	186	186	268	288	228	228	216	218	0	0	238	238	212	212	M1975	2014	NA	NA	NA	NA	NA	NA	M1975	1	NA	NA	NA	NA	NA	NA	NA	NA
718	154	154	134	138	175	186	268	288	235	241	218	220	173	177	238	243	220	224	M1106	2016	M1106	3	M1106	3	M1106	2	M1106	1	M1106	1	M1106	2	M1106	1	NA	NA
1051	154	154	136	138	186	190	268	288	233	235	218	218	169	173	238	243	224	228	M809	2013	M809	2	NA	NA	NA	NA	NA	NA	NA	NA	M809	1	NA	NA	NA	NA
3372	131	154	134	134	175	190	268	288	235	241	216	216	169	181	255	263	216	220	M1102	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M1102	1	M1102	1
1018	154	154	136	136	173	188	268	268	233	235	211	218	173	177	243	263	224	232	M809	2016	M809	1	M809	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M809	1
554	154	154	136	138	175	186	268	286	233	239	216	220	169	169	251	255	216	224	M811	2015	NA	NA	M811	1	M811	1	M811	12	M811	4	M811	4	NA	NA	M811	4
3908	154	154	125	136	175	186	265	265	229	235	212	220	169	173	251	255	216	228	M1079	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M1079	2	NA	NA
36	154	154	136	138	175	184	268	290	228	237	216	218	169	169	238	247	212	228	M815	2016	M815	5	M815	1	M815	8	NA	NA	M815	2	M815	1	M815	1	NA	NA
740	154	154	136	146	175	186	284	288	233	239	211	220	169	169	251	259	224	228	M1106	2014	M1106	2	M1106	3	NA	NA	M1106	3	PP3	1	NA	NA	NA	NA	NA	NA
478	0	0	136	136	177	183	288	288	233	235	216	216	0	0	247	247	224	232	M831	2013	NA	NA	M831	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1060	154	154	136	138	186	186	288	288	229	231	211	216	173	173	247	247	216	224	M1106	2013	NA	NA	M1106	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3041	154	154	136	136	175	188	268	288	237	241	216	216	169	169	243	251	220	224	M815	2015	NA	NA	NA	NA	NA	NA	NA	NA	M815	2	M815	6	NA	NA	NA	NA
142	154	154	134	136	183	186	265	268	228	233	216	222	173	173	255	259	216	224	M831	2013	M831	3	M831	10	NA	NA	M831	1	M831	1	NA	NA	NA	NA	NA	NA
1086	131	154	136	138	186	186	284	290	228	239	218	220	169	169	243	255	220	220	M1975	2013	M1975	3	NA	NA	M1975	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1106	154	154	136	136	188	188	286	288	237	241	218	218	165	177	251	259	216	224	M809	2014	M809	1	M809	1	NA	NA	M809	1	NA	NA	M809	1	NA	NA	M809	1
3218	131	154	136	136	175	183	268	286	235	237	216	220	169	169	255	259	216	224	M831	2015	NA	NA	NA	NA	NA	NA	NA	NA	M831	1	NA	NA	NA	NA	NA	NA
3159	131	154	136	136	186	188	265	268	235	241	220	220	169	169	251	259	220	224	M815	2015	NA	NA	NA	NA	NA	NA	NA	NA	M815	4	NA	NA	NA	NA	NA	NA
2575	154	154	136	136	175	175	0	0	228	228	216	216	173	173	251	255	212	220	M399	2015	NA	NA	NA	NA	NA	NA	NA	NA	M399	1	NA	NA	NA	NA	NA	NA
915	154	154	134	136	175	188	265	268	228	235	220	220	169	169	238	255	216	228	M813	2014	M813	3	NA	NA	M813	4	M813	2	M813	2	M813	1	M813	3	NA	NA
1002	154	154	136	138	177	188	265	268	228	229	216	218	169	173	243	247	224	232	M1106	2015	NA	NA	M1106	1	M1106	1	NA	NA	NA	NA	M1106	4	NA	NA	NA	NA
3167	154	154	136	136	175	188	265	290	231	239	216	220	169	169	238	247	216	224	M815	2015	NA	NA	NA	NA	NA	NA	NA	NA	M815	1	NA	NA	M1113	1	M1113	2
667	131	154	136	136	175	177	268	290	229	233	216	216	169	169	255	263	216	220	M831	2013	M831	2	M831	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3151	154	154	136	136	0	0	0	0	231	231	220	220	169	173	247	247	220	220	M811	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M811	1	NA	NA	NA	NA
1956	154	154	134	142	175	188	268	268	229	231	216	218	169	169	251	255	216	220	M831	2014	NA	NA	NA	NA	NA	NA	M831	1	NA	NA	M831	3	NA	NA	M831	14
1496	131	154	136	146	186	188	268	288	231	233	211	216	169	169	247	255	216	220	M1079	2013	M1079	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
648	131	154	136	138	186	186	268	268	233	237	216	216	169	173	255	255	224	224	M1551	2015	M1551	2	NA	NA	M1551	2	M1551	1	M1551	1	NA	NA	NA	NA	NA	NA
227	154	154	136	136	175	186	265	288	233	233	216	216	173	173	247	255	224	224	M831	2013	M831	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1823	154	154	136	136	186	188	286	288	228	235	216	216	169	169	251	255	216	228	M1102	2016	NA	NA	NA	NA	M1102	1	NA	NA	NA	NA	NA	NA	NA	NA	M1102	1
3552	154	154	136	136	175	186	268	288	235	237	216	218	169	173	247	263	216	232	M831	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M831	1	NA	NA
417	154	154	136	136	184	186	268	288	233	233	216	216	169	169	255	255	216	220	M1102	2013	NA	NA	M1102	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1895	154	154	136	138	175	175	290	290	233	237	216	218	169	169	247	259	220	224	M809	2014	NA	NA	NA	NA	M809	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
914	154	154	136	136	173	186	268	290	239	241	211	218	169	169	238	238	220	224	M1113	2013	M1113	2	M1113	1	NA	NA	NA	NA	M1113	1	M1113	2	NA	NA	NA	NA
2176	154	154	136	138	175	186	268	286	233	233	211	218	169	169	247	259	220	228	M811	2014	NA	NA	NA	NA	NA	NA	M811	1	NA	NA	NA	NA	NA	NA	NA	NA
2429	154	154	134	138	177	188	268	268	235	237	220	220	169	173	243	255	224	232	M811	2015	NA	NA	NA	NA	NA	NA	NA	NA	M811	1	NA	NA	NA	NA	NA	NA
2610	154	154	136	136	177	188	265	288	229	237	220	220	169	177	234	251	212	216	M1979	2015	NA	NA	NA	NA	NA	NA	NA	NA	M1979	1	NA	NA	NA	NA	NA	NA
1301	154	154	136	136	177	188	268	288	228	241	218	220	169	177	251	255	220	232	P412	2013	P412	3	P412	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1260	154	154	136	146	186	186	268	268	231	241	211	211	169	169	251	255	224	228	M809	2013	NA	NA	M809	2	M809	2	M809	2	NA	NA	M809	3	M809	4	M809	2
953	154	154	136	136	175	175	268	268	231	231	216	216	173	173	243	255	220	220	M1106	2016	NA	NA	M1106	1	M1106	1	NA	NA	NA	NA	NA	NA	NA	NA	M1106	1
1221	131	154	136	136	177	186	265	290	235	241	218	218	169	173	238	255	212	216	PP3	2013	NA	NA	PP3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
929	154	154	136	136	186	188	268	288	228	233	216	216	169	169	238	251	216	220	M1113	2013	M1113	1	M1113	1	NA	NA	M1113	1	M1113	2	M1113	3	M1113	1	M1113	2
67	154	154	134	136	186	188	268	268	235	235	216	218	169	169	251	255	216	220	M1979	2013	NA	NA	M1979	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2932	154	154	136	136	186	186	284	286	229	241	216	220	169	169	251	255	212	216	M831	2016	NA	NA	NA	NA	NA	NA	NA	NA	M831	1	M831	1	M831	1	M831	1
1602	154	154	125	136	177	184	265	268	229	229	211	216	169	177	247	255	216	216	M1079	2013	NA	NA	M1079	2	NA	NA	NA	NA	M1079	1	NA	NA	M1079	2	M1079	4
3695	154	154	136	136	183	186	268	286	231	233	216	228	169	181	234	255	224	228	M831	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M831	1
