"distance" "meanFreq" "lowerIC" "upperIC"
"1" 0 0.087516393442623 0.0635245901639344 0.112704918032787
"2" 1 0.0962827868852459 0.0717213114754098 0.120901639344262
"3" 2 0.109522540983607 0.0819672131147541 0.135245901639344
"4" 3 0.109522540983607 0.0819672131147541 0.135245901639344
"5" 4 0.118014344262295 0.0901639344262295 0.145491803278689
"6" 5 0.144368852459016 0.114754098360656 0.174180327868852
"7" 6 0.179518442622951 0.147540983606557 0.211065573770492
"8" 7 0.189395491803279 0.155737704918033 0.221311475409836
"9" 8 0.227786885245902 0.192622950819672 0.262295081967213
"10" 9 0.281196721311475 0.241803278688525 0.319672131147541
"11" 10 0.3165 0.278688524590164 0.35655737704918
"12" 11 0.340600409836066 0.299180327868852 0.379098360655738
"13" 12 0.402952868852459 0.360655737704918 0.444672131147541
"14" 13 0.415395491803279 0.372950819672131 0.456967213114754
"15" 14 0.458223360655738 0.417981557377049 0.5
"16" 15 0.477670081967213 0.436424180327869 0.51844262295082
"17" 16 0.499702868852459 0.456967213114754 0.540983606557377
"18" 17 0.549571721311475 0.508145491803279 0.590163934426229
"19" 18 0.584102459016393 0.543032786885246 0.620901639344262
"20" 19 0.605610655737705 0.565573770491803 0.645491803278688
"21" 20 0.705262295081967 0.670081967213115 0.737756147540984
"22" 21 0.733342213114754 0.698770491803279 0.766393442622951
"23" 22 0.747237704918033 0.713114754098361 0.780737704918033
"24" 23 0.76218237704918 0.729508196721312 0.793084016393443
"25" 24 0.782165983606557 0.75 0.811475409836066
"26" 25 0.79725 0.76844262295082 0.825819672131147
"27" 26 0.800094262295082 0.770491803278688 0.829918032786885
"28" 27 0.800094262295082 0.770491803278688 0.829918032786885
"29" 28 0.816530737704918 0.788934426229508 0.842213114754098
"30" 29 0.819620901639344 0.790983606557377 0.846311475409836
"31" 30 0.823077868852459 0.795030737704918 0.848360655737705
"32" 31 0.861368852459016 0.836065573770492 0.883196721311475
"33" 32 0.861368852459016 0.836065573770492 0.883196721311475
"34" 33 0.877430327868852 0.854508196721312 0.899590163934426
"35" 34 0.88353893442623 0.860655737704918 0.905737704918033
"36" 35 0.890823770491803 0.868852459016393 0.911936475409836
"37" 36 0.890823770491803 0.868852459016393 0.911936475409836
"38" 37 0.890823770491803 0.868852459016393 0.911936475409836
"39" 38 0.923881147540984 0.903688524590164 0.944672131147541
"40" 39 0.925815573770492 0.905737704918033 0.94672131147541
"41" 40 0.927995901639344 0.907786885245902 0.94672131147541
"42" 41 0.927995901639344 0.907786885245902 0.94672131147541
"43" 42 0.927995901639344 0.907786885245902 0.94672131147541
"44" 43 0.935006147540984 0.915983606557377 0.952868852459016
"45" 44 0.937014344262295 0.918032786885246 0.954918032786885
"46" 45 0.941655737704918 0.922131147540984 0.961065573770492
"47" 46 0.951276639344262 0.934426229508197 0.969262295081967
"48" 47 0.95318237704918 0.936475409836066 0.969262295081967
"49" 48 0.966053278688525 0.950819672131147 0.98155737704918
"50" 49 0.981016393442623 0.969262295081967 0.991803278688525
"51" 50 0.981016393442623 0.969262295081967 0.991803278688525
"52" 51 0.987055327868852 0.977459016393443 0.995901639344262
"53" 52 0.987549180327869 0.977459016393443 0.995901639344262
"54" 53 0.989762295081967 0.979508196721312 0.997950819672131
"55" 54 0.99297131147541 0.985655737704918 1
"56" 55 0.994274590163934 0.98765368852459 1
"57" 56 1 1 1
"58" 57 1 1 1
"59" 58 1 1 1
"60" 59 1 1 1
"61" 60 1 1 1
