idind	idcol	CXSGT	M1079	M1102	M1106	M1112	M1113	M1551	M1975	M1979	M244	M809	M811	M813	M815	M831	PP1	PP3	run	col_origin	proba_col_origin	col_inferred	natal_disperser	proba_bin	proba_rank
588	M244	0.043	0.04	0.078	0.072	0.051	0.05	0.062	0.04	0.03	0.075	0.055	0.052	0.054	0.073	0.057	0.079	0.089	2	PP3	0.089	PP3	TRUE	p < 0.1	1
2548	M1551	0.098	0.067	0.057	0.047	0.045	0.055	0.063	0.053	0.05	0.054	0.069	0.041	0.055	0.057	0.078	0.065	0.046	2	CXSGT	0.098	CXSGT	TRUE	p < 0.1	1
1786	M811	0.114	0.068	0.043	0.059	0.06	0.057	0.063	0.036	0.03	0.063	0.059	0.061	0.057	0.065	0.053	0.059	0.055	2	CXSGT	0.114	CXSGT	TRUE	0.1 < p < 0.25	1
1569	M831	0.041	0.034	0.062	0.041	0.065	0.098	0.053	0.038	0.077	0.042	0.08	0.07	0.071	0.082	0.061	0.044	0.04	2	M1113	0.098	M1113	TRUE	p < 0.1	1
632	M1551	0.058	0.061	0.048	0.069	0.054	0.065	0.079	0.033	0.04	0.081	0.061	0.06	0.058	0.043	0.073	0.048	0.068	2	M244	0.081	M244	TRUE	p < 0.1	1
3543	M809	0.048	0.073	0.065	0.051	0.051	0.059	0.049	0.075	0.086	0.044	0.05	0.042	0.056	0.048	0.071	0.08	0.053	2	M1979	0.086	M1979	TRUE	p < 0.1	1
125	M831	0.039	0.031	0.047	0.078	0.047	0.061	0.053	0.055	0.081	0.034	0.054	0.053	0.054	0.078	0.094	0.065	0.075	2	M831	0.094	M831	FALSE	p < 0.1	1
1916	M831	0.023	0.033	0.048	0.042	0.037	0.049	0.046	0.254	0.126	0.038	0.053	0.041	0.045	0.038	0.048	0.039	0.04	2	M1975	0.254	M1975	TRUE	0.25 < p < 0.5	1
1389	PP1	0.038	0.034	0.051	0.084	0.079	0.069	0.088	0.049	0.043	0.046	0.064	0.049	0.08	0.051	0.067	0.046	0.061	2	M1551	0.088	M1551	TRUE	p < 0.1	1
1866	M809	0.028	0.028	0.053	0.078	0.067	0.085	0.057	0.038	0.031	0.07	0.082	0.057	0.074	0.056	0.061	0.066	0.066	2	M1113	0.085	M1113	TRUE	p < 0.1	1
1722	M1979	0.045	0.035	0.045	0.04	0.068	0.047	0.061	0.182	0.12	0.05	0.042	0.064	0.033	0.036	0.042	0.055	0.036	2	M1975	0.182	M1975	TRUE	0.1 < p < 0.25	1
42	M1979	0.024	0.047	0.035	0.039	0.036	0.031	0.038	0.142	0.333	0.033	0.036	0.033	0.032	0.032	0.038	0.031	0.04	2	M1979	0.333	M1979	FALSE	0.25 < p < 0.5	1
106	M831	0.037	0.041	0.062	0.071	0.057	0.05	0.069	0.054	0.055	0.072	0.069	0.057	0.057	0.046	0.091	0.049	0.063	2	M831	0.091	M831	FALSE	p < 0.1	1
3588	M244	0.032	0.047	0.069	0.051	0.052	0.041	0.05	0.046	0.078	0.163	0.052	0.048	0.067	0.037	0.06	0.051	0.058	2	M244	0.163	M244	FALSE	0.1 < p < 0.25	1
1831	M1975	0.073	0.048	0.032	0.037	0.05	0.034	0.045	0.168	0.173	0.043	0.053	0.042	0.041	0.053	0.038	0.035	0.034	2	M1979	0.173	M1979	TRUE	0.1 < p < 0.25	1
931	M813	0.038	0.038	0.048	0.073	0.072	0.074	0.059	0.032	0.031	0.058	0.07	0.063	0.06	0.087	0.053	0.066	0.079	2	M815	0.087	M815	TRUE	p < 0.1	1
2324	M244	0.035	0.039	0.056	0.053	0.045	0.054	0.057	0.034	0.041	0.071	0.055	0.065	0.052	0.055	0.048	0.049	0.192	2	PP3	0.192	PP3	TRUE	0.1 < p < 0.25	1
2416	M811	0.084	0.063	0.075	0.049	0.08	0.051	0.073	0.054	0.051	0.037	0.048	0.066	0.055	0.061	0.055	0.054	0.046	2	CXSGT	0.084	CXSGT	TRUE	p < 0.1	1
3551	M831	0.036	0.034	0.052	0.055	0.066	0.09	0.059	0.058	0.079	0.04	0.062	0.06	0.062	0.053	0.07	0.071	0.053	2	M1113	0.09	M1113	TRUE	p < 0.1	1
3818	M1112	0.088	0.038	0.048	0.038	0.065	0.061	0.075	0.033	0.034	0.063	0.077	0.058	0.069	0.077	0.083	0.051	0.039	2	CXSGT	0.088	CXSGT	TRUE	p < 0.1	1
1077	M1975	0.051	0.07	0.053	0.082	0.049	0.053	0.052	0.044	0.04	0.043	0.056	0.057	0.071	0.108	0.056	0.05	0.064	2	M815	0.108	M815	TRUE	0.1 < p < 0.25	1
2492	PP1	0.054	0.082	0.067	0.056	0.055	0.068	0.045	0.087	0.054	0.035	0.049	0.048	0.061	0.058	0.048	0.077	0.056	2	M1975	0.087	M1975	TRUE	p < 0.1	1
1835	M1102	0.057	0.044	0.087	0.039	0.07	0.067	0.071	0.036	0.049	0.082	0.056	0.064	0.055	0.054	0.076	0.048	0.046	2	M1102	0.087	M1102	FALSE	p < 0.1	1
379	M811	0.022	0.025	0.044	0.041	0.056	0.033	0.044	0.034	0.043	0.041	0.041	0.221	0.045	0.035	0.04	0.068	0.166	2	M811	0.221	M811	FALSE	0.1 < p < 0.25	1
394	M813	0.053	0.039	0.047	0.069	0.05	0.077	0.064	0.034	0.025	0.049	0.068	0.077	0.06	0.117	0.054	0.057	0.06	2	M815	0.117	M815	TRUE	0.1 < p < 0.25	1
2471	M809	0.04	0.042	0.058	0.072	0.069	0.093	0.064	0.042	0.043	0.033	0.061	0.07	0.068	0.074	0.044	0.064	0.061	2	M1113	0.093	M1113	TRUE	p < 0.1	1
97	M831	0.042	0.068	0.056	0.081	0.046	0.048	0.054	0.079	0.07	0.056	0.071	0.059	0.056	0.052	0.066	0.043	0.054	2	M1106	0.081	M1106	TRUE	p < 0.1	1
3529	M831	0.051	0.049	0.071	0.052	0.071	0.072	0.063	0.055	0.04	0.048	0.059	0.08	0.057	0.054	0.073	0.066	0.04	2	M811	0.08	M811	TRUE	p < 0.1	1
1500	M1079	0.061	0.171	0.056	0.043	0.041	0.051	0.04	0.092	0.107	0.037	0.045	0.036	0.047	0.041	0.044	0.044	0.045	2	M1079	0.171	M1079	FALSE	0.1 < p < 0.25	1
403	M1102	0.03	0.056	0.072	0.047	0.051	0.041	0.062	0.059	0.065	0.051	0.045	0.044	0.041	0.04	0.182	0.056	0.057	2	M831	0.182	M831	TRUE	0.1 < p < 0.25	1
2323	M244	0.037	0.07	0.052	0.087	0.064	0.051	0.066	0.044	0.038	0.057	0.056	0.045	0.052	0.072	0.06	0.057	0.091	2	PP3	0.091	PP3	TRUE	p < 0.1	1
