idind	idcol	Thu20	Thu21	Thu22	Thu23	Thu24	Thu25	Thu26	Thu27	Thu28	Thu29	Thu30	Thu31	Thu32	Thu33	Thu34	Thu35	Thu36	Thu37	Thu38	Thu39	run	col_origin	proba_col_origin	col_inferred	natal_disperser	proba_bin	proba_rank
1024	Thu30	0.02	0.354	0.015	0.027	0.01	0.017	0.023	0.014	0.085	0.028	0.203	0.091	0.017	0.013	0.022	0.006	0.012	0.013	0.012	0.018	7	Thu23	0.027	Thu21	TRUE	0.25 < p < 0.5	6
1025	Thu20	0.196	0.019	0.018	0.104	0.007	0.04	0.036	0.03	0.011	0.167	0.011	0.023	0.014	0.031	0.039	0.009	0.012	0.034	0.027	0.172	7	Thu34	0.039	Thu20	TRUE	0.1 < p < 0.25	6
1026	Thu21	0.007	0.436	0.005	0.008	0.004	0.007	0.006	0.005	0.434	0.006	0.023	0.011	0.006	0.006	0.007	0.004	0.005	0.007	0.006	0.006	7	Thu20	0.007	Thu21	TRUE	0.25 < p < 0.5	6
1033	Thu31	0.02	0.034	0.014	0.029	0.008	0.029	0.016	0.022	0.033	0.013	0.022	0.607	0.01	0.031	0.011	0.007	0.031	0.025	0.015	0.022	7	Thu23	0.029	Thu31	TRUE	p > 0.5	6
1034	Thu28	0.011	0.066	0.008	0.009	0.012	0.01	0.009	0.01	0.042	0.01	0.727	0.015	0.01	0.009	0.009	0.008	0.009	0.009	0.01	0.01	7	Thu20	0.011	Thu30	TRUE	p > 0.5	6
1037	Thu28	0.007	0.116	0.007	0.009	0.004	0.008	0.006	0.007	0.452	0.007	0.311	0.013	0.007	0.006	0.007	0.005	0.006	0.007	0.006	0.008	7	Thu25	0.008	Thu28	TRUE	0.25 < p < 0.5	6
1038	Thu21	0.008	0.278	0.006	0.008	0.005	0.007	0.008	0.006	0.365	0.007	0.233	0.018	0.006	0.006	0.007	0.005	0.006	0.006	0.006	0.007	7	Thu23	0.008	Thu28	TRUE	0.25 < p < 0.5	6
1040	Thu30	0.008	0.377	0.007	0.007	0.005	0.007	0.007	0.006	0.326	0.007	0.181	0.011	0.006	0.007	0.007	0.006	0.006	0.007	0.007	0.007	7	Thu22	0.007	Thu21	TRUE	0.25 < p < 0.5	6
1047	Thu28	0.011	0.286	0.007	0.009	0.015	0.008	0.009	0.006	0.298	0.009	0.264	0.017	0.007	0.009	0.008	0.005	0.007	0.008	0.009	0.007	7	Thu20	0.011	Thu28	TRUE	0.25 < p < 0.5	6
1052	Thu28	0.006	0.084	0.005	0.006	0.004	0.005	0.005	0.004	0.743	0.005	0.089	0.008	0.004	0.005	0.005	0.004	0.004	0.005	0.005	0.005	7	Thu23	0.006	Thu28	TRUE	p > 0.5	6
1053	Thu21	0.006	0.328	0.005	0.006	0.004	0.005	0.006	0.005	0.427	0.006	0.157	0.008	0.004	0.005	0.005	0.004	0.005	0.005	0.005	0.005	7	Thu23	0.006	Thu28	TRUE	0.25 < p < 0.5	6
1054	Thu28	0.007	0.313	0.006	0.007	0.004	0.006	0.006	0.006	0.459	0.006	0.122	0.01	0.006	0.006	0.006	0.005	0.006	0.006	0.007	0.006	7	Thu23	0.007	Thu28	TRUE	0.25 < p < 0.5	6
1060	Thu28	0.009	0.176	0.006	0.01	0.007	0.008	0.008	0.006	0.371	0.009	0.314	0.022	0.007	0.007	0.007	0.005	0.007	0.007	0.007	0.007	7	Thu20	0.009	Thu28	TRUE	0.25 < p < 0.5	6
1065	Thu32	0.1	0.012	0.117	0.064	0.009	0.057	0.035	0.046	0.016	0.092	0.012	0.057	0.03	0.039	0.028	0.008	0.064	0.116	0.033	0.066	7	Thu23	0.064	Thu22	TRUE	0.1 < p < 0.25	6
1066	Thu31	0.016	0.018	0.008	0.014	0.01	0.029	0.014	0.009	0.015	0.01	0.007	0.753	0.013	0.015	0.009	0.012	0.007	0.017	0.012	0.013	7	Thu28	0.015	Thu31	TRUE	p > 0.5	6
1071	Thu21	0.062	0.099	0.028	0.073	0.012	0.061	0.062	0.014	0.05	0.042	0.083	0.209	0.022	0.022	0.033	0.015	0.013	0.023	0.025	0.053	7	Thu26	0.062	Thu31	TRUE	0.1 < p < 0.25	6
1074	Thu31	0.027	0.02	0.019	0.017	0.007	0.045	0.017	0.024	0.012	0.018	0.013	0.616	0.012	0.032	0.012	0.013	0.026	0.027	0.019	0.023	7	Thu36	0.026	Thu31	TRUE	p > 0.5	6
1084	Thu31	0.111	0.021	0.03	0.07	0.009	0.029	0.228	0.018	0.015	0.029	0.016	0.195	0.019	0.018	0.028	0.009	0.014	0.029	0.032	0.08	7	Thu38	0.032	Thu26	TRUE	0.1 < p < 0.25	6
1091	Thu28	0.009	0.22	0.007	0.01	0.006	0.009	0.009	0.006	0.097	0.01	0.525	0.03	0.009	0.007	0.008	0.008	0.007	0.008	0.008	0.008	7	Thu29	0.01	Thu30	TRUE	p > 0.5	6
1098	Thu28	0.01	0.345	0.009	0.007	0.006	0.011	0.01	0.01	0.201	0.01	0.274	0.03	0.009	0.008	0.009	0.017	0.007	0.009	0.009	0.01	7	Thu25	0.011	Thu21	TRUE	0.25 < p < 0.5	6
1102	Thu28	0.01	0.044	0.008	0.008	0.012	0.009	0.008	0.009	0.026	0.01	0.772	0.014	0.009	0.009	0.008	0.009	0.008	0.009	0.009	0.009	7	Thu20	0.01	Thu30	TRUE	p > 0.5	6
1105	Thu28	0.008	0.134	0.007	0.009	0.005	0.008	0.008	0.006	0.175	0.008	0.562	0.016	0.007	0.006	0.007	0.007	0.006	0.007	0.006	0.008	7	Thu20	0.008	Thu30	TRUE	p > 0.5	6
1108	Thu21	0.011	0.19	0.012	0.014	0.006	0.009	0.011	0.012	0.093	0.013	0.514	0.025	0.014	0.013	0.01	0.008	0.011	0.011	0.011	0.012	7	Thu32	0.014	Thu30	TRUE	p > 0.5	6
1112	Thu26	0.054	0.04	0.031	0.13	0.01	0.038	0.024	0.03	0.026	0.078	0.053	0.036	0.034	0.064	0.022	0.029	0.067	0.068	0.109	0.055	7	Thu33	0.064	Thu23	TRUE	0.1 < p < 0.25	6
1115	Thu23	0.076	0.086	0.032	0.03	0.074	0.027	0.053	0.022	0.019	0.182	0.074	0.03	0.027	0.031	0.041	0.01	0.039	0.03	0.082	0.036	7	Thu30	0.074	Thu29	TRUE	0.1 < p < 0.25	6
1119	Thu21	0.01	0.404	0.011	0.009	0.013	0.008	0.02	0.014	0.053	0.014	0.331	0.026	0.015	0.012	0.012	0.008	0.01	0.01	0.01	0.011	7	Thu32	0.015	Thu21	TRUE	0.25 < p < 0.5	6
1120	Thu30	0.017	0.262	0.01	0.012	0.01	0.013	0.015	0.011	0.06	0.015	0.251	0.075	0.015	0.015	0.009	0.152	0.008	0.013	0.021	0.016	7	Thu38	0.021	Thu21	TRUE	0.25 < p < 0.5	6
1121	Thu31	0.019	0.02	0.016	0.028	0.009	0.035	0.013	0.021	0.018	0.016	0.019	0.533	0.014	0.045	0.009	0.006	0.096	0.035	0.025	0.021	7	Thu23	0.028	Thu31	TRUE	p > 0.5	6
1122	Thu26	0.036	0.16	0.03	0.031	0.008	0.028	0.034	0.041	0.086	0.036	0.107	0.172	0.041	0.029	0.025	0.01	0.025	0.028	0.027	0.045	7	Thu27	0.041	Thu31	TRUE	0.1 < p < 0.25	6
1123	Thu30	0.009	0.181	0.007	0.008	0.005	0.008	0.008	0.007	0.534	0.007	0.15	0.019	0.007	0.007	0.008	0.005	0.006	0.008	0.008	0.009	7	Thu39	0.009	Thu28	TRUE	p > 0.5	6
1124	Thu30	0.01	0.14	0.008	0.01	0.005	0.01	0.009	0.008	0.467	0.009	0.234	0.027	0.009	0.008	0.009	0.005	0.007	0.008	0.008	0.01	7	Thu23	0.01	Thu28	TRUE	0.25 < p < 0.5	6
1125	Thu30	0.012	0.238	0.007	0.012	0.008	0.01	0.012	0.007	0.178	0.011	0.339	0.098	0.011	0.008	0.008	0.006	0.008	0.009	0.008	0.01	7	Thu23	0.012	Thu30	TRUE	0.25 < p < 0.5	6
1131	Thu31	0.012	0.025	0.01	0.012	0.007	0.035	0.01	0.011	0.045	0.012	0.032	0.703	0.014	0.01	0.011	0.007	0.01	0.012	0.01	0.012	7	Thu32	0.014	Thu31	TRUE	p > 0.5	6
1132	Thu33	0.041	0.014	0.049	0.056	0.007	0.063	0.033	0.059	0.011	0.075	0.012	0.022	0.068	0.076	0.052	0.01	0.042	0.098	0.066	0.147	7	Thu38	0.066	Thu39	TRUE	0.1 < p < 0.25	6
1133	Thu26	0.095	0.008	0.025	0.021	0.006	0.072	0.165	0.032	0.007	0.054	0.007	0.01	0.048	0.066	0.042	0.006	0.017	0.157	0.032	0.131	7	Thu33	0.066	Thu26	TRUE	0.1 < p < 0.25	6
1134	Thu32	0.04	0.07	0.015	0.017	0.011	0.034	0.03	0.025	0.047	0.041	0.041	0.1	0.321	0.04	0.021	0.009	0.034	0.037	0.032	0.037	7	Thu30	0.041	Thu32	TRUE	0.25 < p < 0.5	6
1137	Thu21	0.034	0.193	0.028	0.027	0.008	0.031	0.037	0.028	0.051	0.052	0.065	0.163	0.06	0.035	0.042	0.009	0.022	0.034	0.042	0.039	7	Thu28	0.051	Thu21	TRUE	0.1 < p < 0.25	6
1138	Thu20	0.054	0.013	0.032	0.059	0.007	0.13	0.058	0.073	0.013	0.065	0.011	0.015	0.055	0.043	0.138	0.005	0.016	0.061	0.031	0.124	7	Thu37	0.061	Thu34	TRUE	0.1 < p < 0.25	6
1139	Thu37	0.051	0.011	0.034	0.086	0.007	0.138	0.041	0.069	0.01	0.078	0.011	0.016	0.075	0.054	0.095	0.006	0.021	0.062	0.035	0.101	7	Thu32	0.075	Thu25	TRUE	0.1 < p < 0.25	6
1143	Thu38	0.08	0.021	0.041	0.04	0.006	0.048	0.048	0.038	0.012	0.095	0.013	0.024	0.03	0.038	0.183	0.02	0.037	0.081	0.088	0.059	7	Thu39	0.059	Thu34	TRUE	0.1 < p < 0.25	6
1146	Thu38	0.082	0.02	0.033	0.06	0.008	0.046	0.054	0.043	0.014	0.099	0.014	0.031	0.047	0.046	0.083	0.011	0.055	0.085	0.103	0.066	7	Thu39	0.066	Thu38	TRUE	0.1 < p < 0.25	6
1147	Thu20	0.078	0.041	0.044	0.13	0.008	0.059	0.063	0.019	0.023	0.077	0.031	0.051	0.036	0.051	0.074	0.011	0.017	0.048	0.069	0.071	7	Thu38	0.069	Thu23	TRUE	0.1 < p < 0.25	6
1156	Thu27	0.057	0.027	0.037	0.066	0.009	0.046	0.052	0.072	0.022	0.061	0.02	0.038	0.078	0.079	0.024	0.009	0.024	0.061	0.049	0.169	7	Thu29	0.061	Thu39	TRUE	0.1 < p < 0.25	6
1157	Thu37	0.074	0.011	0.034	0.017	0.007	0.024	0.072	0.21	0.008	0.092	0.008	0.012	0.046	0.035	0.08	0.014	0.092	0.072	0.038	0.054	7	Thu26	0.072	Thu27	TRUE	0.1 < p < 0.25	6
1162	Thu32	0.04	0.027	0.037	0.036	0.011	0.253	0.025	0.1	0.032	0.042	0.026	0.033	0.08	0.029	0.056	0.018	0.015	0.038	0.021	0.079	7	Thu29	0.042	Thu25	TRUE	0.25 < p < 0.5	6
1167	Thu33	0.086	0.017	0.03	0.037	0.01	0.081	0.036	0.064	0.014	0.096	0.012	0.014	0.091	0.085	0.035	0.008	0.06	0.078	0.068	0.079	7	Thu39	0.079	Thu29	TRUE	p < 0.1	6
1173	Thu28	0.012	0.192	0.01	0.013	0.006	0.014	0.011	0.01	0.417	0.012	0.177	0.038	0.013	0.011	0.013	0.007	0.009	0.011	0.011	0.013	7	Thu23	0.013	Thu28	TRUE	0.25 < p < 0.5	6
1176	Thu22	0.056	0.017	0.058	0.046	0.007	0.125	0.039	0.06	0.014	0.048	0.013	0.036	0.025	0.077	0.072	0.008	0.106	0.093	0.047	0.052	7	Thu27	0.06	Thu25	TRUE	0.1 < p < 0.25	6
1182	Thu25	0.038	0.016	0.03	0.026	0.029	0.109	0.02	0.048	0.011	0.071	0.013	0.011	0.085	0.046	0.255	0.008	0.04	0.049	0.044	0.05	7	Thu37	0.049	Thu34	TRUE	0.25 < p < 0.5	6
1185	Thu37	0.046	0.014	0.035	0.07	0.007	0.091	0.027	0.119	0.012	0.065	0.012	0.018	0.061	0.075	0.058	0.013	0.037	0.083	0.052	0.105	7	Thu23	0.07	Thu27	TRUE	0.1 < p < 0.25	6
1200	Thu26	0.081	0.037	0.033	0.082	0.01	0.051	0.055	0.04	0.024	0.071	0.018	0.064	0.038	0.054	0.042	0.013	0.025	0.059	0.107	0.096	7	Thu31	0.064	Thu38	TRUE	0.1 < p < 0.25	6
1205	Thu28	0.02	0.356	0.014	0.017	0.013	0.017	0.021	0.01	0.279	0.018	0.126	0.008	0.01	0.013	0.027	0.004	0.011	0.013	0.012	0.014	7	Thu20	0.02	Thu21	TRUE	0.25 < p < 0.5	6
1207	Thu28	0.01	0.336	0.007	0.008	0.005	0.008	0.009	0.007	0.43	0.009	0.091	0.014	0.008	0.009	0.01	0.005	0.007	0.009	0.01	0.009	7	Thu34	0.01	Thu28	TRUE	0.25 < p < 0.5	6
1208	Thu21	0.01	0.409	0.007	0.009	0.005	0.009	0.009	0.006	0.305	0.01	0.143	0.016	0.008	0.008	0.009	0.005	0.007	0.008	0.008	0.008	7	Thu29	0.01	Thu21	TRUE	0.25 < p < 0.5	6
1212	Thu26	0.085	0.017	0.061	0.082	0.008	0.03	0.331	0.02	0.018	0.026	0.016	0.045	0.019	0.012	0.137	0.005	0.015	0.025	0.017	0.031	7	Thu31	0.045	Thu26	TRUE	0.25 < p < 0.5	6
1214	Thu26	0.093	0.023	0.032	0.054	0.011	0.051	0.046	0.045	0.011	0.099	0.011	0.05	0.042	0.061	0.043	0.023	0.03	0.059	0.15	0.067	7	Thu37	0.059	Thu38	TRUE	0.1 < p < 0.25	6
1218	Thu29	0.097	0.012	0.025	0.106	0.01	0.022	0.015	0.05	0.012	0.336	0.01	0.011	0.016	0.033	0.018	0.006	0.038	0.029	0.028	0.124	7	Thu36	0.038	Thu29	TRUE	0.25 < p < 0.5	6
1222	Thu28	0.005	0.142	0.004	0.004	0.011	0.005	0.005	0.004	0.686	0.005	0.085	0.008	0.004	0.005	0.005	0.004	0.004	0.004	0.005	0.004	7	Thu20	0.005	Thu28	TRUE	p > 0.5	6
1224	Thu21	0.027	0.218	0.014	0.014	0.007	0.013	0.027	0.033	0.377	0.017	0.033	0.012	0.014	0.014	0.038	0.051	0.032	0.031	0.013	0.014	7	Thu30	0.033	Thu28	TRUE	0.25 < p < 0.5	6
1226	Thu28	0.005	0.075	0.004	0.004	0.005	0.005	0.004	0.004	0.767	0.005	0.082	0.008	0.004	0.004	0.004	0.004	0.004	0.004	0.004	0.004	7	Thu24	0.005	Thu28	TRUE	p > 0.5	6
1233	Thu28	0.005	0.119	0.005	0.005	0.004	0.006	0.005	0.005	0.732	0.005	0.058	0.009	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.006	7	Thu39	0.006	Thu28	TRUE	p > 0.5	6
1236	Thu28	0.009	0.586	0.007	0.006	0.006	0.01	0.008	0.008	0.247	0.008	0.023	0.016	0.009	0.008	0.007	0.011	0.007	0.009	0.008	0.007	7	Thu25	0.01	Thu21	TRUE	p > 0.5	6
1237	Thu31	0.017	0.025	0.014	0.009	0.01	0.013	0.013	0.01	0.026	0.011	0.015	0.749	0.007	0.012	0.008	0.018	0.011	0.011	0.011	0.01	7	Thu30	0.015	Thu31	TRUE	p > 0.5	6
1239	Thu37	0.038	0.015	0.035	0.02	0.008	0.054	0.031	0.394	0.01	0.06	0.009	0.012	0.039	0.05	0.058	0.009	0.028	0.043	0.028	0.06	7	Thu33	0.05	Thu27	TRUE	0.25 < p < 0.5	6
1240	Thu28	0.014	0.444	0.015	0.013	0.028	0.011	0.026	0.029	0.111	0.017	0.126	0.032	0.028	0.022	0.019	0.005	0.016	0.014	0.014	0.015	7	Thu24	0.028	Thu21	TRUE	0.25 < p < 0.5	6
1241	Thu21	0.013	0.472	0.015	0.009	0.012	0.01	0.021	0.037	0.158	0.016	0.06	0.035	0.028	0.022	0.02	0.006	0.022	0.014	0.015	0.014	7	Thu32	0.028	Thu21	TRUE	0.25 < p < 0.5	6
1248	Thu35	0.065	0.037	0.031	0.022	0.009	0.081	0.027	0.106	0.035	0.042	0.022	0.023	0.032	0.033	0.067	0.171	0.046	0.059	0.039	0.053	7	Thu37	0.059	Thu35	TRUE	0.1 < p < 0.25	6
1250	Thu30	0.015	0.486	0.011	0.009	0.006	0.012	0.011	0.012	0.197	0.013	0.103	0.026	0.012	0.012	0.011	0.015	0.012	0.012	0.014	0.012	7	Thu35	0.015	Thu21	TRUE	0.25 < p < 0.5	6
1259	Thu28	0.01	0.162	0.011	0.01	0.005	0.011	0.009	0.009	0.495	0.009	0.188	0.012	0.009	0.009	0.01	0.006	0.008	0.009	0.009	0.01	7	Thu25	0.011	Thu28	TRUE	0.25 < p < 0.5	6
1265	Thu21	0.01	0.456	0.008	0.007	0.006	0.009	0.009	0.01	0.296	0.009	0.076	0.025	0.011	0.009	0.009	0.012	0.009	0.009	0.01	0.009	7	Thu32	0.011	Thu21	TRUE	0.25 < p < 0.5	6
1276	Thu30	0.009	0.223	0.011	0.01	0.006	0.009	0.011	0.014	0.471	0.01	0.134	0.014	0.011	0.01	0.012	0.004	0.009	0.01	0.009	0.011	7	Thu34	0.012	Thu28	TRUE	0.25 < p < 0.5	6
1283	Thu37	0.061	0.013	0.035	0.067	0.008	0.092	0.022	0.126	0.011	0.077	0.01	0.014	0.053	0.061	0.048	0.022	0.077	0.075	0.063	0.065	7	Thu23	0.067	Thu27	TRUE	0.1 < p < 0.25	6
1291	Thu20	0.049	0.054	0.023	0.045	0.008	0.062	0.022	0.08	0.067	0.043	0.046	0.04	0.093	0.066	0.033	0.036	0.069	0.062	0.042	0.057	7	Thu25	0.062	Thu32	TRUE	p < 0.1	6
1301	Thu28	0.013	0.219	0.011	0.01	0.005	0.01	0.011	0.009	0.489	0.01	0.125	0.01	0.008	0.01	0.012	0.005	0.008	0.011	0.01	0.012	7	Thu39	0.012	Thu28	TRUE	0.25 < p < 0.5	6
1302	Thu21	0.017	0.126	0.019	0.025	0.005	0.018	0.013	0.014	0.337	0.016	0.291	0.015	0.014	0.013	0.016	0.007	0.011	0.014	0.013	0.017	7	Thu25	0.018	Thu28	TRUE	0.25 < p < 0.5	6
1306	Thu28	0.008	0.158	0.007	0.007	0.004	0.008	0.008	0.007	0.641	0.007	0.084	0.007	0.006	0.007	0.008	0.004	0.006	0.007	0.007	0.008	7	Thu26	0.008	Thu28	TRUE	p > 0.5	6
1307	Thu32	0.091	0.091	0.031	0.06	0.017	0.038	0.079	0.04	0.046	0.049	0.026	0.058	0.026	0.058	0.047	0.036	0.017	0.043	0.075	0.075	7	Thu23	0.06	Thu20	TRUE	p < 0.1	6
1308	Thu21	0.019	0.375	0.012	0.01	0.007	0.013	0.014	0.013	0.284	0.015	0.111	0.015	0.014	0.016	0.016	0.008	0.014	0.014	0.016	0.013	7	Thu34	0.016	Thu21	TRUE	0.25 < p < 0.5	6
1309	Thu21	0.011	0.39	0.008	0.009	0.006	0.008	0.01	0.007	0.279	0.01	0.18	0.013	0.008	0.009	0.008	0.006	0.009	0.009	0.009	0.009	7	Thu26	0.01	Thu21	TRUE	0.25 < p < 0.5	6
1310	Thu21	0.025	0.311	0.014	0.018	0.009	0.018	0.017	0.013	0.169	0.023	0.241	0.024	0.018	0.015	0.016	0.009	0.017	0.014	0.014	0.014	7	Thu29	0.023	Thu21	TRUE	0.25 < p < 0.5	6
1313	Thu31	0.016	0.015	0.013	0.014	0.008	0.019	0.012	0.019	0.018	0.015	0.018	0.672	0.048	0.016	0.011	0.012	0.018	0.018	0.02	0.018	7	Thu28	0.018	Thu31	TRUE	p > 0.5	6
1317	Thu26	0.09	0.009	0.138	0.077	0.008	0.028	0.044	0.035	0.012	0.092	0.009	0.015	0.042	0.047	0.04	0.023	0.037	0.106	0.064	0.084	7	Thu23	0.077	Thu22	TRUE	0.1 < p < 0.25	6
1318	Thu26	0.099	0.018	0.189	0.05	0.007	0.06	0.033	0.029	0.032	0.106	0.019	0.012	0.046	0.042	0.037	0.007	0.022	0.073	0.039	0.081	7	Thu25	0.06	Thu22	TRUE	0.1 < p < 0.25	6
1320	Thu22	0.059	0.009	0.179	0.05	0.015	0.045	0.031	0.054	0.015	0.122	0.009	0.016	0.082	0.036	0.026	0.006	0.041	0.075	0.053	0.077	7	Thu20	0.059	Thu22	TRUE	0.1 < p < 0.25	6
1322	Thu32	0.043	0.009	0.032	0.047	0.008	0.05	0.031	0.057	0.012	0.054	0.011	0.019	0.223	0.048	0.013	0.005	0.068	0.064	0.042	0.164	7	Thu29	0.054	Thu32	TRUE	0.1 < p < 0.25	6
1323	Thu33	0.106	0.01	0.021	0.018	0.009	0.062	0.028	0.094	0.009	0.077	0.008	0.025	0.063	0.13	0.019	0.006	0.139	0.068	0.022	0.084	7	Thu29	0.077	Thu36	TRUE	0.1 < p < 0.25	6
1325	Thu32	0.042	0.007	0.04	0.027	0.01	0.053	0.044	0.161	0.006	0.088	0.006	0.016	0.141	0.041	0.029	0.006	0.056	0.06	0.059	0.111	7	Thu38	0.059	Thu27	TRUE	0.1 < p < 0.25	6
1326	Thu32	0.045	0.007	0.033	0.021	0.008	0.078	0.039	0.184	0.006	0.076	0.005	0.013	0.139	0.041	0.03	0.006	0.033	0.061	0.042	0.132	7	Thu37	0.061	Thu27	TRUE	0.1 < p < 0.25	6
1328	Thu29	0.044	0.015	0.032	0.045	0.01	0.057	0.05	0.079	0.008	0.055	0.006	0.02	0.147	0.123	0.033	0.007	0.036	0.117	0.069	0.046	7	Thu25	0.057	Thu32	TRUE	0.1 < p < 0.25	6
1337	Thu32	0.092	0.011	0.029	0.024	0.008	0.072	0.054	0.092	0.01	0.072	0.009	0.011	0.102	0.056	0.053	0.011	0.054	0.094	0.049	0.099	7	Thu25	0.072	Thu32	TRUE	0.1 < p < 0.25	6
1338	Thu31	0.052	0.058	0.022	0.021	0.019	0.072	0.037	0.029	0.032	0.052	0.031	0.272	0.09	0.024	0.022	0.024	0.032	0.03	0.042	0.041	7	Thu29	0.052	Thu31	TRUE	0.25 < p < 0.5	6
1343	Thu32	0.06	0.008	0.04	0.039	0.006	0.068	0.06	0.113	0.009	0.036	0.009	0.026	0.034	0.044	0.074	0.009	0.181	0.108	0.026	0.049	7	Thu20	0.06	Thu36	TRUE	0.1 < p < 0.25	6
1344	Thu22	0.057	0.019	0.063	0.051	0.008	0.133	0.049	0.047	0.02	0.042	0.018	0.054	0.036	0.078	0.042	0.005	0.084	0.086	0.045	0.062	7	Thu39	0.062	Thu25	TRUE	0.1 < p < 0.25	6
1351	Thu20	0.051	0.019	0.082	0.069	0.008	0.064	0.084	0.057	0.022	0.068	0.019	0.022	0.052	0.045	0.093	0.005	0.033	0.056	0.05	0.101	7	Thu29	0.068	Thu39	TRUE	0.1 < p < 0.25	6
1356	Thu22	0.088	0.038	0.035	0.073	0.009	0.091	0.045	0.027	0.022	0.058	0.014	0.031	0.089	0.076	0.035	0.009	0.029	0.108	0.082	0.043	7	Thu33	0.076	Thu37	TRUE	0.1 < p < 0.25	6
1365	Thu20	0.09	0.033	0.05	0.07	0.008	0.061	0.095	0.026	0.027	0.058	0.024	0.037	0.037	0.056	0.068	0.009	0.018	0.056	0.077	0.1	7	Thu34	0.068	Thu39	TRUE	0.1 < p < 0.25	6
1366	Thu29	0.063	0.1	0.037	0.061	0.009	0.034	0.048	0.019	0.056	0.043	0.051	0.1	0.031	0.061	0.027	0.015	0.019	0.048	0.104	0.077	7	Thu23	0.061	Thu38	TRUE	0.1 < p < 0.25	6
1368	Thu32	0.078	0.03	0.019	0.01	0.011	0.023	0.054	0.087	0.026	0.042	0.018	0.017	0.164	0.067	0.02	0.013	0.168	0.064	0.037	0.053	7	Thu37	0.064	Thu36	TRUE	0.1 < p < 0.25	6
1370	Thu32	0.049	0.008	0.032	0.02	0.006	0.048	0.038	0.288	0.01	0.028	0.009	0.02	0.04	0.031	0.027	0.009	0.18	0.084	0.017	0.057	7	Thu25	0.048	Thu27	TRUE	0.25 < p < 0.5	6
1372	Thu37	0.069	0.016	0.022	0.024	0.008	0.087	0.033	0.093	0.01	0.042	0.007	0.011	0.175	0.137	0.019	0.009	0.032	0.116	0.038	0.052	7	Thu20	0.069	Thu32	TRUE	0.1 < p < 0.25	6
1374	Thu39	0.036	0.007	0.033	0.024	0.008	0.049	0.022	0.225	0.006	0.06	0.006	0.011	0.11	0.07	0.021	0.012	0.103	0.068	0.05	0.081	7	Thu37	0.068	Thu27	TRUE	0.1 < p < 0.25	6
1377	Thu26	0.074	0.011	0.086	0.011	0.007	0.014	0.405	0.039	0.01	0.028	0.009	0.017	0.02	0.034	0.016	0.007	0.033	0.114	0.021	0.045	7	Thu27	0.039	Thu26	TRUE	0.25 < p < 0.5	6
1380	Thu38	0.062	0.018	0.073	0.039	0.007	0.028	0.095	0.084	0.019	0.027	0.014	0.023	0.056	0.072	0.034	0.008	0.081	0.093	0.055	0.113	7	Thu22	0.073	Thu39	TRUE	0.1 < p < 0.25	6
1381	Thu23	0.076	0.015	0.044	0.026	0.015	0.035	0.149	0.122	0.013	0.087	0.011	0.012	0.05	0.032	0.048	0.006	0.095	0.053	0.029	0.083	7	Thu20	0.076	Thu26	TRUE	0.1 < p < 0.25	6
1387	Thu32	0.042	0.02	0.04	0.02	0.008	0.047	0.048	0.258	0.015	0.047	0.011	0.015	0.046	0.083	0.044	0.008	0.038	0.063	0.05	0.097	7	Thu26	0.048	Thu27	TRUE	0.25 < p < 0.5	6
1388	Thu39	0.021	0.11	0.046	0.03	0.01	0.018	0.027	0.059	0.072	0.03	0.079	0.084	0.066	0.083	0.023	0.014	0.097	0.042	0.048	0.039	7	Thu28	0.072	Thu21	TRUE	0.1 < p < 0.25	6
1389	Thu36	0.025	0.009	0.056	0.034	0.01	0.021	0.04	0.231	0.008	0.048	0.008	0.012	0.045	0.053	0.063	0.011	0.179	0.059	0.045	0.044	7	Thu33	0.053	Thu27	TRUE	0.1 < p < 0.25	6
1391	Thu32	0.043	0.011	0.025	0.029	0.01	0.066	0.046	0.053	0.012	0.032	0.01	0.057	0.058	0.072	0.039	0.01	0.072	0.101	0.046	0.206	7	Thu32	0.058	Thu39	FALSE	0.1 < p < 0.25	6
1396	Thu32	0.059	0.008	0.037	0.038	0.009	0.053	0.026	0.076	0.007	0.08	0.007	0.01	0.123	0.077	0.02	0.008	0.189	0.058	0.064	0.051	7	Thu38	0.064	Thu36	TRUE	0.1 < p < 0.25	6
1400	Thu36	0.063	0.011	0.029	0.027	0.006	0.042	0.025	0.107	0.01	0.051	0.01	0.011	0.074	0.08	0.024	0.03	0.165	0.1	0.058	0.076	7	Thu32	0.074	Thu36	TRUE	0.1 < p < 0.25	6
1402	Thu20	0.095	0.014	0.054	0.068	0.007	0.031	0.025	0.06	0.016	0.123	0.014	0.01	0.03	0.072	0.021	0.007	0.094	0.056	0.037	0.166	7	Thu23	0.068	Thu39	TRUE	0.1 < p < 0.25	6
1403	Thu32	0.049	0.022	0.02	0.021	0.008	0.059	0.022	0.088	0.026	0.041	0.023	0.029	0.31	0.053	0.015	0.014	0.058	0.047	0.029	0.067	7	Thu33	0.053	Thu32	TRUE	0.25 < p < 0.5	6
1408	Thu31	0.037	0.091	0.019	0.025	0.015	0.041	0.036	0.025	0.078	0.027	0.059	0.336	0.045	0.019	0.017	0.032	0.016	0.022	0.022	0.041	7	Thu25	0.041	Thu31	TRUE	0.25 < p < 0.5	6
