idind	idcol	Thu20	Thu21	Thu22	Thu23	Thu24	Thu25	Thu26	Thu27	Thu28	Thu29	Thu30	Thu31	Thu32	Thu33	Thu34	Thu35	Thu36	Thu37	Thu38	Thu39	run	col_origin	proba_col_origin	col_inferred	natal_disperser	proba_bin	proba_rank
64	Thu32	0.015	0.01	0.012	0.012	0.019	0.016	0.011	0.086	0.009	0.013	0.008	0.028	0.122	0.306	0.009	0.007	0.114	0.138	0.04	0.024	7	Thu33	0.306	Thu33	TRUE	0.25 < p < 0.5	1
65	Thu32	0.011	0.01	0.014	0.024	0.018	0.01	0.01	0.062	0.01	0.013	0.01	0.016	0.252	0.266	0.009	0.009	0.087	0.097	0.048	0.026	7	Thu33	0.266	Thu33	TRUE	0.25 < p < 0.5	1
66	Thu32	0.013	0.005	0.026	0.041	0.046	0.029	0.014	0.149	0.009	0.017	0.008	0.031	0.278	0.091	0.019	0.004	0.087	0.093	0.017	0.022	7	Thu32	0.278	Thu32	FALSE	0.25 < p < 0.5	1
67	Thu39	0.014	0.007	0.023	0.021	0.024	0.013	0.017	0.185	0.005	0.019	0.005	0.007	0.066	0.3	0.026	0.006	0.038	0.116	0.078	0.03	7	Thu33	0.3	Thu33	TRUE	0.25 < p < 0.5	1
69	Thu33	0.016	0.005	0.018	0.039	0.015	0.034	0.01	0.126	0.005	0.016	0.005	0.012	0.079	0.294	0.014	0.008	0.072	0.171	0.039	0.023	7	Thu33	0.294	Thu33	FALSE	0.25 < p < 0.5	1
71	Thu32	0.016	0.005	0.02	0.041	0.014	0.025	0.012	0.177	0.005	0.021	0.005	0.007	0.15	0.243	0.023	0.009	0.025	0.126	0.043	0.033	7	Thu33	0.243	Thu33	TRUE	0.1 < p < 0.25	1
74	Thu36	0.075	0.009	0.052	0.051	0.013	0.066	0.048	0.059	0.008	0.052	0.008	0.021	0.046	0.068	0.022	0.007	0.116	0.14	0.051	0.089	7	Thu37	0.14	Thu37	TRUE	0.1 < p < 0.25	1
75	Thu35	0.028	0.006	0.018	0.013	0.007	0.015	0.018	0.016	0.006	0.019	0.005	0.009	0.015	0.029	0.013	0.64	0.014	0.07	0.034	0.027	7	Thu35	0.64	Thu35	FALSE	p > 0.5	1
77	Thu20	0.07	0.009	0.017	0.363	0.009	0.035	0.031	0.027	0.005	0.06	0.008	0.025	0.02	0.028	0.068	0.017	0.02	0.08	0.027	0.081	7	Thu23	0.363	Thu23	TRUE	0.25 < p < 0.5	1
78	Thu38	0.063	0.006	0.047	0.045	0.01	0.011	0.045	0.033	0.005	0.03	0.005	0.009	0.021	0.056	0.027	0.011	0.042	0.062	0.444	0.028	7	Thu38	0.444	Thu38	FALSE	0.25 < p < 0.5	1
