0.058	0.001	0.005	0.054	0.7136	0.099	0.0001	0.02	0.002	0.0354	0.007	0.003	0.001	0.001							
0.0094	0.24	0.095	0.0016	0.0401	0.073	0.2897	0.1942	0.0552	0.0018											
0.0012	0.0003	0.0015	0.0006	0.0012	0.0006	0.1162	0.3	0.0027	0.0021	0.0029	0.0009	0.0883	0.0729	0.2826	0.1134	0.0095	0.0011	0.0007	0.0004	0,0009
0.0003	0.005	0.004	0.1106	0.1822	0.1022	0.1359	0.1876	0.1123	0.0647	0.0889	0.0061	0.0001	0.0001							
0.0141	0.004	0.0254	0.1788	0.0029	0.0111	0.3882	0.138	0.1655	0.0117	0.0046	0.042	0.0136	0.0001							
0.0325	0.6167	0.2554	0.0727	0.0174	0.0001	0.0006	0.0046													
0.0343	0.0633	0.0966	0.1782	0.2646	0.2287	0.0945	0.0026	0.0338	0.0011	0.0023										
0.0001	0.004	0.0915	0.2372	0.29	0.2585	0.0769	0.0366	0.0044	0.0008											
