"offspring" "father" "colonyOffsp" "colonyFather" "birthColonyFather" "distance"
388 64 "Thu26" "Thu32" "Thu33" 39.5164263240729
400 64 "Thu31" "Thu32" "Thu33" 52.5483362794603
1912 64 "Thu32" "Thu32" "Thu33" 7.58138384407282
2345 64 "Thu32" "Thu32" "Thu33" 7.58138384407282
53 64 "Thu32" "Thu32" "Thu33" 7.58138384407282
96 64 "Thu27" "Thu32" "Thu33" 3.35846211252105
505 156 "Thu38" "Thu20" "Thu26" 17.9588737413766
491 156 "Thu27" "Thu20" "Thu26" 36.6428394255777
504 156 "Thu20" "Thu20" "Thu26" 9.32954850832423
2190 161 "Thu35" "Thu35" "Thu35" 0
249 283 "Thu36" "Thu32" "Thu32" 4.92844036530481
2149 283 "Thu32" "Thu32" "Thu32" 0
2601 283 "Thu26" "Thu32" "Thu32" 33.8010447847048
2071 349 "Thu35" "Thu37" "Thu35" 0
148 349 "Thu37" "Thu37" "Thu35" 78.1416493664147
239 349 "Thu32" "Thu37" "Thu35" 73.0809386427363
488 349 "Thu32" "Thu37" "Thu35" 73.0809386427363
1965 349 "Thu32" "Thu37" "Thu35" 73.0809386427363
2542 349 "Thu23" "Thu37" "Thu35" 75.7451628333022
2662 349 "Thu33" "Thu37" "Thu35" 78.0024840189843
538 349 "Thu23" "Thu37" "Thu35" 75.7451628333022
235 349 "Thu29" "Thu37" "Thu35" 89.09576531036
2645 349 "Thu37" "Thu37" "Thu35" 78.1416493664147
4434 349 "Thu32" "Thu37" "Thu35" 73.0809386427363
108 426 "Thu35" "Thu35" "Thu35" 0
427 426 "Thu35" "Thu35" "Thu35" 0
2522 426 "Thu35" "Thu35" "Thu35" 0
3052 426 "Thu35" "Thu35" "Thu35" 0
1114 846 "Thu28" "Thu21" "Thu21" 5.72972390190621
3061 846 "Thu31" "Thu21" "Thu21" 65.5522916475336
4428 846 "Thu28" "Thu21" "Thu21" 5.72972390190621
922 869 "Thu22" "Thu22" "Thu22" 0
2412 869 "Thu26" "Thu22" "Thu22" 4.06083231498376
3120 869 "Thu26" "Thu22" "Thu22" 4.06083231498376
2392 869 "Thu22" "Thu22" "Thu22" 0
2404 869 "Thu22" "Thu22" "Thu22" 0
3610 869 "Thu36" "Thu22" "Thu22" 39.6230819504856
970 981 "Thu22" "Thu26" "Thu26" 4.06083231498376
3252 981 "Thu22" "Thu26" "Thu26" 4.06083231498376
3731 981 "Thu22" "Thu26" "Thu26" 4.06083231498376
3243 981 "Thu32" "Thu26" "Thu26" 33.8010447847048
375 1006 "Thu31" "Thu31" "Thu31" 0
850 1006 "Thu31" "Thu31" "Thu31" 0
1266 1006 "Thu31" "Thu31" "Thu31" 0
3309 1006 "Thu31" "Thu31" "Thu31" 0
3722 1006 "Thu31" "Thu31" "Thu31" 0
46 1222 "Thu21" "Thu28" "Thu28" 5.72972390190621
4148 1222 "Thu28" "Thu28" "Thu28" 0
1220 1236 "Thu21" "Thu28" "Thu21" 0
4259 1738 "Thu28" "Thu28" "Thu30" 8.68801725257846
1793 1791 "Thu28" "Thu28" "Thu30" 8.68801725257846
4462 1799 "Thu21" "Thu21" "Thu28" 5.72972390190621
1823 1799 "Thu28" "Thu21" "Thu28" 0
1776 1821 "Thu28" "Thu30" "Thu30" 8.68801725257846
1783 1821 "Thu21" "Thu30" "Thu30" 6.98881910082453
4329 1821 "Thu28" "Thu30" "Thu30" 8.68801725257846
1648 1821 "Thu28" "Thu30" "Thu30" 8.68801725257846
4141 1821 "Thu28" "Thu30" "Thu30" 8.68801725257846
157 4474 "Thu33" "Thu33" "Thu33" 0
3281 4474 "Thu34" "Thu33" "Thu33" 27.7526390305197
1677 4474 "Thu21" "Thu33" "Thu33" 92.3488554378564
2411 4474 "Thu25" "Thu33" "Thu33" 27.3050409019456
