"offspring" "father"
"339" 236 283
"340" 249 283
"341" 270 349
"342" 373 67
"343" 393 67
"344" 414 67
"345" 455 156
"346" 461 156
"347" 492 156
"348" 529 1778
"349" 590 349
"350" 646 283
"351" 725 283
"352" 823 822
"353" 840 1040
"354" 908 1301
"355" 923 822
"356" 929 822
"357" 1055 846
"358" 1070 1008
"359" 1129 1013
"360" 1140 1026
"361" 1671 1040
"362" 1982 67
"363" 2104 583
"364" 2149 283
"365" 2394 156
"366" 2441 156
"367" 2601 283
"368" 2981 349
"369" 3207 822
"370" 3208 822
"371" 3339 1026
"372" 3343 1053
"373" 3346 1778
"374" 3440 1026
"375" 3452 1222
"376" 3500 1625
"377" 3601 1301
"378" 4355 1778
"379" 4454 349
"380" 460 349
"381" 672 37
"382" 685 349
"383" 861 822
"384" 882 822
"385" 933 822
"386" 1018 1002
"387" 1088 1008
"388" 1287 1301
"389" 1628 1738
"390" 1743 1738
"391" 1894 283
"392" 1900 37
"393" 1908 1821
"394" 2518 583
"395" 2791 349
"396" 2830 349
"397" 2907 37
"398" 2990 349
"399" 3001 37
"400" 3079 1002
"401" 3081 1002
"402" 3101 1821
"403" 3230 37
"404" 3231 37
"405" 3350 1821
"406" 4247 1625
"407" 621 1322
"408" 1041 1053
"409" 1075 1053
"410" 1277 1053
"411" 1298 1053
"412" 1334 1322
"413" 1539 1322
"414" 1540 1322
"415" 1694 1672
"416" 1814 1791
"417" 2865 1322
"418" 3225 1322
"419" 3446 1236
"420" 3484 822
"421" 3496 1791
"422" 3548 1236
"423" 3823 1322
"424" 3976 1322
"425" 3979 1322
"426" 4129 1821
"427" 4173 1672
"428" 4261 1672
"429" 4352 1799
"430" 4356 1779
"431" 272 161
"432" 356 1222
"433" 608 1133
"434" 972 1133
"435" 1063 1040
"436" 1187 1791
"437" 1238 1226
"438" 1333 1133
"439" 1803 1821
"440" 1810 1787
"441" 1819 1236
"442" 1827 1222
"443" 3125 1226
"444" 3321 846
"445" 3347 1791
"446" 3357 1306
"447" 3360 846
"448" 3390 855
"449" 3573 1053
"450" 3589 1133
"451" 3590 1133
"452" 4338 1797
"453" 4413 1787
"454" 4425 161
"455" 538 349
"456" 1685 1026
"457" 1899 349
"458" 2054 156
"459" 2427 869
"460" 3066 846
"461" 3131 869
"462" 3497 869
"463" 3511 869
"464" 3576 1040
"465" 3703 1053
"466" 3722 1006
"467" 4188 1125
"468" 225 349
"469" 264 349
"470" 511 156
"471" 535 349
"472" 558 146
"473" 606 1133
"474" 684 349
"475" 1090 1013
"476" 1097 1102
"477" 1256 1222
"478" 2078 146
"479" 2490 1865
"480" 2714 349
"481" 2996 349
"482" 3449 1821
"483" 4267 1829
"484" 4319 1821
"485" 4362 1625
"486" 4390 1778
"487" 4447 283
"488" 4458 64
"489" 139 156
"490" 195 349
"491" 506 156
"492" 748 283
"493" 759 349
"494" 926 925
"495" 1375 398
"496" 1554 398
"497" 1654 1738
"498" 1681 416
"499" 1689 1701
"500" 1691 1829
"501" 1733 416
"502" 1766 1053
"503" 1929 416
"504" 1947 416
"505" 1948 416
"506" 1994 416
"507" 2364 416
"508" 2429 925
"509" 2983 283
"510" 3301 426
"511" 3592 1207
"512" 3731 869
"513" 3860 1701
"514" 3955 398
"515" 4264 1829
"516" 4380 1040
"517" 4394 1787
"518" 221 774
"519" 320 774
"520" 338 774
"521" 773 774
"522" 1118 774
"523" 1889 774
"524" 2191 774
"525" 2538 426
"526" 2993 774
"527" 3456 1821
"528" 3651 1236
"529" 1168 1832
"530" 1264 1226
"531" 1267 1306
"532" 3203 925
"533" 3217 925
"534" 172 349
"535" 202 349
"536" 203 349
"537" 250 281
"538" 392 1615
"539" 528 349
"540" 629 349
"541" 715 1890
"542" 735 12
"543" 1077 1890
"544" 1078 1047
"545" 1210 1615
"546" 1260 1615
"547" 1292 1615
"548" 1341 12
"549" 1485 1890
"550" 1583 1890
"551" 2088 349
"552" 2399 1778
"553" 2491 156
"554" 2726 349
"555" 2746 349
"556" 2928 1890
"557" 3043 156
"558" 3300 426
"559" 3669 1047
"560" 4051 1890
"561" 4297 1890
"562" 164 583
"563" 284 340
"564" 322 340
"565" 323 340
"566" 665 349
"567" 1050 1040
"568" 1243 1306
"569" 1312 1306
"570" 1754 583
"571" 1919 67
"572" 1986 349
"573" 2168 245
"574" 2169 340
"575" 2321 67
"576" 2327 67
"577" 2792 340
"578" 2819 245
"579" 2897 245
"580" 2899 349
"581" 2978 340
"582" 2979 340
"583" 3630 583
"584" 137 774
"585" 390 67
"586" 539 349
"587" 1197 774
"588" 1299 1125
"589" 1550 1006
"590" 1721 774
"591" 1742 1829
"592" 2194 315
"593" 2958 774
"594" 3861 1306
"595" 4105 1738
"596" 1696 1672
"597" 2508 869
"598" 2645 349
"599" 2745 349
"600" 1183 349
"601" 2403 869
"602" 3358 846
"603" 4144 1799
"604" 4428 846
"605" 192 240
"606" 196 240
"607" 241 240
"608" 637 240
"609" 638 240
"610" 1497 1306
"611" 2066 426
"612" 2096 240
"613" 2158 240
"614" 2483 156
"615" 2643 240
"616" 2762 240
"617" 2837 240
"618" 2947 240
"619" 1019 1002
"620" 1677 4474
"621" 2218 1002
"622" 2527 583
"623" 287 67
"624" 295 67
"625" 894 283
"626" 1830 1829
"627" 2150 67
"628" 2669 283
"629" 2806 67
"630" 3338 846
"631" 63 1615
"632" 336 1911
"633" 611 1911
"634" 830 1074
"635" 1261 1738
"636" 1864 1755
"637" 1962 1911
"638" 2279 846
"639" 2884 1911
"640" 3337 1074
"641" 3692 1755
"642" 4103 1911
"643" 4176 1301
"644" 1618 1821
"645" 2027 349
"646" 2817 1306
"647" 3245 504
"648" 3257 504
"649" 3717 64
"650" 1023 1053
"651" 2473 12
"652" 2869 349
"653" 3025 822
"654" 3298 426
"655" 609 1133
"656" 2311 64
"657" 3243 981
"658" 3249 981
"659" 3252 981
"660" 3748 981
"661" 375 1006
"662" 1266 1006
"663" 1639 1836
"664" 1834 1836
"665" 2468 824
"666" 2537 583
"667" 3112 1006
"668" 3161 824
"669" 3163 583
"670" 3166 824
"671" 3168 824
"672" 3171 824
"673" 4124 1836
"674" 4125 1836
"675" 4205 1836
"676" 316 161
"677" 1068 428
"678" 1082 428
"679" 1106 1040
"680" 2396 428
"681" 2581 428
"682" 3320 1006
"683" 3629 1054
"684" 902 583
"685" 1860 349
"686" 3072 1787
"687" 3460 1787
"688" 3469 1787
"689" 3750 1133
"690" 4130 1738
"691" 4159 846
"692" 4393 1738
"693" 1044 849
"694" 1331 1133
"695" 1845 849
"696" 2170 349
"697" 2445 1755
"698" 2500 156
"699" 3234 1133
"700" 18 426
"701" 109 484
"702" 125 484
"703" 213 484
"704" 970 981
"705" 1501 1796
"706" 1647 1821
"707" 2030 484
"708" 2031 484
"709" 2433 484
"710" 3061 846
"711" 3173 484
"712" 3281 4474
"713" 808 1738
"714" 1163 1796
"715" 1193 349
"716" 1490 1755
"717" 1884 4474
"718" 2291 349
"719" 2530 161
"720" 2998 1738
"721" 3606 1233
"722" 3749 349
"723" 4437 1233
"724" 4486 1796
"725" 163 162
"726" 232 1133
"727" 540 1006
"728" 985 426
"729" 3170 1306
"730" 3522 1133
"731" 25 519
"732" 167 161
"733" 2526 426
"734" 3299 519
"735" 516 281
"736" 960 981
"737" 963 981
"738" 1468 981
"739" 1805 1821
"740" 1838 1779
"741" 1868 1240
"742" 2243 981
"743" 3035 981
"744" 3255 981
"745" 3611 1240
"746" 3326 428
"747" 3783 1625
"748" 83 93
"749" 94 93
"750" 809 349
"751" 1831 1836
"752" 1991 64
"753" 2000 93
"754" 2269 93
"755" 2503 93
"756" 2531 75
"757" 2972 1738
"758" 4398 1836
"759" 1874 67
"760" 2863 1322
"761" 2878 1322
"762" 2883 1322
"763" 276 349
"764" 1674 412
"765" 2440 349
"766" 2689 349
"767" 2700 349
"768" 2960 349
"769" 120 1844
"770" 473 1844
"771" 828 1844
"772" 914 1844
"773" 916 1844
"774" 1069 1026
"775" 1281 1792
"776" 2458 1844
"777" 2497 981
"778" 3169 1844
"779" 3177 1844
"780" 3178 1844
"781" 3190 1844
"782" 3191 1844
"783" 3289 1006
"784" 297 240
"785" 481 1615
"786" 1064 1006
"787" 1095 1787
"788" 2130 240
"789" 2650 240
"790" 2701 240
"791" 2964 1615
"792" 3322 1006
"793" 4116 1615
"794" 2732 349
"795" 4260 1799
"796" 179 500
"797" 263 500
"798" 443 815
"799" 720 815
"800" 1505 815
"801" 1892 815
"802" 2156 815
"803" 2302 408
"804" 2416 815
"805" 2873 815
"806" 3189 815
"807" 3261 4474
"808" 3504 1679
"809" 3813 815
"810" 3846 500
"811" 4054 815
"812" 788 1832
"813" 1245 981
"814" 1262 1222
"815" 1895 1890
"816" 2462 349
"817" 781 12
"818" 2280 1625
"819" 2955 12
"820" 4254 12
"821" 445 484
"822" 1290 1236
"823" 1450 398
"824" 1506 398
"825" 586 582
"826" 1247 582
"827" 2680 582
"828" 3316 1787
"829" 3318 1006
"830" 36 990
"831" 991 990
"832" 1651 990
"833" 1731 990
"834" 1853 990
"835" 3263 1143
"836" 3264 1143
"837" 3792 1143
"838" 4119 1143
"839" 4215 990
"840" 339 4468
"841" 591 4474
"842" 1744 4474
"843" 1876 1322
"844" 2117 1322
"845" 2267 822
"846" 2414 1322
"847" 2584 1322
"848" 3160 822
"849" 3205 822
"850" 459 868
"851" 817 868
"852" 1126 868
"853" 1150 868
"854" 3419 1006
"855" 1158 1236
"856" 2375 398
"857" 2484 398
"858" 3074 398
"859" 4010 398
"860" 618 349
"861" 399 12
"862" 900 818
"863" 911 818
"864" 1130 981
"865" 2451 818
