"offspring" "father" "fatherID" "distance"
"Thu21" "Thu28" 1222 5.72972390111796
"Thu35" "Thu35" 426 0
"Thu35" "Thu35" 426 0
"Thu28" "Thu30" 1821 8.68801725205861
"Thu21" "Thu30" 1821 6.98881909953205
"Thu35" "Thu35" 426 0
"Thu35" "Thu35" 426 0
"Thu28" "Thu28" 1222 0
"Thu28" "Thu30" 1821 8.68801725205861
"Thu21" "Thu21" 1799 0
"Thu26" "Thu32" 64 33.8010447845711
"Thu31" "Thu32" 64 46.7355685269251
"Thu22" "Thu22" 869 0
"Thu21" "Thu28" 1236 5.72972390111796
"Thu28" "Thu30" 1821 8.68801725205861
"Thu32" "Thu32" 64 0
"Thu35" "Thu37" 349 78.1416493664147
"Thu32" "Thu32" 64 0
"Thu26" "Thu22" 869 4.06083231498376
"Thu26" "Thu22" 869 4.06083231498376
"Thu28" "Thu30" 1821 8.68801725205861
"Thu37" "Thu37" 349 0
"Thu32" "Thu37" 349 12.92108965814
"Thu32" "Thu37" 349 12.92108965814
"Thu32" "Thu37" 349 12.92108965814
"Thu22" "Thu22" 869 0
"Thu22" "Thu22" 869 0
"Thu23" "Thu37" 349 10.2145159427307
"Thu33" "Thu37" 349 18.2187817539965
"Thu36" "Thu22" 869 39.6230819504856
"Thu38" "Thu20" 156 8.85201314472582
"Thu28" "Thu28" 1791 0
"Thu32" "Thu32" 64 0
"Thu36" "Thu32" 283 4.92844036530481
"Thu32" "Thu32" 283 0
"Thu26" "Thu32" 283 33.8010447845711
"Thu23" "Thu37" 349 10.2145159427307
"Thu27" "Thu32" 64 4.27326556486453
"Thu33" "Thu33" 4474 0
"Thu31" "Thu31" 1006 0
"Thu27" "Thu20" 156 28.0966754371321
"Thu20" "Thu20" 156 0
"Thu31" "Thu31" 1006 0
"Thu22" "Thu26" 981 4.06083231498376
"Thu28" "Thu21" 846 5.72972390111796
"Thu31" "Thu31" 1006 0
"Thu28" "Thu21" 1799 5.72972390111796
"Thu35" "Thu35" 161 0
"Thu31" "Thu21" 846 65.5522916474647
"Thu22" "Thu26" 981 4.06083231498376
"Thu34" "Thu33" 4474 27.7526390305197
"Thu31" "Thu31" 1006 0
"Thu31" "Thu31" 1006 0
"Thu22" "Thu26" 981 4.06083231498376
"Thu28" "Thu28" 1738 0
"Thu28" "Thu21" 846 5.72972390111796
"Thu29" "Thu37" 349 14.2959460971217
"Thu21" "Thu33" 4474 92.3488554377585
"Thu37" "Thu37" 349 0
"Thu32" "Thu37" 349 12.92108965814
"Thu32" "Thu26" 981 33.8010447845711
"Thu25" "Thu33" 4474 27.305040902111
