runs occurence father
1 0.304347826086957 TRUE
2 0.273913043478261 TRUE
3 0.426086956521739 TRUE
4 0.326086956521739 TRUE
5 0.363478260869565 TRUE
6 0.327536231884058 TRUE
7 0.339130434782609 TRUE
8 0.354347826086957 TRUE
9 0.345893719806763 TRUE
10 0.344347826086957 TRUE
11 0.348616600790514 TRUE
12 0.351449275362319 TRUE
13 0.348494983277592 TRUE
14 0.341614906832298 TRUE
15 0.345507246376812 TRUE
16 0.353260869565217 TRUE
17 0.359590792838875 TRUE
18 0.333816425120773 TRUE
19 0.365217391304348 TRUE
20 0.311739130434783 TRUE
21 0.347412008281573 TRUE
22 0.36600790513834 TRUE
23 0.385255198487713 TRUE
24 0.403985507246377 TRUE
25 0.372869565217391 TRUE
26 0.366889632107023 TRUE
27 0.336876006441224 TRUE
28 0.340372670807453 TRUE
29 0.367616191904048 TRUE
30 0.342898550724638 TRUE
1 0.330434782608696 TRUE
2 0.278260869565217 TRUE
3 0.359420289855072 TRUE
4 0.293478260869565 TRUE
5 0.382608695652174 TRUE
6 0.347826086956522 TRUE
7 0.360248447204969 TRUE
8 0.368478260869565 TRUE
9 0.375845410628019 TRUE
10 0.350434782608696 TRUE
11 0.367588932806324 TRUE
12 0.352898550724638 TRUE
13 0.374581939799331 TRUE
14 0.36583850931677 TRUE
15 0.343188405797101 TRUE
16 0.365760869565217 TRUE
17 0.38772378516624 TRUE
18 0.349275362318841 TRUE
19 0.347368421052632 TRUE
20 0.352173913043478 TRUE
21 0.339130434782609 TRUE
22 0.363241106719368 TRUE
23 0.345557655954631 TRUE
24 0.376449275362319 TRUE
25 0.366608695652174 TRUE
26 0.361538461538462 TRUE
27 0.334299516908213 TRUE
28 0.366149068322981 TRUE
29 0.358020989505247 TRUE
30 0.358260869565217 TRUE
1 0.48695652173913 TRUE
2 0.460869565217391 TRUE
3 0.408695652173913 TRUE
4 0.28695652173913 TRUE
5 0.323478260869565 TRUE
6 0.347826086956522 TRUE
7 0.349068322981366 TRUE
8 0.366304347826087 TRUE
9 0.357487922705314 TRUE
10 0.421739130434783 TRUE
11 0.380237154150198 TRUE
12 0.368840579710145 TRUE
13 0.380602006688963 TRUE
14 0.371428571428571 TRUE
15 0.368115942028986 TRUE
16 0.406521739130435 TRUE
17 0.313554987212276 TRUE
18 0.371497584541063 TRUE
19 0.332723112128146 TRUE
20 0.323913043478261 TRUE
21 0.35527950310559 TRUE
22 0.359288537549407 TRUE
23 0.387145557655955 TRUE
24 0.347463768115942 TRUE
25 0.339130434782609 TRUE
26 0.374247491638796 TRUE
27 0.356199677938808 TRUE
28 0.351863354037267 TRUE
29 0.352623688155922 TRUE
30 0.357101449275362 TRUE
1 0.408695652173913 TRUE
2 0.360869565217391 TRUE
3 0.469565217391304 TRUE
4 0.421739130434783 TRUE
5 0.283478260869565 TRUE
6 0.353623188405797 TRUE
7 0.403726708074534 TRUE
8 0.382608695652174 TRUE
9 0.331400966183575 TRUE
10 0.323478260869565 TRUE
11 0.411857707509881 TRUE
12 0.382608695652174 TRUE
13 0.377257525083612 TRUE
14 0.339130434782609 TRUE
15 0.39304347826087 TRUE
16 0.342391304347826 TRUE
17 0.354987212276215 TRUE
18 0.366666666666667 TRUE
19 0.357437070938215 TRUE
20 0.395652173913043 TRUE
21 0.358592132505176 TRUE
22 0.356521739130435 TRUE
23 0.379962192816635 TRUE
24 0.346739130434783 TRUE
25 0.359652173913043 TRUE
26 0.372240802675585 TRUE
27 0.37487922705314 TRUE
28 0.359627329192547 TRUE
29 0.366416791604198 TRUE
30 0.338260869565217 TRUE
1 0.460869565217391 TRUE
2 0.365217391304348 TRUE
3 0.327536231884058 TRUE
4 0.347826086956522 TRUE
5 0.39304347826087 TRUE
6 0.320289855072464 TRUE
7 0.375155279503106 TRUE
8 0.342391304347826 TRUE
9 0.417391304347826 TRUE
10 0.352173913043478 TRUE
11 0.353359683794466 TRUE
12 0.335507246376812 TRUE
13 0.312374581939799 TRUE
14 0.343478260869565 TRUE
15 0.347246376811594 TRUE
16 0.345652173913043 TRUE
17 0.354475703324808 TRUE
18 0.326570048309179 TRUE
19 0.349656750572082 TRUE
20 0.366521739130435 TRUE
21 0.343271221532091 TRUE
22 0.364822134387352 TRUE
23 0.345179584120983 TRUE
24 0.351449275362319 TRUE
25 0.340521739130435 TRUE
26 0.346822742474916 TRUE
27 0.335265700483092 TRUE
28 0.366770186335404 TRUE
29 0.359820089955023 TRUE
30 0.373623188405797 TRUE
1 0.443478260869565 TRUE
2 0.38695652173913 TRUE
3 0.344927536231884 TRUE
4 0.384782608695652 TRUE
5 0.363478260869565 TRUE
6 0.372463768115942 TRUE
7 0.380124223602484 TRUE
8 0.33804347826087 TRUE
9 0.356521739130435 TRUE
10 0.360869565217391 TRUE
11 0.35098814229249 TRUE
12 0.318115942028986 TRUE
13 0.352508361204013 TRUE
14 0.368944099378882 TRUE
15 0.349565217391304 TRUE
16 0.341304347826087 TRUE
17 0.363682864450128 TRUE
18 0.371014492753623 TRUE
19 0.329061784897025 TRUE
20 0.36304347826087 TRUE
21 0.354037267080745 TRUE
22 0.358102766798419 TRUE
23 0.373913043478261 TRUE
24 0.371739130434783 TRUE
25 0.323826086956522 TRUE
26 0.342809364548495 TRUE
27 0.348792270531401 TRUE
28 0.368012422360248 TRUE
29 0.349925037481259 TRUE
30 0.327536231884058 TRUE
1 0.478260869565217 TRUE
2 0.234782608695652 TRUE
3 0.373913043478261 TRUE
4 0.458695652173913 TRUE
5 0.365217391304348 TRUE
6 0.359420289855072 TRUE
7 0.344099378881988 TRUE
8 0.391304347826087 TRUE
9 0.341062801932367 TRUE
10 0.354782608695652 TRUE
11 0.372332015810277 TRUE
12 0.303623188405797 TRUE
13 0.304347826086957 TRUE
14 0.350310559006211 TRUE
15 0.337391304347826 TRUE
16 0.307065217391304 TRUE
17 0.328900255754476 TRUE
18 0.376328502415459 TRUE
19 0.368878718535469 TRUE
20 0.352173913043478 TRUE
21 0.336231884057971 TRUE
22 0.322134387351779 TRUE
23 0.350850661625709 TRUE
24 0.358695652173913 TRUE
25 0.370086956521739 TRUE
26 0.333779264214047 TRUE
27 0.360386473429952 TRUE
28 0.356832298136646 TRUE
29 0.363718140929535 TRUE
30 0.369855072463768 TRUE
1 0.408695652173913 TRUE
2 0.391304347826087 TRUE
3 0.347826086956522 TRUE
4 0.35 TRUE
5 0.333913043478261 TRUE
6 0.339130434782609 TRUE
7 0.419875776397516 TRUE
8 0.348913043478261 TRUE
9 0.41256038647343 TRUE
10 0.420869565217391 TRUE
