idind	rha101	rha101b	rha109	rha109b	rha4	rha4b	rha7	rha7b	rhc108	rhc108b	rhc3	rhc3b	rhd102	rhd102b	rhd103	rhd103b	idcol	sexe	ageWhenFirstCaptur	yearWhenFirstCaptur	col2015_1	col2015_2	col2016_1	col2016_2	col2017_1	col2017_2
93	125	134	186	186	268	288	226	226	215	220	169	169	243	259	220	220	Thu32	M	Adult	2016	NA	NA	Thu32	Thu32	NA	Thu32
94	125	134	186	186	268	288	226	226	215	215	169	169	243	259	220	220	Thu32	M	Juv	2015	NA	Thu32	NA	NA	NA	Thu32
95	125	134	186	186	268	288	226	228	215	218	169	169	255	255	212	220	Thu33	M	Juv	2015	NA	Thu33	NA	NA	NA	NA
96	125	134	186	186	288	288	237	237	215	215	169	169	238	243	212	212	Thu27	M	Juv	2015	NA	Thu27	Thu27	Thu27	NA	NA
97	125	134	186	186	288	288	226	235	214	220	177	177	238	243	216	220	Thu32	M	Adult	2016	NA	NA	Thu32	NA	Thu32	NA
98	125	134	186	186	288	288	228	237	214	218	169	169	243	243	212	220	Thu32	M	Adult	2015	Thu32	Thu32	NA	NA	NA	NA
100	125	134	186	186	268	286	226	226	218	218	169	169	247	251	212	224	Thu33	M	Juv	2015	NA	Thu33	Thu33	Thu33	NA	NA
101	125	134	186	186	268	286	226	228	214	218	169	169	247	251	212	220	Thu33	M	Juv	2015	NA	Thu33	NA	NA	NA	NA
102	125	134	186	186	0	0	228	228	215	215	169	177	255	259	212	216	Thu26	M	Adult	2015	Thu26	NA	NA	NA	NA	NA
104	134	134	190	190	268	288	228	228	0	0	0	0	238	243	220	224	Thu33	M	Adult	2017	NA	NA	NA	NA	Thu33	Thu36
105	134	134	190	190	268	286	228	228	214	218	177	177	255	255	212	232	Thu23	M	Juv	2016	NA	NA	NA	Thu23	NA	NA
106	134	134	183	190	288	288	226	228	0	0	169	169	247	251	212	220	Thu26	M	Adult	2017	NA	NA	NA	NA	Thu26	NA
107	134	134	183	183	286	288	228	237	215	224	169	177	251	251	224	224	Thu27	M	Juv	2017	NA	NA	NA	NA	NA	Thu27
108	134	134	188	188	268	288	229	229	0	0	169	169	247	251	212	224	Thu35	M	Juv	2017	NA	NA	NA	NA	NA	Thu35
109	134	134	177	190	268	290	228	228	214	214	169	177	247	255	220	228	Thu23	M	Juv	2016	NA	NA	NA	Thu23	Thu23	Thu23
110	134	134	177	190	268	268	228	228	214	215	169	169	255	263	212	212	Thu20	M	Juv	2015	NA	Thu20	NA	NA	NA	NA
111	134	134	177	190	288	288	228	237	214	214	169	169	243	263	220	220	Thu39	M	Adult	2017	NA	NA	NA	NA	Thu39	NA
112	134	134	184	186	268	290	226	229	0	0	169	169	0	0	212	212	Thu39	M	Juv	2016	NA	NA	NA	Thu39	NA	NA
113	134	134	186	190	268	293	226	228	215	228	177	177	243	243	220	224	Thu22	M	Adult	2016	NA	NA	Thu22	NA	NA	NA
114	134	134	186	190	268	290	226	228	214	215	169	177	247	259	212	220	Thu22	M	Juv	2016	NA	NA	NA	Thu22	NA	NA
115	134	134	186	190	268	290	226	228	218	218	169	169	247	247	220	220	Thu37	M	Adult	2015	Thu37	NA	NA	NA	NA	NA
116	134	134	186	190	268	268	228	237	214	214	177	177	243	247	220	228	Thu20	M	Adult	2015	Thu20	NA	NA	NA	NA	NA
118	134	134	186	190	268	268	228	237	215	218	169	177	251	259	212	232	Thu22	M	Juv	2016	NA	NA	NA	Thu22	Thu22	NA
119	134	134	186	190	268	268	228	228	214	218	177	177	243	259	220	228	Thu23	M	Juv	2016	NA	NA	NA	Thu23	NA	NA
120	134	134	186	190	288	290	226	228	214	214	169	177	255	259	220	228	Thu20	M	Juv	2017	NA	NA	NA	NA	NA	Thu20
121	134	134	186	190	268	288	226	226	218	218	169	169	234	234	232	232	Thu39	M	Juv	2016	NA	NA	NA	Thu39	NA	NA
122	134	134	186	190	268	288	226	228	215	215	173	177	247	263	220	220	Thu26	M	Juv	2017	NA	NA	NA	NA	NA	Thu26
123	134	134	186	190	268	288	226	228	218	218	169	177	243	247	212	220	Thu32	M	Juv	2017	NA	NA	NA	NA	NA	Thu32
124	134	134	186	190	268	288	228	228	214	218	169	177	238	251	212	228	Thu29	M	Juv	2017	NA	NA	NA	NA	NA	Thu29
125	134	134	186	190	268	288	228	228	214	218	169	177	243	255	212	220	Thu39	M	Juv	2017	NA	NA	NA	NA	NA	Thu39
126	134	134	186	190	268	288	228	228	218	218	169	177	247	255	220	228	Thu39	M	Juv	2017	NA	NA	NA	NA	NA	Thu39
127	134	134	186	190	288	288	226	229	215	215	169	169	234	247	212	212	Thu22	M	Adult	2015	Thu22	NA	NA	NA	NA	NA
128	134	134	186	190	288	288	226	228	215	215	169	177	238	247	224	224	Thu36	M	Juv	2016	NA	NA	NA	Thu36	NA	NA
129	134	134	186	190	288	288	226	228	214	218	169	169	238	259	212	228	Thu26	M	Juv	2015	NA	Thu26	NA	NA	Thu26	Thu26
130	134	134	186	190	288	288	228	228	0	0	169	173	243	247	220	220	Thu33	M	Adult	2016	NA	NA	Thu33	NA	NA	NA
132	134	134	186	190	286	290	226	228	215	228	169	177	259	259	212	220	Thu34	M	Adult	2016	NA	NA	Thu34	NA	NA	NA
133	134	134	186	190	268	286	226	228	214	214	169	177	251	263	220	228	Thu39	M	Juv	2016	NA	NA	NA	Thu39	NA	Thu39
134	134	134	186	190	286	288	226	226	214	214	169	169	238	247	212	220	Thu26	M	Juv	2016	NA	NA	NA	Thu26	NA	NA
135	134	134	186	190	0	0	228	228	215	218	169	173	243	243	220	220	Thu33	M	Adult	2015	Thu33	NA	NA	NA	NA	NA
137	134	134	183	186	268	268	228	228	214	218	169	169	247	247	220	220	Thu36	M	Juv	2017	NA	NA	NA	NA	NA	Thu36
138	134	134	183	186	268	268	228	228	215	218	169	169	247	247	220	224	Thu37	M	Adult	2017	NA	NA	NA	NA	Thu37	Thu37
139	134	134	183	186	288	290	226	228	228	228	169	177	243	247	220	220	Thu22	M	Juv	2017	NA	NA	NA	NA	NA	Thu22
