"distance" "meanFreq" "lowerIC" "upperIC"
"1" 0 0.0677125 0.0458333333333333 0.0895833333333333
"2" 1 0.06806875 0.0458333333333333 0.0916666666666667
"3" 2 0.0708479166666667 0.0479166666666667 0.09375
"4" 3 0.08015 0.05625 0.104166666666667
"5" 4 0.0963479166666667 0.0708333333333333 0.122916666666667
"6" 5 0.132966666666667 0.104166666666667 0.1625
"7" 6 0.142866666666667 0.114583333333333 0.172916666666667
"8" 7 0.148097916666667 0.11875 0.179166666666667
"9" 8 0.178797916666667 0.145833333333333 0.210416666666667
"10" 9 0.192889583333333 0.160416666666667 0.227083333333333
"11" 10 0.212145833333333 0.177083333333333 0.24796875
"12" 11 0.215833333333333 0.18125 0.252083333333333
"13" 12 0.233989583333333 0.197916666666667 0.270833333333333
"14" 13 0.271554166666667 0.233333333333333 0.308333333333333
"15" 14 0.291429166666667 0.254166666666667 0.329166666666667
"16" 15 0.30295 0.264583333333333 0.341666666666667
"17" 16 0.315339583333333 0.275 0.35625
"18" 17 0.325752083333333 0.285416666666667 0.364583333333333
"19" 18 0.332683333333333 0.29375 0.372916666666667
"20" 19 0.34968125 0.310416666666667 0.391666666666667
"21" 20 0.351954166666667 0.312447916666667 0.39171875
"22" 21 0.352189583333333 0.312447916666667 0.39171875
"23" 22 0.378041666666667 0.3375 0.41875
"24" 23 0.378047916666667 0.3375 0.41875
"25" 24 0.38320625 0.341666666666667 0.425
"26" 25 0.4133125 0.372916666666667 0.45421875
"27" 26 0.446439583333333 0.404166666666667 0.489583333333333
"28" 27 0.46578125 0.427083333333333 0.508333333333333
"29" 28 0.482872916666667 0.44375 0.525
"30" 29 0.49958125 0.458333333333333 0.539583333333333
"31" 30 0.49976875 0.460364583333333 0.539583333333333
"32" 31 0.523389583333333 0.483333333333333 0.5625
"33" 32 0.524033333333333 0.483333333333333 0.562552083333333
"34" 33 0.524033333333333 0.483333333333333 0.562552083333333
"35" 34 0.545620833333333 0.50625 0.583333333333333
"36" 35 0.545620833333333 0.50625 0.583333333333333
"37" 36 0.555020833333333 0.51875 0.59375
"38" 37 0.558747916666667 0.522916666666667 0.595833333333333
"39" 38 0.577722916666667 0.541614583333333 0.612552083333333
"40" 39 0.577722916666667 0.541614583333333 0.612552083333333
"41" 40 0.605225 0.56875 0.639583333333333
"42" 41 0.608720833333333 0.572864583333333 0.641666666666667
"43" 42 0.608720833333333 0.572864583333333 0.641666666666667
"44" 43 0.608720833333333 0.572864583333333 0.641666666666667
"45" 44 0.625677083333333 0.589583333333333 0.658333333333333
"46" 45 0.6259625 0.589583333333333 0.658333333333333
"47" 46 0.6259625 0.589583333333333 0.658333333333333
"48" 47 0.640854166666667 0.604166666666667 0.675
"49" 48 0.644189583333333 0.60828125 0.677083333333333
"50" 49 0.644189583333333 0.60828125 0.677083333333333
"51" 50 0.644189583333333 0.60828125 0.677083333333333
"52" 51 0.6557375 0.61875 0.689583333333333
"53" 52 0.661577083333333 0.625 0.695833333333333
"54" 53 0.674054166666667 0.6375 0.70625
"55" 54 0.674054166666667 0.6375 0.70625
"56" 55 0.67545 0.639583333333333 0.708333333333333
"57" 56 0.67545 0.639583333333333 0.708333333333333
"58" 57 0.700516666666667 0.666666666666667 0.733333333333333
"59" 58 0.700516666666667 0.666666666666667 0.733333333333333
"60" 59 0.708625 0.675 0.741666666666667
"61" 60 0.716610416666667 0.68125 0.747916666666667
"62" 61 0.725183333333333 0.691666666666667 0.75625
"63" 62 0.737102083333333 0.702083333333333 0.76875
"64" 63 0.739097916666667 0.70625 0.76875
"65" 64 0.747752083333333 0.714583333333333 0.779166666666667
"66" 65 0.7478625 0.714583333333333 0.779166666666667
"67" 66 0.75398125 0.722864583333333 0.785416666666667
"68" 67 0.760439583333333 0.727083333333333 0.791666666666667
"69" 68 0.763104166666667 0.73125 0.79375
"70" 69 0.77010625 0.7375 0.8
"71" 70 0.786014583333333 0.754166666666667 0.816666666666667
"72" 71 0.79149375 0.760416666666667 0.820833333333333
"73" 72 0.799052083333333 0.76875 0.827083333333333
"74" 73 0.805010416666667 0.777083333333333 0.833333333333333
"75" 74 0.82044375 0.791666666666667 0.847916666666667
"76" 75 0.82288125 0.79375 0.85
"77" 76 0.824741666666667 0.79578125 0.852135416666667
"78" 77 0.83573125 0.808333333333333 0.864635416666667
"79" 78 0.84701875 0.81875 0.875
"80" 79 0.867629166666667 0.841666666666667 0.893802083333333
"81" 80 0.879583333333333 0.852083333333333 0.90625
"82" 81 0.881622916666667 0.854166666666667 0.906302083333333
"83" 82 0.884158333333333 0.858333333333333 0.908333333333333
"84" 83 0.884158333333333 0.858333333333333 0.908333333333333
"85" 84 0.895166666666667 0.870833333333333 0.91875
"86" 85 0.9198125 0.895833333333333 0.941666666666667
"87" 86 0.919877083333333 0.895833333333333 0.941666666666667
"88" 87 0.926552083333333 0.904166666666667 0.945885416666667
"89" 88 0.937133333333333 0.914583333333333 0.95625
"90" 89 0.9456 0.925 0.962552083333333
"91" 90 0.947122916666667 0.927083333333333 0.964583333333333
"92" 91 0.948385416666667 0.929166666666667 0.964583333333333
"93" 92 0.96225625 0.945833333333333 0.977083333333333
"94" 93 0.97543125 0.960416666666667 0.9875
"95" 94 0.97543125 0.960416666666667 0.9875
"96" 95 0.97543125 0.960416666666667 0.9875
"97" 96 0.991454166666667 0.983333333333333 0.997916666666667
"98" 97 0.991570833333333 0.983333333333333 0.997916666666667
"99" 98 0.991570833333333 0.983333333333333 0.997916666666667
"100" 99 0.9999125 0.997916666666667 1
"101" 100 1 1 1
