"offspring" "father"
"1" 46 1222
"2" 108 426
"3" 427 426
"4" 1776 1821
"5" 1783 1821
"6" 2522 426
"7" 3052 426
"8" 4148 1222
"9" 4329 1821
"10" 4462 1799
"11" 388 64
"12" 400 64
"13" 922 869
"14" 1220 1236
"15" 1648 1821
"16" 1912 64
"17" 2071 349
"18" 2345 64
"19" 2412 869
"20" 3120 869
"21" 4141 1821
"22" 148 349
"23" 239 349
"24" 488 349
"25" 1965 349
"26" 2392 869
"27" 2404 869
"28" 2542 349
"29" 2662 349
"30" 3610 869
"31" 505 156
"32" 1793 1791
"33" 53 64
"34" 249 283
"35" 2149 283
"36" 2601 283
"37" 538 349
"38" 96 64
"39" 157 4474
"40" 375 1006
"41" 491 156
"42" 504 156
"43" 850 1006
"44" 970 981
"45" 1114 846
"46" 1266 1006
"47" 1823 1799
"48" 2190 161
"49" 3061 846
"50" 3252 981
"51" 3281 4474
"52" 3309 1006
"53" 3722 1006
"54" 3731 981
"55" 4259 1738
"56" 4428 846
"57" 235 349
"58" 1677 4474
"59" 2645 349
"60" 4434 349
"61" 3243 981
"62" 2411 4474
