"offspring" "father" "fatherID" "distance"
"M831" "M831" 667 0
"M1979" "M1106" 3571 18.9465109772316
"M831" "M831" 139 0
"M1112" "M811" 1781 5.97825228274849
"M811" "M1102" 3870 17.0842971814746
"PP1" "M813" 3740 6.53572273152849
"M809" "M831" 139 11.7162865951159
"M1975" "M1551" 608 30.5424764947915
"M1106" "M1106" 2607 0
"M1975" "M1975" 1097 0
"M1106" "M1106" 3571 0
"M831" "M1102" 3363 5.54589496097235
"M813" "M1551" 608 13.9565802132543
"M831" "M831" 667 0
"M1106" "M811" 1781 14.011732679521
"M244" "M1079" 1504 33.4468897828314
"M813" "M1079" 1504 50.3723815805182
"M811" "M811" 1781 0
"M1975" "M1551" 608 30.5424764947915
"M1079" "M1079" 1522 0
"M809" "M1102" 3870 16.3699560374414
"M811" "M811" 1781 0
"PP1" "PP1" 298 0
"M811" "M811" 1781 0
"M1079" "M1106" 2599 47.8198898712724
"M809" "M1102" 3870 16.3699560374414
"M831" "M831" 245 0
"M1106" "M1106" 2599 0
"M831" "M831" 139 0
"M1079" "M1079" 1522 0
"M1079" "M1079" 1504 0
"PP3" "M1106" 2599 0.688501335647245
"M813" "M1106" 2599 7.69070732401602
"M1112" "M1102" 3363 22.8470380510431
"M831" "M1102" 3870 5.54589496097235
"M1079" "M1079" 1522 0
"M1975" "M1975" 1097 0
"M1079" "M1079" 1504 0
"M831" "PP1" 1389 19.9510751901992
"M1079" "M1079" 1504 0
"PP1" "PP1" 1389 0
"M831" "M831" 139 0
"M1113" "M1102" 3870 24.9869883789882
"M1079" "M1079" 1504 0
"M1079" "M1079" 1522 0
"M1102" "M831" 245 5.54589496097235
"M1079" "M1079" 1504 0
"M831" "M831" 245 0
"M811" "M809" 3880 5.04395856330814
"M831" "M1079" 1504 37.9969840961326
"M1975" "M1975" 1097 0
"M1079" "M1079" 1522 0
"M1106" "M1106" 2599 0
"PP1" "PP1" 298 0
"CXSGT" "M1102" 3870 29.6601354343
"M1112" "PP1" 298 15.1183229543013
"M1079" "M1079" 1504 0
"PP1" "PP1" 298 0
"M1079" "M1079" 1504 0
"PP1" "PP1" 1389 0
"M811" "M1106" 2599 14.011732679521
"M811" "M811" 438 0
"M244" "M809" 1035 12.4683596594172
"M831" "M831" 253 0
"M811" "M809" 1035 5.04395856330814
"M244" "M1106" 3571 16.6865836824217
"M811" "M811" 438 0
"M815" "M1106" 2607 10.1960279416473
"M1102" "M831" 139 5.54589496097235
"M815" "M809" 1035 8.12584138208218
"M1102" "M831" 139 5.54589496097235
"M1102" "M831" 253 5.54589496097235
"M1079" "M831" 139 37.9969840961326
"CXSGT" "M811" 438 45.1845503835138
"PP3" "M1106" 2599 0.688501335647245
"PP1" "M831" 245 19.9510751901992
"M811" "M811" 438 0
"M1106" "M1551" 2387 18.3934698808462
"M1106" "PP1" 298 1.49482186150384
"M831" "M1102" 3363 5.54589496097235
"M831" "M831" 139 0
"M831" "M831" 139 0
"M1979" "M1106" 2599 18.9465109772316
"M1551" "M1102" 3363 9.63787106891374
"M1551" "M1975" 1073 30.5424764947915
"M831" "M831" 457 0
"M1551" "M813" 3740 13.9565802132543
"M809" "M1113" 3822 9.71938617752328
"M1979" "M831" 3261 37.8443330066904
"M831" "M831" 457 0
"M813" "M813" 3740 0
"M244" "M244" 2332 0
"M1975" "M1975" 1808 0
"M244" "M1975" 1808 24.4286741605974
"M809" "M1113" 3822 9.71938617752328
"PP3" "M1975" 1073 13.6591725309532
"M1102" "M1975" 1808 32.2237524733374
"M1102" "M1102" 3363 0
"M809" "M1102" 3363 16.3699560374414
"M1975" "M831" 3261 30.708499740568
"M811" "M809" 3880 5.04395856330814
"M1975" "M1975" 1073 0
"PP1" "PP1" 298 0
"M809" "M1113" 3822 9.71938617752328
"M815" "PP1" 298 8.80214970369225
"M1102" "M244" 2332 7.83777558222255
"M1551" "M1551" 2387 0
"M831" "M831" 457 0
"M1112" "PP1" 298 15.1183229543013
"M831" "M244" 2332 8.30789714020571
"M1979" "M831" 3261 37.8443330066904
"PP1" "M244" 2332 17.3899023603931
"M831" "M831" 139 0
"M1113" "PP3" 1677 13.6645980697985
"M1102" "M831" 123 5.54589496097235
"M815" "M1551" 2387 16.0252645037953
"PP3" "M1106" 2599 0.688501335647245
"M1975" "M1106" 1065 13.9368197869525
"M1106" "M1102" 3856 23.2286243111935
"M1551" "PP3" 1677 19.0134279253138
"M815" "M1106" 2599 10.1960279416473
"M813" "M831" 123 16.7784938898924
"M831" "M1551" 2387 4.10018723290228
"M244" "M831" 139 8.30789714020571
"M813" "M1551" 2387 13.9565802132543
"M1079" "M1551" 2387 42.0490134810415
"M813" "M1102" 3856 21.495518657887
"M813" "M831" 123 16.7784938898924
"M813" "M1102" 3856 21.495518657887
"M1079" "M831" 139 37.9969840961326
"M815" "PP1" 298 8.80214970369225
"M1551" "M1551" 3867 0
"CXSGT" "M1079" 1522 3.8245899547104
"M244" "M1975" 1073 24.4286741605974
"M1551" "M1551" 3867 0
"M1102" "M1079" 1504 32.6443132842583
"M1113" "PP1" 298 12.204593059158
"M831" "M1975" 1808 30.708499740568
"M1106" "PP1" 298 1.49482186150384
"M813" "M1106" 1065 7.69070732401602
"M815" "PP1" 298 8.80214970369225
"M1102" "M1975" 1097 32.2237524733374
"M813" "M1975" 3572 21.6040948177284
"M1112" "M1975" 3572 30.2094397941172
"M1551" "M1975" 3572 30.5424764947915
"M831" "PP1" 298 19.9510751901992
"M1975" "M1975" 3572 0
"M1102" "M1102" 3874 0
"M1079" "M1102" 3874 32.6443132842583
"M1106" "M1975" 1808 13.9368197869525
"M811" "M1975" 1097 27.7110575189975
"M1102" "M1102" 3874 0
"M831" "M1551" 2387 4.10018723290228
"PP3" "M1975" 1837 13.6591725309532
"M1079" "M1079" 1522 0
"M813" "PP1" 1389 6.53572273152849
"PP3" "M1106" 702 0.688501335647245
"M809" "M831" 139 11.7162865951159
"M831" "M831" 2147 0
"M1975" "M1113" 3822 27.134496683809
"M811" "M1979" 25 32.8431564531087
"M1979" "M1979" 25 0
"M1079" "M1979" 25 55.8423330585033
"M1102" "M1979" 25 39.9837394549672
"M809" "M1975" 1808 22.8857382065525
"M809" "M1975" 1808 22.8857382065525
"M813" "M811" 438 7.3234175609759
"M1975" "M1079" 1522 47.5454478262668
"PP3" "M1106" 2607 0.688501335647245
"M244" "M811" 1781 15.426762388756
"M1112" "M1106" 3571 16.3148509998857
"PP1" "M1975" 1097 15.0921392726624
"M1079" "M813" 3523 50.3723815805182
"PP3" "M813" 3523 7.94720761723939
"M244" "M1106" 2607 16.6865836824217
"M1112" "M813" 3523 8.62470231664887
"PP1" "M1975" 1808 15.0921392726624
"M1079" "PP1" 1389 48.9876596920698
"M1106" "M1079" 1504 47.8198898712724
"M809" "M1551" 2387 9.25024798792298
"M1079" "M1079" 1522 0
"M1551" "M1551" 648 0
"M1079" "M1079" 1522 0
"M1975" "M1551" 648 30.5424764947915
"M813" "M1551" 648 13.9565802132543
"M813" "M1551" 648 13.9565802132543
"M1113" "M1112" 3818 4.32504875207697
"M244" "M831" 139 8.30789714020571
"M1079" "M1079" 1522 0
"M811" "M809" 1896 5.04395856330814
"M1975" "M1106" 3571 13.9368197869525
"PP3" "M1551" 648 19.0134279253138
"M811" "M1112" 3818 5.97825228274849
"M831" "M1112" 3818 17.3340569387504
"M1975" "M1551" 648 30.5424764947915
"M831" "M1112" 3818 17.3340569387504
"M813" "M809" 3880 5.12703685774854
"M813" "M809" 3880 5.12703685774854
"M809" "M809" 3880 0
"M809" "M809" 3880 0
"M1112" "M1106" 3571 16.3148509998857
"M1106" "M1551" 2387 18.3934698808462
"PP1" "M809" 3582 9.11055069512377
"M809" "M809" 3582 0
"M831" "M809" 3582 11.7162865951159
"M831" "M1102" 3363 5.54589496097235
"M815" "M1975" 1097 23.7121027109289
"M1113" "M809" 3582 9.71938617752328
"M1102" "M1979" 2586 39.9837394549672
"M809" "M831" 2141 11.7162865951159
"M831" "M1106" 2599 19.856672091426
"M1106" "M831" 2141 19.856672091426
"M1106" "M1979" 2586 18.9465109772316
"M1975" "M1975" 1097 0
"M811" "M831" 1618 11.6637467327904
"M1102" "M1975" 1837 32.2237524733374
"M1975" "M1975" 1097 0
"M1975" "M1975" 1808 0
"M815" "M1102" 3363 24.3106849170763
"M813" "M811" 1781 7.3234175609759
"M831" "M831" 3219 0
"M809" "M831" 3219 11.7162865951159
"M1975" "M831" 3219 30.708499740568
"M1113" "M831" 3219 19.6655651724171
"PP1" "M1106" 1065 1.49482186150384
"M1079" "M1979" 25 55.8423330585033
"M1079" "M1979" 25 55.8423330585033
"M1979" "M1979" 25 0
"M831" "M1975" 1073 30.708499740568
"M1079" "M1979" 25 55.8423330585033
"M831" "M831" 3219 0
"M813" "M1106" 2607 7.69070732401602
"M809" "M1975" 1808 22.8857382065525
"M815" "M815" 3158 0
"M1106" "M1975" 1078 13.9368197869525
"M813" "M815" 3158 3.52767083150872
"M815" "M815" 3158 0
"M831" "M815" 3158 19.2931722976415
"M244" "M815" 3158 20.4762979870851
"M1551" "M1975" 1078 30.5424764947915
"M809" "M815" 3158 8.12584138208218
"M244" "M244" 2753 0
