"offspring" "father" "mother" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35"
2176 NA 333 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 186 186 268 268 228 233 211 222 169 169 247 251 220 232
3149 NA 333 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 186 186 268 268 228 233 211 222 169 169 247 251 220 232
318 NA 333 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 186 186 268 268 228 233 211 222 169 169 247 251 220 232
2155 NA 336 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 186 190 268 288 228 239 211 220 173 177 251 251 216 216
320 NA 336 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 186 190 268 288 228 239 211 220 173 177 251 251 216 216
2191 NA 348 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 186 188 268 288 239 241 220 220 169 169 247 259 216 220
351 NA 348 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 186 188 268 288 239 241 220 220 169 169 247 259 216 220
3142 NA 350 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 125 136 177 186 265 268 241 241 211 218 169 173 247 255 224 232
3145 NA 357 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 188 188 286 288 229 241 216 218 169 177 255 259 220 224
547 NA 357 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 188 188 286 288 229 241 216 218 169 177 255 259 220 224
606 NA 367 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 188 190 268 286 231 237 216 216 169 181 247 263 216 220
3150 NA 369 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 186 265 288 228 233 211 211 169 173 243 259 220 228
2200 NA 369 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 186 265 288 228 233 211 211 169 173 243 259 220 228
2214 NA 373 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 177 186 290 290 228 231 216 220 169 177 247 251 216 220
2178 NA 375 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 186 188 268 290 228 228 218 218 165 165 251 263 220 228
3376 NA 393 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 175 186 265 268 233 241 218 220 169 173 238 243 216 228
3395 NA 395 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 184 188 268 288 228 241 207 220 169 169 238 255 224 228
2945 NA 395 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 184 188 268 288 228 241 207 220 169 169 238 255 224 228
1734 NA 395 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 184 188 268 288 228 241 207 220 169 169 238 255 224 228
3401 NA 404 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 173 177 268 288 229 237 0 0 169 169 255 259 224 224
2001 NA 410 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 173 186 268 290 224 233 216 216 173 173 243 247 216 224
3406 NA 410 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 173 186 268 290 224 233 216 216 173 173 243 247 216 224
1188 NA 410 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 173 186 268 290 224 233 216 216 173 173 243 247 216 224
1176 NA 410 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 173 186 268 290 224 233 216 216 173 173 243 247 216 224
3352 NA 424 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 186 186 286 290 229 229 216 220 169 169 251 255 216 224
2683 NA 424 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 186 186 286 290 229 229 216 220 169 169 251 255 216 224
2229 NA 424 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 186 186 286 290 229 229 216 220 169 169 251 255 216 224
3412 NA 426 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 136 173 186 265 288 235 237 211 216 173 173 247 247 216 216
347 NA 431 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 146 175 188 268 288 229 235 211 220 173 173 238 238 220 228
2196 NA 431 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 146 175 188 268 288 229 235 211 220 173 173 238 238 220 228
4010 NA 431 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 146 175 188 268 288 229 235 211 220 173 173 238 238 220 228
537 NA 441 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 175 175 268 288 237 241 216 218 169 173 243 247 216 220
597 NA 449 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 125 136 186 188 268 288 233 241 211 218 169 169 247 251 228 232
3132 NA 449 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 125 136 186 188 268 288 233 241 211 218 169 169 247 251 228 232
2187 NA 449 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 125 136 186 188 268 288 233 241 211 218 169 169 247 251 228 232
3998 NA 453 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 183 268 286 229 235 216 216 173 181 238 247 220 220
2201 NA 453 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 183 268 286 229 235 216 216 173 181 238 247 220 220
548 NA 453 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 183 268 286 229 235 216 216 173 181 238 247 220 220
3130 NA 453 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 183 268 286 229 235 216 216 173 181 238 247 220 220
2030 NA 491 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 177 184 268 284 237 241 211 216 169 173 247 251 220 228
771 NA 494 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 184 186 268 268 231 235 211 216 173 173 247 259 220 224
2051 NA 494 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 184 186 268 268 231 235 211 216 173 173 247 259 220 224
3718 NA 494 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 184 186 268 268 231 235 211 216 173 173 247 259 220 224
769 NA 494 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 184 186 268 268 231 235 211 216 173 173 247 259 220 224
3717 NA 505 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 175 186 268 288 229 235 216 216 173 173 255 255 220 220
729 NA 505 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 175 186 268 288 229 235 216 216 173 173 255 255 220 220
2011 NA 508 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 125 136 175 188 268 288 233 241 211 220 169 169 243 255 220 224
2034 NA 510 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 125 136 175 188 268 290 235 241 211 216 169 173 243 255 220 220
2040 NA 516 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 177 184 284 290 237 237 216 220 169 173 255 255 220 220
3086 NA 516 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 177 184 284 290 237 237 216 220 169 173 255 255 220 220
3716 NA 516 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 177 184 284 290 237 237 216 220 169 173 255 255 220 220
3713 NA 519 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 175 175 288 288 231 233 211 216 169 173 251 263 212 224
3098 NA 519 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 175 175 288 288 231 233 211 216 169 173 251 263 212 224
2036 NA 519 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 175 175 288 288 231 233 211 216 169 173 251 263 212 224
3702 NA 522 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 175 268 288 235 237 211 220 169 173 247 263 220 232
2035 NA 522 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 175 268 288 235 237 211 220 169 173 247 263 220 232
3984 NA 555 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 186 188 268 268 228 233 211 211 169 169 234 251 228 232
3148 NA 555 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 186 188 268 268 228 233 211 211 169 169 234 251 228 232
2181 NA 556 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 188 188 268 290 241 241 216 218 169 177 255 255 220 220
595 NA 556 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 188 188 268 290 241 241 216 218 169 177 255 255 220 220
2010 NA 561 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 183 186 284 288 235 239 216 216 169 169 243 255 220 224
3095 NA 561 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 183 186 284 288 235 239 216 216 169 169 243 255 220 224
3709 NA 561 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 183 186 284 288 235 239 216 216 169 169 243 255 220 224
201 NA 565 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 125 136 173 186 284 290 231 243 207 216 169 169 251 251 224 224
2656 NA 565 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 125 136 173 186 284 290 231 243 207 216 169 169 251 251 224 224
2022 NA 581 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 186 265 288 233 235 211 220 169 173 251 263 216 232
774 NA 581 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 186 265 288 233 235 211 220 169 173 251 263 216 232
2048 NA 591 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 125 136 175 188 284 290 231 241 211 220 169 173 247 255 224 224
880 NA 615 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 175 183 268 288 233 233 211 211 169 169 247 263 220 220
2807 NA 615 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 175 183 268 288 233 233 211 211 169 169 247 263 220 220
772 NA 616 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 125 136 175 177 288 288 228 237 216 218 169 169 238 243 220 232
2825 NA 616 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 125 136 175 177 288 288 228 237 216 218 169 169 238 243 220 232
885 NA 618 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 146 184 188 268 288 235 235 216 220 169 173 251 255 220 220
891 NA 618 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 146 184 188 268 288 235 235 216 220 169 173 251 255 220 220
2787 NA 618 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 146 184 188 268 288 235 235 216 220 169 173 251 255 220 220
852 NA 628 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 177 188 288 290 228 235 216 216 169 173 251 259 216 224
3958 NA 628 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 177 188 288 290 228 235 216 216 169 173 251 259 216 224
892 NA 631 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 136 175 186 284 284 229 229 216 216 169 173 251 251 216 224
2821 NA 631 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 136 175 186 284 284 229 229 216 216 169 173 251 251 216 224
3969 NA 631 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 136 175 186 284 284 229 229 216 216 169 173 251 251 216 224
846 NA 636 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 188 265 288 229 241 211 211 173 173 251 251 216 224
841 NA 637 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 175 177 268 268 231 233 220 220 169 177 243 255 220 224
2265 NA 645 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 138 138 175 188 268 288 229 239 218 220 169 169 247 251 224 224
876 NA 645 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 138 138 175 188 268 288 229 239 218 220 169 169 247 251 224 224
2268 NA 645 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 138 138 175 188 268 288 229 239 218 220 169 169 247 251 224 224
2783 NA 645 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 138 138 175 188 268 288 229 239 218 220 169 169 247 251 224 224
2283 NA 650 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 142 175 186 286 288 235 237 210 218 169 177 251 255 224 224
3963 NA 657 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 142 177 186 284 288 235 237 210 216 169 173 247 255 224 224
879 NA 657 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 142 177 186 284 288 235 237 210 216 169 173 247 255 224 224
2260 NA 657 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 142 177 186 284 288 235 237 210 216 169 173 247 255 224 224
3921 NA 688 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 146 146 175 190 268 286 229 231 211 216 169 177 243 247 220 220
940 NA 693 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 177 186 288 288 237 237 216 218 169 173 243 259 212 224
2988 NA 693 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 177 186 288 288 237 237 216 218 169 173 243 259 212 224
2269 NA 695 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 175 286 286 233 237 216 220 169 169 251 255 220 224
881 NA 695 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 175 286 286 233 237 216 220 169 169 251 255 220 224
3935 NA 698 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 183 186 284 288 233 235 211 216 169 173 243 251 216 220
3937 NA 699 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 138 138 175 186 268 268 235 241 216 218 169 173 234 238 216 220
938 NA 699 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 138 138 175 186 268 268 235 241 216 218 169 173 234 238 216 220
3954 NA 699 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 138 138 175 186 268 268 235 241 216 218 169 173 234 238 216 220
2044 NA 699 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 138 138 175 186 268 268 235 241 216 218 169 173 234 238 216 220
2061 NA 718 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 138 175 186 268 288 235 241 218 220 173 177 238 243 220 224
965 NA 718 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 138 175 186 268 288 235 241 218 220 173 177 238 243 220 224
3946 NA 733 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 125 136 177 190 268 290 235 235 210 218 169 173 259 259 216 224
3035 NA 733 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 125 136 177 190 268 290 235 235 210 218 169 173 259 259 216 224
2047 NA 733 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 125 136 177 190 268 290 235 235 210 218 169 173 259 259 216 224
1005 NA 733 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 125 136 177 190 268 290 235 235 210 218 169 173 259 259 216 224
3926 NA 734 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 186 286 286 235 235 220 220 165 173 243 243 224 224
956 NA 734 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 186 286 286 235 235 220 220 165 173 243 243 224 224
2069 NA 738 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 186 186 284 288 229 235 211 216 173 173 251 259 224 224
947 NA 738 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 186 186 284 288 229 235 211 216 173 173 251 259 224 224
2716 NA 738 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 186 186 284 288 229 235 211 216 173 173 251 259 224 224
1204 NA 738 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 186 186 284 288 229 235 211 216 173 173 251 259 224 224
2064 NA 740 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 146 175 186 284 288 233 239 211 220 169 169 251 259 224 228
957 NA 740 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 146 175 186 284 288 233 239 211 220 169 169 251 259 224 228
3030 NA 740 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 146 175 186 284 288 233 239 211 220 169 169 251 259 224 228
953 NA 751 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 175 183 268 284 231 233 216 216 173 173 243 255 220 220
3950 NA 752 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 173 175 268 290 237 243 211 218 169 173 238 251 208 224
1009 NA 752 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 173 175 268 290 237 243 211 218 169 173 238 251 208 224
2975 NA 752 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 173 175 268 290 237 243 211 218 169 173 238 251 208 224
2976 NA 754 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 186 188 290 293 224 243 216 218 169 173 247 255 224 224
941 NA 754 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 186 188 290 293 224 243 216 218 169 173 247 255 224 224
2987 NA 760 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 183 284 290 235 235 216 216 169 173 251 255 220 224
3443 NA 777 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 186 186 265 290 231 237 216 220 169 169 238 251 212 228
75 NA 777 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 186 186 265 290 231 237 216 220 169 169 238 251 212 228
3058 NA 777 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 186 186 265 290 231 237 216 220 169 169 238 251 212 228
2117 NA 781 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 186 265 268 231 235 216 220 169 169 234 251 216 220
3441 NA 781 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 186 265 268 231 235 216 220 169 169 234 251 216 220
820 NA 785 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 177 184 284 290 231 241 220 220 169 177 255 259 220 220
3434 NA 785 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 177 184 284 290 231 241 220 220 169 177 255 259 220 220
3447 NA 785 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 177 184 284 290 231 241 220 220 169 177 255 259 220 220
426 NA 860 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 136 173 186 265 268 233 235 216 216 173 173 247 247 216 216
1905 NA 860 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 136 173 186 265 268 233 235 216 216 173 173 247 247 216 216
3396 NA 860 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 136 173 186 265 268 233 235 216 216 173 173 247 247 216 216
1914 NA 860 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 136 173 186 265 268 233 235 216 216 173 173 247 247 216 216
411 NA 872 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 190 265 290 228 233 216 220 169 169 243 247 216 224
2951 NA 872 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 190 265 290 228 233 216 220 169 169 243 247 216 224
1166 NA 901 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 188 190 288 288 229 233 210 216 173 177 243 251 216 224
2098 NA 902 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 177 188 268 290 231 233 211 218 169 169 251 259 224 224
1175 NA 902 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 177 188 268 290 231 233 211 218 169 169 251 259 224 224
1174 NA 903 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 142 186 188 265 288 229 233 210 220 169 173 243 251 216 224
1161 NA 910 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 125 138 175 175 288 290 231 233 207 220 169 169 247 251 220 228
2654 NA 910 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 125 138 175 175 288 290 231 233 207 220 169 169 247 251 220 228
3454 NA 910 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 125 138 175 175 288 290 231 233 207 220 169 169 247 251 220 228
1163 NA 910 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 125 138 175 175 288 290 231 233 207 220 169 169 247 251 220 228
3460 NA 913 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 175 188 288 290 229 241 216 216 177 177 243 259 224 224
2688 NA 913 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 175 188 288 290 229 241 216 216 177 177 243 259 224 224
1179 NA 914 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 173 186 268 290 239 241 211 218 169 169 238 238 220 224
2665 NA 914 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 173 186 268 290 239 241 211 218 169 169 238 238 220 224
2120 NA 914 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 173 186 268 290 239 241 211 218 169 169 238 238 220 224
1197 NA 914 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 173 186 268 290 239 241 211 218 169 169 238 238 220 224
2925 NA 919 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 175 286 290 235 241 216 218 169 173 251 251 212 216
3375 NA 919 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 175 286 290 235 241 216 218 169 173 251 251 212 216
1720 NA 919 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 175 286 290 235 241 216 218 169 173 251 251 212 216
3471 NA 927 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 175 175 288 288 233 235 211 220 169 169 247 251 224 228
1160 NA 927 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 175 175 288 288 233 235 211 220 169 169 247 251 224 228
1699 NA 934 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 188 188 265 288 228 241 218 218 169 169 251 251 220 224
2947 NA 934 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 188 188 265 288 228 241 218 218 169 169 251 251 220 224
3405 NA 934 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 188 188 265 288 228 241 218 218 169 169 251 251 220 224
2937 NA 934 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 188 188 265 288 228 241 218 218 169 169 251 251 220 224
2785 NA 967 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 190 284 290 231 231 216 218 169 173 255 255 212 224
1990 NA 997 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 184 188 268 286 235 237 216 220 165 173 255 259 220 220
1241 NA 997 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 184 188 268 286 235 237 216 220 165 173 255 259 220 220
2775 NA 997 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 184 188 268 286 235 237 216 220 165 173 255 259 220 220
2091 NA 1011 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 136 184 186 268 293 235 239 211 216 169 173 251 251 216 224
3995 NA 1025 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 0 0 288 288 233 235 218 218 0 0 238 243 220 224
2309 NA 1025 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 0 0 288 288 233 235 218 218 0 0 238 243 220 224
3104 NA 1025 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 0 0 288 288 233 235 218 218 0 0 238 243 220 224
1980 NA 1037 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 125 136 183 190 268 284 235 239 216 218 169 169 247 251 220 224
3502 NA 1037 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 125 136 183 190 268 284 235 239 216 218 169 169 247 251 220 224
1995 NA 1047 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 188 188 268 288 229 235 216 216 173 173 238 251 216 232
1199 NA 1047 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 188 188 268 288 229 235 216 216 173 173 238 251 216 232
1997 NA 1047 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 188 188 268 288 229 235 216 216 173 173 238 251 216 232
1233 NA 1048 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 186 186 268 268 228 233 220 220 177 177 251 255 216 224
4036 NA 1048 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 186 186 268 268 228 233 220 220 177 177 251 255 216 224
1989 NA 1053 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 188 265 284 228 243 216 218 169 173 251 255 220 224
1242 NA 1053 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 188 265 284 228 243 216 218 169 173 251 255 220 224
3037 NA 1066 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 175 190 265 288 237 239 211 216 169 173 238 251 216 220
3101 NA 1067 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 188 188 284 293 231 241 216 216 169 169 247 251 216 220
4009 NA 1067 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 188 188 284 293 231 241 216 216 169 169 247 251 216 220
2242 NA 1070 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 186 186 265 284 229 229 216 216 169 169 234 255 220 224
2248 NA 1075 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 146 186 188 286 288 229 233 216 220 169 169 234 255 216 224
1359 NA 1075 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 146 186 188 286 288 229 233 216 220 169 169 234 255 216 224
2243 NA 1075 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 146 186 188 286 288 229 233 216 220 169 169 234 255 216 224
2236 NA 1082 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 184 186 268 290 229 231 216 216 169 173 255 255 212 220
2990 NA 1082 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 184 186 268 290 229 231 216 216 169 173 255 255 212 220
1353 NA 1082 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 184 186 268 290 229 231 216 216 169 173 255 255 212 220
2231 NA 1085 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 186 188 268 284 239 239 216 216 169 169 234 234 212 220
2082 NA 1087 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 146 184 186 268 288 235 239 216 220 169 169 238 251 220 220
1230 NA 1088 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 188 284 290 241 241 216 216 169 173 238 251 220 220
2101 NA 1090 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 184 186 288 288 229 235 211 216 169 169 251 259 212 224
