"offspring" "father" "mother" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35"
830 NA 51 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 136 177 188 268 286 233 239 216 220 173 181 243 251 232 232
2816 NA 86 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 184 265 268 229 233 218 220 169 173 247 247 212 220
2801 NA 88 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 186 286 288 233 241 216 220 169 169 255 259 212 224
1157 NA 88 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 186 286 288 233 241 216 220 169 169 255 259 212 224
1671 NA 89 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 190 190 288 288 235 241 218 220 169 173 251 255 220 232
2864 NA 89 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 190 190 288 288 235 241 218 220 169 173 251 255 220 232
1622 NA 89 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 190 190 288 288 235 241 218 220 169 173 251 255 220 232
3650 NA 89 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 190 190 288 288 235 241 218 220 169 173 251 255 220 232
203 NA 95 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 177 194 268 286 231 235 211 216 173 177 247 247 220 224
3678 NA 103 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 142 188 188 268 284 233 235 216 220 169 169 247 255 216 220
3625 NA 104 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 184 288 288 231 233 216 218 169 173 247 251 216 224
1965 NA 104 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 184 288 288 231 233 216 218 169 173 247 251 216 224
3647 NA 110 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 177 284 288 235 239 211 216 169 169 251 255 216 216
2860 NA 110 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 177 284 288 235 239 211 216 169 169 251 255 216 216
468 NA 113 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 177 186 265 288 231 235 216 216 169 169 255 259 224 224
467 NA 118 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 148 177 188 288 290 229 233 216 216 169 169 247 255 216 224
281 NA 118 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 148 177 188 288 290 229 233 216 216 169 169 247 255 216 224
2876 NA 120 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 148 175 175 268 288 235 241 216 216 173 173 251 259 220 224
274 NA 120 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 148 175 175 268 288 235 241 216 216 173 173 251 259 220 224
3614 NA 132 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 134 183 186 268 268 228 233 216 216 173 173 255 259 216 216
668 NA 135 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 183 265 286 233 235 216 220 169 169 255 259 216 228
3664 NA 142 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 136 183 186 265 268 228 233 216 222 173 173 255 259 216 224
283 NA 142 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 136 183 186 265 268 228 233 216 222 173 173 255 259 216 224
2902 NA 149 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 138 175 186 268 284 233 241 218 220 173 173 251 255 220 228
1970 NA 149 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 138 175 186 268 284 233 241 218 220 173 173 251 255 220 228
163 NA 156 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 175 186 265 265 229 237 211 211 169 173 247 255 216 220
