"offspring" "father" "occurences"
3480 3811 1
182 2387 4
3318 3572 1
3140 779 2
2729 3571 5
3971 3572 1
2988 568 2
2049 3455 1
472 139 2
463 139 1
2275 1389 1
1161 3455 3
2302 1073 1
2156 1522 1
3642 3455 3
2150 1522 1
322 438 3
2655 3455 3
2835 139 1
597 438 3
3073 1522 1
1587 1522 1
2277 1522 1
2149 1522 1
1163 3455 3
3454 3455 2
3475 438 3
2674 1522 1
1170 3455 1
349 3455 3
1164 3455 1
822 3013 5
732 2753 1
853 2753 1
3692 2387 1
2940 2753 1
2697 1501 1
2053 2753 1
2207 2753 1
3658 2753 1
767 2753 1
3116 2753 1
2027 2753 1
1148 2129 1
3397 3740 1
3094 865 1
2791 865 1
2721 3532 1
1005 702 1
3956 1900 4
361 865 1
856 1900 4
1581 865 1
1243 1900 4
3028 702 1
606 3532 1
669 865 1
3770 298 1
2863 3532 1
2901 865 1
1341 1900 4
548 702 1
3644 865 1
3130 865 1
2766 3532 1
2159 3532 1
401 3740 1
2903 1389 2
2767 1097 1
2719 1097 1
3463 1501 2
4033 1424 1
2049 2398 2
3981 2398 2
2098 112 1
1361 2129 1
3093 3880 1
959 245 1
2227 3455 1
2295 1138 2
3688 2142 1
678 3363 1
3364 3363 3
1662 2142 1
2792 3867 1
413 1837 1
2234 3740 1
187 2142 1
1949 2142 1
1261 2599 1
2620 245 2
2979 1837 1
3969 3867 1
959 3363 2
2266 3571 1
2275 2599 2
2885 3571 1
2165 3880 1
2688 139 1
2787 1453 1
2030 3363 1
3407 1424 2
1191 3013 2
815 3013 1
3691 3363 1
3981 3363 1
1222 3363 1
2823 3363 1
162 112 1
3770 3363 1
3114 139 3
3624 1561 1
2945 438 1
2268 2537 1
199 3455 1
3403 696 1
3075 3009 2
3111 1767 1
2715 696 1
671 1767 1
2897 3009 2
1974 3009 2
1973 3009 2
1625 3009 1
2210 3009 2
2722 696 1
2690 2488 1
4038 3884 1
2033 2488 1
1223 3884 1
1248 3884 1
2856 2488 1
2870 2488 1
2918 3884 1
1634 779 3
2970 1808 1
1344 3219 1
1345 1808 1
2849 3219 1
2309 3219 1
2808 3219 1
2926 3315 1
3350 1808 1
850 3315 1
1374 3315 1
2181 3219 1
2084 3219 1
2222 3315 1
1252 3315 1
2838 3219 1
2892 2599 1
2892 298 1
1256 2599 1
3624 1900 1
1660 92 1
545 779 1
3696 92 1
2887 92 1
2101 1805 1
2667 1522 1
3121 1900 1
2038 1035 1
3127 1035 1
194 1139 1
1980 1900 1
3954 568 1
1381 1831 1
3955 1139 1
2116 1035 1
1588 1522 1
1181 1831 1
3374 1805 1
3461 1139 1
1987 1805 1
2941 1139 1
3157 1831 1
2730 1522 1
1259 1805 1
1580 1522 1
NA NA NA
NA NA NA
NA NA NA
NA NA NA
NA NA NA
NA NA NA
NA NA NA
NA NA NA
NA NA NA
NA NA NA
NA NA NA
NA NA NA
NA NA NA
NA NA NA
NA NA NA
NA NA NA
NA NA NA
NA NA NA
NA NA NA
NA NA NA
NA NA NA
NA NA NA
NA NA NA
NA NA NA
