"offspring" "father" "occurences"
2247 1837 26
3699 139 29
2653 1837 28
3112 139 25
2052 3571 28
2065 2599 27
459 272 1
765 3571 22
2904 1389 29
1257 1837 10
815 1097 6
462 245 20
1008 2599 30
3053 272 1
671 272 1
813 2599 15
878 272 1
2706 2599 29
1952 245 30
2307 1389 30
2826 139 6
1343 1097 18
275 1389 29
2289 1389 30
3612 139 29
4043 1837 27
2841 139 29
2637 1837 28
2218 245 30
1963 1888 7
3631 245 30
2080 1097 22
4029 1097 19
1200 1837 28
3644 1888 7
2671 1888 7
819 2000 3
63 1888 3
3094 1389 16
2287 2599 7
3366 1522 2
1061 1504 13
2859 139 23
3716 1501 2
1590 1522 6
1637 568 4
3083 568 2
2719 1389 2
3415 2000 2
3061 3013 4
1594 1522 5
3955 1501 17
2877 3013 10
2856 3013 5
2162 1504 16
2203 139 8
2658 1389 6
2862 568 4
1627 1504 15
3461 1501 17
3460 2000 3
1404 568 4
2936 1501 14
2688 2000 3
1974 1504 7
1604 1522 6
3122 2000 3
3370 1501 10
2153 1504 6
942 1389 18
2224 2586 6
2231 1837 2
2295 1837 7
3355 1501 7
3970 2398 3
1367 1837 8
2199 2586 6
3114 2398 1
1181 298 6
935 2398 1
4020 139 1
1573 1504 7
3672 298 7
1999 2586 6
1623 1504 7
2986 139 14
1194 1424 7
594 298 8
2660 298 8
3397 1522 1
401 1837 5
3027 3764 2
2317 3880 6
2292 3880 4
1344 1837 1
1699 3880 8
3352 1501 3
68 3880 8
1213 2599 8
3996 1563 2
3056 112 14
2308 3880 6
827 2129 6
2808 1837 5
2909 2129 4
462 1563 1
816 3764 2
1754 3880 3
2648 3764 2
2306 1097 15
2888 112 14
3394 1522 2
1368 1456 7
2184 3880 7
964 1504 10
2693 112 14
1163 3764 2
2226 1504 2
1635 3764 2
1741 3764 2
2152 139 6
1058 3764 2
1947 1563 2
3451 3880 8
1357 1097 7
540 3880 7
2313 3880 8
3771 1563 2
2161 1522 1
346 3764 2
1631 139 8
1002 2387 14
2310 2000 1
3049 2387 3
3073 1138 6
950 2387 14
3156 1097 4
884 2387 14
1357 1138 7
2985 2387 14
3033 2000 2
2267 1837 5
3695 1138 3
770 1073 15
1957 1888 2
3404 1504 3
1234 1073 7
2849 1837 4
3619 112 5
2861 139 6
1343 1138 6
3674 1138 2
1365 1073 15
1640 1504 2
2838 1837 4
3656 1888 1
1660 2142 2
2781 3253 1
3698 3253 1
2940 3880 6
766 3253 1
1601 1139 1
2265 2537 2
666 3253 1
1192 779 5
818 779 7
3622 3253 1
546 779 2
2842 3253 1
1572 779 7
3977 2537 2
1583 779 6
3144 779 5
3083 779 1
2628 3880 7
965 3856 1
3616 3253 1
2679 1139 1
1348 1141 1
191 2142 2
2078 1139 2
3156 1141 1
2818 2537 2
2166 779 5
3640 2142 1
1375 2129 2
3088 1073 8
3703 2586 3
3983 779 4
2227 2537 2
2234 139 4
3092 1141 1
2668 2387 6
3643 3856 5
1153 3253 1
2663 779 7
2233 3253 1
2080 1141 1
320 3880 1
3375 3856 5
1378 1139 2
3370 1139 1
3401 3856 2
820 2129 1
3973 2537 2
1358 1138 6
2686 1139 2
1253 2607 1
2791 2607 1
1959 1561 3
1061 2607 1
3690 1561 1
2923 3740 4
2815 245 3
827 1561 1
2909 1561 3
1257 3216 1
1231 3216 1
3053 2607 1
2664 2599 4
1630 2607 1
4042 3880 1
3029 3216 1
2786 3880 1
1375 1561 2
851 1073 3
2878 1561 3
2263 3216 1
2688 2607 1
2671 1561 3
2979 1561 1
1335 3216 1
2012 1073 1
3432 1258 1
1984 1258 1
2727 1258 1
331 1912 2
2019 1501 1
3024 2599 2
2782 3013 5
1335 3013 7
2312 112 1
2205 1504 1
1155 1888 1
1228 3856 4
2954 3572 1
64 1888 1
1353 3811 1
1371 3811 1
3403 1073 2
1182 3572 1
2034 568 2
1238 568 2
