"offspring" "father" "colonyOffsp" "colonyFather" "yearOffsp" "yearFather" "ageFather" "sexOffsp" "y2013_1" "y2013_2" "y2014_1" "y2014_2" "y2015_1" "y2015_2" "y2016_1" "y2016_2"
70 8 "M1979" "M1979" "2013" "2013" "Adult" "F" "M1979" "M1979" NA "M1979" "M1979" "M1979" NA "M1979"
3428 8 "M1979" "M1979" "2016" "2013" "Adult" "F" "M1979" "M1979" NA "M1979" "M1979" "M1979" NA "M1979"
3070 13 "M1979" "M1979" "2015" "2013" "Adult" "M" "M1979" "M1979" "M1979" "M1979" "M1979" "M1979" NA NA
63 17 "M1979" "M1979" "2013" "2013" "Adult" "M" "M1979" "M1979" "M1979" "M1979" NA "M1979" NA "M1979"
2285 17 "M1979" "M1979" "2014" "2013" "Adult" "F" "M1979" "M1979" "M1979" "M1979" NA "M1979" NA "M1979"
3423 17 "M1979" "M1979" "2016" "2013" "Adult" "F" "M1979" "M1979" "M1979" "M1979" NA "M1979" NA "M1979"
80 17 "M1979" "M1979" "2013" "2013" "Adult" "F" "M1979" "M1979" "M1979" "M1979" NA "M1979" NA "M1979"
3072 21 "M1979" "M1979" "2015" "2013" "Adult" "M" "M1979" NA NA "M1979" NA NA NA NA
2280 50 "M1979" "M1979" "2014" "2013" "Adult" "F" "M1979" "M1979" NA "M1979" NA NA NA NA
3059 50 "M1979" "M1979" "2015" "2013" "Adult" "M" "M1979" "M1979" NA "M1979" NA NA NA NA
830 51 "M815" "M815" "2013" "2013" "Adult" "M" "M815" "M815" NA "M815" "M815" "M815" "M815" "M815"
2816 86 "M831" "M831" "2015" "2013" "Adult" "F" "M831" NA "M831" NA NA "M831" NA NA
2801 88 "M831" "M831" "2015" "2013" "Adult" "F" "M831" "M831" NA NA "M831" "M831" NA "M831"
1157 88 "M831" "M831" "2013" "2013" "Adult" "F" "M831" "M831" NA NA "M831" "M831" NA "M831"
1671 89 "M831" "M831" "2013" "2013" "Adult" "F" "M831" "M831" "M831" NA "M831" NA NA "M831"
2864 89 "M831" "M831" "2015" "2013" "Adult" "M" "M831" "M831" "M831" NA "M831" NA NA "M831"
1622 89 "M831" "M831" "2013" "2013" "Adult" "F" "M831" "M831" "M831" NA "M831" NA NA "M831"
3650 89 "M831" "M831" "2016" "2013" "Adult" "F" "M831" "M831" "M831" NA "M831" NA NA "M831"
203 95 "M831" "M831" "2013" "2013" "Adult" "F" "M831" NA NA NA NA NA NA NA
3678 103 "M831" "M831" "2016" "2013" "Adult" "F" "M831" NA NA NA NA NA NA NA
3625 104 "M831" "M831" "2016" "2013" "Adult" "F" "M831" NA NA NA NA NA NA NA
1965 104 "M831" "M831" "2014" "2013" "Adult" "F" "M831" NA NA NA NA NA NA NA
3647 110 "M831" "M831" "2016" "2013" "Adult" "F" "M831" "M831" NA NA NA NA NA "M831"
2860 110 "M831" "M831" "2015" "2013" "Adult" "F" "M831" "M831" NA NA NA NA NA "M831"
2876 120 "M831" "M831" "2015" "2013" "Adult" "M" "M831" "M831" "M831" "M831" "M831" "M831" "M831" NA
274 120 "M831" "M831" "2013" "2013" "Adult" "F" "M831" "M831" "M831" "M831" "M831" "M831" "M831" NA
3614 132 "M831" "M831" "2016" "2013" "Adult" "M" "M831" NA NA NA NA NA NA NA
668 135 "M831" "M831" "2013" "2013" "Adult" "F" "M831" "M831" "M831" NA "M831" NA NA NA
3664 142 "M831" "M831" "2016" "2013" "Adult" "M" "M831" "M831" NA "M831" "M831" NA NA NA
283 142 "M831" "M831" "2013" "2013" "Adult" "M" "M831" "M831" NA "M831" "M831" NA NA NA
2902 149 "M831" "M831" "2015" "2013" "Adult" "F" "M831" "M831" "M831" NA "M831" "M831" NA NA
1970 149 "M831" "M831" "2014" "2013" "Adult" "F" "M831" "M831" "M831" NA "M831" "M831" NA NA
3663 156 "M831" "M831" "2016" "2013" "Adult" "F" "M831" "M831" "M831" NA NA NA "M831" NA
665 156 "M831" "M831" "2013" "2013" "Adult" "F" "M831" "M831" "M831" NA NA NA "M831" NA
1951 156 "M831" "M831" "2014" "2013" "Adult" "F" "M831" "M831" "M831" NA NA NA "M831" NA
2627 161 "PP1" "PP1" "2015" "2013" "Adult" "M" "PP1" "PP1" "PP1" NA "PP3" NA NA NA
823 161 "PP1" "PP1" "2013" "2013" "Adult" "F" "PP1" "PP1" "PP1" NA "PP3" NA NA NA
3642 168 "M831" "M831" "2016" "2013" "Adult" "F" "M831" "M831" "M831" NA NA "M831" "M831" "M831"
206 177 "M831" "M831" "2013" "2013" "Adult" "M" "M831" "M831" "M831" NA "M831" NA NA NA
1977 177 "M831" "M831" "2014" "2013" "Adult" "F" "M831" "M831" "M831" NA "M831" NA NA NA
3619 185 "M831" "M831" "2016" "2013" "Adult" "M" "M831" "M831" NA NA "M831" NA NA NA
260 196 "M831" "M831" "2013" "2013" "Adult" "F" "M831" "M831" NA NA NA NA NA NA
663 196 "M831" "M831" "2013" "2013" "Adult" "F" "M831" "M831" NA NA NA NA NA NA
466 196 "M831" "M831" "2013" "2013" "Adult" "F" "M831" "M831" NA NA NA NA NA NA
2897 196 "M831" "M831" "2015" "2013" "Adult" "M" "M831" "M831" NA NA NA NA NA NA
282 209 "M831" "M831" "2013" "2013" "Adult" "F" "M831" "M831" NA NA NA NA "M831" NA
3670 209 "M831" "M831" "2016" "2013" "Adult" "F" "M831" "M831" NA NA NA NA "M831" NA
2867 209 "M831" "M831" "2015" "2013" "Adult" "F" "M831" "M831" NA NA NA NA "M831" NA
3635 223 "M831" "M831" "2016" "2013" "Adult" "M" "M831" "M831" "M831" NA "M831" "M831" "M831" "M831"
1150 223 "M831" "M831" "2013" "2013" "Adult" "M" "M831" "M831" "M831" NA "M831" "M831" "M831" "M831"
462 226 "M831" "M831" "2013" "2013" "Adult" "M" "M831" NA NA NA "M831" NA NA NA
1952 226 "M831" "M831" "2014" "2013" "Adult" "F" "M831" NA NA NA "M831" NA NA NA
3631 226 "M831" "M831" "2016" "2013" "Adult" "M" "M831" NA NA NA "M831" NA NA NA
189 230 "M831" "M831" "2013" "2013" "Adult" "F" "M831" NA NA NA NA NA NA NA
2870 230 "M831" "M831" "2015" "2013" "Adult" "F" "M831" NA NA NA NA NA NA NA
3680 234 "M831" "M831" "2016" "2013" "Adult" "F" "M831" "M831" NA "M831" "M831" NA NA "M831"
2811 237 "M831" "M831" "2015" "2013" "Adult" "F" "M831" NA NA "M831" "M831" NA NA NA
198 243 "M831" "M831" "2013" "2013" "Adult" "F" "M831" "M831" "M831" NA "M831" NA NA NA
3639 243 "M831" "M831" "2016" "2013" "Adult" "F" "M831" "M831" "M831" NA "M831" NA NA NA
1973 243 "M831" "M831" "2014" "2013" "Adult" "F" "M831" "M831" "M831" NA "M831" NA NA NA
1945 244 "M831" "M831" "2014" "2013" "Adult" "F" "M831" NA NA "M831" "M831" NA NA NA
1153 244 "M831" "M831" "2013" "2013" "Adult" "M" "M831" NA NA "M831" "M831" NA NA NA
458 285 "M831" "M831" "2013" "2013" "Adult" "F" "M831" "M831" NA "M831" NA NA NA NA
1960 285 "M831" "M831" "2014" "2013" "Adult" "F" "M831" "M831" NA "M831" NA NA NA NA
166 297 "M831" "M831" "2013" "2013" "Adult" "F" "M831" NA "M831" NA NA NA NA NA
3643 297 "M831" "M831" "2016" "2013" "Adult" "M" "M831" NA "M831" NA NA NA NA NA
2834 297 "M831" "M831" "2015" "2013" "Adult" "F" "M831" NA "M831" NA NA NA NA NA
3154 299 "M811" "M811" "2015" "2013" "Adult" "M" "M811" NA NA NA "M811" "M811" NA "M811"
2881 301 "M831" "M831" "2015" "2013" "Adult" "M" "M831" "M831" "M831" NA "M831" NA "M831" "M831"
261 301 "M831" "M831" "2013" "2013" "Adult" "F" "M831" "M831" "M831" NA "M831" NA "M831" "M831"
2192 305 "M811" "M811" "2014" "2013" "Adult" "F" "M811" "M811" "M811" "M811" NA "M811" NA NA
3126 305 "M811" "M811" "2015" "2013" "Adult" "F" "M811" "M811" "M811" "M811" NA "M811" NA NA
552 305 "M811" "M811" "2013" "2013" "Adult" "F" "M811" "M811" "M811" "M811" NA "M811" NA NA
3668 313 "M831" "M831" "2016" "2013" "Adult" "F" "M831" NA "M831" NA NA NA NA NA
2871 313 "M831" "M831" "2015" "2013" "Adult" "F" "M831" NA "M831" NA NA NA NA NA
207 313 "M831" "M831" "2013" "2013" "Adult" "M" "M831" NA "M831" NA NA NA NA NA
551 315 "M811" "M811" "2013" "2013" "Adult" "F" "M811" "M811" "M811" "M811" "M811" NA "M811" "M811"
2165 315 "M811" "M811" "2014" "2013" "Adult" "M" "M811" "M811" "M811" "M811" "M811" NA "M811" "M811"
557 316 "M811" "M811" "2013" "2013" "Adult" "F" "M811" "M811" "M811" "M811" "M811" "M811" "M811" "M811"
2179 326 "M811" "M811" "2014" "2013" "Adult" "F" "M811" "M811" NA "M811" NA NA "M811" "M811"
538 326 "M811" "M811" "2013" "2013" "Adult" "M" "M811" "M811" NA "M811" NA NA "M811" "M811"
2622 327 "PP1" "PP1" "2015" "2013" "Adult" "M" "PP1" "PP1" NA "PP1" NA "PP1" "PP1" NA
2176 333 "M811" "M811" "2014" "2013" "Adult" "F" "M811" "M811" "M811" "M811" NA "M811" NA "M811"
3149 333 "M811" "M811" "2015" "2013" "Adult" "M" "M811" "M811" "M811" "M811" NA "M811" NA "M811"
555 333 "M811" "M811" "2013" "2013" "Adult" "F" "M811" "M811" "M811" "M811" NA "M811" NA "M811"
3961 333 "M811" "M811" "2016" "2013" "Adult" "M" "M811" "M811" "M811" "M811" NA "M811" NA "M811"
318 333 "M811" "M811" "2013" "2013" "Adult" "F" "M811" "M811" "M811" "M811" NA "M811" NA "M811"
2155 336 "M811" "M811" "2014" "2013" "Adult" "F" "M811" "M811" NA NA NA NA "M811" "M811"
320 336 "M811" "M811" "2013" "2013" "Adult" "F" "M811" "M811" NA NA NA NA "M811" "M811"
351 348 "M811" "M811" "2013" "2013" "Adult" "M" "M811" "M811" "M811" "M811" "M811" "M811" NA "M811"
3142 350 "M811" "M811" "2015" "2013" "Juv" "F" NA "M811" NA "M811" "M811" NA "M811" NA
