idind	rha101	rha101b	rha109	rha109b	rha4	rha4b	rha7	rha7b	rhc108	rhc108b	rhc3	rhc3b	rhd102	rhd102b	rhd103	rhd103b	idcol	sexe	ageWhenFirstCaptur	yearWhenFirstCaptur	col2015_1	col2015_2	col2016_1	col2016_2	col2017_1	col2017_2
1	125	125	183	183	280	280	222	222	226	226	165	165	238	243	208	216	19	F	Adult	2016	NA	NA	NA	NA	NA	NA
2	136	136	186	190	288	288	226	228	215	228	169	177	247	247	208	212	8	F	Adult	2016	NA	NA	NA	NA	NA	NA
3	0	0	190	190	290	293	231	233	0	0	173	173	263	263	224	228	16	F	Juv	2017	NA	NA	NA	NA	NA	NA
4	134	136	186	186	0	0	228	229	214	214	169	169	243	243	212	228	20	F	Adult	2015	NA	NA	NA	NA	NA	NA
5	136	136	186	186	290	290	237	237	215	218	169	169	243	243	212	212	18	F	Adult	2015	NA	NA	NA	NA	NA	NA
6	136	136	0	0	268	268	228	229	0	0	169	169	238	238	212	212	9	F	Adult	2015	NA	NA	NA	NA	NA	NA
7	136	136	190	190	288	288	224	226	214	214	169	169	259	259	228	228	17	F	Adult	2015	NA	NA	NA	NA	NA	NA
8	136	136	186	186	268	271	228	228	0	0	0	0	238	238	212	212	9	F	Juv	2017	NA	NA	NA	NA	NA	NA
9	134	136	186	186	0	0	226	228	215	215	177	177	247	247	220	220	17	M	Adult	2015	NA	NA	NA	NA	NA	NA
10	134	134	186	186	268	288	226	228	214	214	169	169	251	251	212	212	14	M	Juv	2017	NA	NA	NA	NA	NA	NA
11	136	150	186	186	262	262	222	229	215	230	0	0	238	238	212	212	9	M	Adult	2016	NA	NA	NA	NA	NA	NA
12	136	136	186	186	0	0	235	235	214	218	177	177	243	243	212	220	3	M	Adult	2015	NA	NA	NA	NA	NA	NA
13	132	132	175	184	265	284	226	226	0	0	0	0	243	243	212	212	3	M	Adult	2016	NA	NA	NA	NA	NA	NA
14	134	136	186	186	248	248	228	228	215	215	169	185	243	255	224	228	18	M	Juv	2015	NA	NA	NA	NA	NA	NA
15	136	136	186	186	268	286	226	228	0	0	169	169	243	247	212	220	1	M	Juv	2016	NA	NA	NA	NA	NA	NA
16	0	0	183	183	286	288	226	231	214	214	169	169	243	247	208	212	14	M	Adult	2016	NA	NA	NA	NA	NA	NA
17	0	0	186	186	268	268	228	228	0	0	169	169	238	259	212	220	8	M	Juv	2017	NA	NA	NA	NA	NA	NA
18	134	134	186	188	0	0	228	229	215	215	169	169	0	0	212	212	16	F	Juv	2015	NA	NA	NA	NA	NA	NA
19	134	136	186	190	286	288	226	226	214	214	169	177	255	259	228	236	7	F	Juv	2017	NA	NA	NA	NA	NA	NA
20	125	125	183	186	0	0	228	237	214	215	177	177	243	263	220	220	18	F	Juv	2015	NA	NA	NA	NA	NA	NA
21	134	134	177	186	288	290	228	228	0	0	169	169	243	243	220	228	6	F	Adult	2017	NA	NA	NA	NA	NA	NA
22	134	136	177	190	268	290	228	228	0	0	169	177	247	255	220	220	4	F	Juv	2017	NA	NA	NA	NA	NA	NA
23	134	136	186	186	268	286	226	228	215	215	169	177	247	255	212	220	15	F	Juv	2016	NA	NA	NA	NA	NA	NA
24	134	136	186	186	286	288	228	229	0	0	169	169	238	238	220	228	13	F	Adult	2016	NA	NA	NA	NA	NA	NA
25	136	136	188	188	286	288	228	229	0	0	169	169	247	247	208	220	16	F	Juv	2017	NA	NA	NA	NA	NA	NA
26	136	136	177	186	288	288	226	228	214	214	169	177	255	255	220	232	1	F	Juv	2015	NA	NA	NA	NA	NA	NA
27	136	136	186	186	268	268	228	228	0	0	169	177	259	259	212	212	13	F	Juv	2017	NA	NA	NA	NA	NA	NA
