  1        1    (0)   19 :  0.000 | Pop 1: 0.000  | Pop 2: 0.000  | Pop 3: 0.000  | Pop 4: 0.000  | Pop 5: 1.000  | Pop 6: 0.000  | Pop 7: 0.000  | Pop 8: 0.000  | Pop 9: 0.000  | Pop 10: 0.000  | Pop 11: 0.000  | Pop 12: 0.000  | Pop 13: 0.000  | Pop 14: 0.000  | Pop 15: 0.000  | Pop 16: 0.000  | Pop 17: 0.000  | Pop 18: 0.000  | Pop 20: 0.000  |  ***
 21       42    (0)   19 :  0.994 | Pop 1: 0.000  | Pop 2: 0.000  | Pop 3: 0.000  | Pop 4: 0.000  | Pop 5: 0.000  | Pop 6: 0.000  | Pop 7: 0.003  | Pop 8: 0.000  | Pop 9: 0.000  | Pop 10: 0.000  | Pop 11: 0.000  | Pop 12: 0.000  | Pop 13: 0.000  | Pop 14: 0.001  | Pop 15: 0.000  | Pop 16: 0.000  | Pop 17: 0.000  | Pop 18: 0.000  | Pop 20: 0.000  |  
 22       44   (12)    7 :  0.996 | Pop 1: 0.000  | Pop 2: 0.000  | Pop 3: 0.000  | Pop 4: 0.000  | Pop 5: 0.000  | Pop 6: 0.000  | Pop 8: 0.000  | Pop 9: 0.000  | Pop 10: 0.000  | Pop 11: 0.000  | Pop 12: 0.000  | Pop 13: 0.000  | Pop 14: 0.001  | Pop 15: 0.000  | Pop 16: 0.000  | Pop 17: 0.000  | Pop 18: 0.000  | Pop 19: 0.001  | Pop 20: 0.001  |  
 23       45    (0)   17 :  0.979 | Pop 1: 0.005  | Pop 2: 0.000  | Pop 3: 0.001  | Pop 4: 0.001  | Pop 5: 0.000  | Pop 6: 0.004  | Pop 7: 0.001  | Pop 8: 0.000  | Pop 9: 0.000  | Pop 10: 0.001  | Pop 11: 0.000  | Pop 12: 0.000  | Pop 13: 0.000  | Pop 14: 0.001  | Pop 15: 0.001  | Pop 16: 0.000  | Pop 18: 0.001  | Pop 19: 0.000  | Pop 20: 0.003  |  
694     1917   (25)   14 :  0.999 | Pop 1: 0.000  | Pop 2: 0.000  | Pop 3: 0.000  | Pop 4: 0.000  | Pop 5: 0.001  | Pop 6: 0.000  | Pop 7: 0.000  | Pop 8: 0.000  | Pop 9: 0.000  | Pop 10: 0.000  | Pop 11: 0.000  | Pop 12: 0.000  | Pop 13: 0.000  | Pop 15: 0.000  | Pop 16: 0.000  | Pop 17: 0.000  | Pop 18: 0.000  | Pop 19: 0.000  | Pop 20: 0.000  |  
695     1918   (12)    1 :  0.534 | Pop 2: 0.000  | Pop 3: 0.012  | Pop 4: 0.020  | Pop 5: 0.002  | Pop 6: 0.001  | Pop 7: 0.003  | Pop 8: 0.132  | Pop 9: 0.000  | Pop 10: 0.011  | Pop 11: 0.000  | Pop 12: 0.000  | Pop 13: 0.023  | Pop 14: 0.175  | Pop 15: 0.016  | Pop 16: 0.000  | Pop 17: 0.011  | Pop 18: 0.050  | Pop 19: 0.009  | Pop 20: 0.003  |  
696     1920    (0)   13 :  0.998 | Pop 1: 0.000  | Pop 2: 0.000  | Pop 3: 0.000  | Pop 4: 0.000  | Pop 5: 0.000  | Pop 6: 0.000  | Pop 7: 0.000  | Pop 8: 0.001  | Pop 9: 0.000  | Pop 10: 0.000  | Pop 11: 0.000  | Pop 12: 0.000  | Pop 14: 0.000  | Pop 15: 0.000  | Pop 16: 0.000  | Pop 17: 0.000  | Pop 18: 0.000  | Pop 19: 0.000  | Pop 20: 0.000  |  
697     1921   (12)    4 :  0.999 | Pop 1: 0.000  | Pop 2: 0.000  | Pop 3: 0.000  | Pop 5: 0.000  | Pop 6: 0.000  | Pop 7: 0.000  | Pop 8: 0.000  | Pop 9: 0.000  | Pop 10: 0.000  | Pop 11: 0.000  | Pop 12: 0.000  | Pop 13: 0.000  | Pop 14: 0.000  | Pop 15: 0.000  | Pop 16: 0.000  | Pop 17: 0.000  | Pop 18: 0.000  | Pop 19: 0.000  | Pop 20: 0.000  |  
698     1923   (25)    8 :  0.998 | Pop 1: 0.000  | Pop 2: 0.000  | Pop 3: 0.000  | Pop 4: 0.000  | Pop 5: 0.000  | Pop 6: 0.000  | Pop 7: 0.000  | Pop 9: 0.000  | Pop 10: 0.000  | Pop 11: 0.000  | Pop 12: 0.000  | Pop 13: 0.000  | Pop 14: 0.001  | Pop 15: 0.000  | Pop 16: 0.000  | Pop 17: 0.000  | Pop 18: 0.000  | Pop 19: 0.000  | Pop 20: 0.000  |  
699     1924   (25)   17 :  0.819 | Pop 1: 0.000  | Pop 2: 0.000  | Pop 3: 0.000  | Pop 4: 0.003  | Pop 5: 0.000  | Pop 6: 0.001  | Pop 7: 0.000  | Pop 8: 0.048  | Pop 9: 0.000  | Pop 10: 0.001  | Pop 11: 0.000  | Pop 12: 0.000  | Pop 13: 0.006  | Pop 14: 0.074  | Pop 15: 0.006  | Pop 16: 0.000  | Pop 18: 0.033  | Pop 19: 0.006  | Pop 20: 0.003  |  
700     1927   (25)   14 :  0.998 | Pop 1: 0.000  | Pop 2: 0.000  | Pop 3: 0.000  | Pop 4: 0.000  | Pop 5: 0.000  | Pop 6: 0.000  | Pop 7: 0.000  | Pop 8: 0.000  | Pop 9: 0.000  | Pop 10: 0.000  | Pop 11: 0.000  | Pop 12: 0.000  | Pop 13: 0.000  | Pop 15: 0.000  | Pop 16: 0.000  | Pop 17: 0.000  | Pop 18: 0.000  | Pop 19: 0.000  | Pop 20: 0.000  |  
