"offspring" "father" "distance"
"Thu33" "Thu26" 39.5164263239586
"Thu26" "Thu30" 68.6520697596306
"Thu20" "Thu22" 13.1764277667108
"Thu21" "Thu32" 84.8238560279927
"Thu32" "Thu23" 21.4197923371146
"Thu36" "Thu21" 88.9080969945041
"Thu33" "Thu35" 78.0024840189843
"Thu37" "Thu31" 50.5153510342852
"Thu32" "Thu26" 33.8010447845711
"Thu37" "Thu23" 10.2145159427307
"Thu23" "Thu37" 10.2145159427307
"Thu39" "Thu20" 2.3181180279891
"Thu22" "Thu26" 4.06083231498376
"Thu39" "Thu32" 24.062085153401
"Thu29" "Thu20" 5.89775861457758
"Thu22" "Thu33" 43.5662774878563
"Thu37" "Thu36" 14.2727536961952
"Thu35" "Thu29" 89.0957653104614
"Thu35" "Thu26" 84.1131514474765
"Thu39" "Thu36" 24.9301529717749
"Thu20" "Thu26" 9.32954850784012
"Thu27" "Thu32" 4.27326556486453
"Thu32" "Thu31" 46.7355685269251
"Thu39" "Thu35" 84.2856881087539
"Thu22" "Thu33" 43.5662774878563
"Thu27" "Thu22" 40.7018517753994
"Thu32" "Thu34" 24.398068493657
"Thu32" "Thu22" 37.8555347308601
"Thu20" "Thu33" 30.7729109293125
"Thu23" "Thu26" 12.9404098970543
"Thu26" "Thu33" 39.5164263239586
"Thu34" "Thu26" 16.1191453461206
"Thu29" "Thu27" 28.4008068391177
"Thu26" "Thu37" 21.3023129299571
"Thu36" "Thu26" 35.5721119823516
"Thu26" "Thu30" 68.6520697596306
"Thu33" "Thu32" 7.58138384288136
"Thu32" "Thu32" 0
"Thu32" "Thu32" 0
"Thu26" "Thu22" 4.06083231498376
"Thu26" "Thu37" 21.3023129299571
"Thu31" "Thu30" 69.2898099391855
"Thu22" "Thu21" 59.4242066129046
"Thu31" "Thu39" 56.4221749918086
"Thu30" "Thu33" 98.6556533834969
"Thu30" "Thu30" 0
"Thu26" "Thu22" 4.06083231498376
"Thu22" "Thu31" 58.9024765878302
"Thu26" "Thu26" 0
"Thu26" "Thu32" 33.8010447845711
"Thu22" "Thu20" 13.1764277667108
"Thu36" "Thu39" 24.9301529717749
"Thu20" "Thu28" 71.6020269441966
"Thu22" "Thu32" 37.8555347308601
"Thu27" "Thu23" 24.7197399230898
"Thu22" "Thu37" 25.3563722364295
"Thu36" "Thu28" 91.8778862432135
"Thu22" "Thu36" 39.6230819504856
"Thu20" "Thu32" 25.7168566644547
"Thu26" "Thu39" 11.6303422699273
"Thu22" "Thu26" 4.06083231498376
"Thu33" "Thu28" 95.4160226016652
"Thu31" "Thu26" 56.6993966830725
"Thu26" "Thu39" 11.6303422699273
"Thu31" "Thu32" 46.7355685269251
"Thu20" "Thu22" 13.1764277667108
"Thu31" "Thu30" 69.2898099391855
"Thu31" "Thu37" 50.5153510342852
"Thu22" "Thu36" 39.6230819504856
"Thu21" "Thu32" 84.8238560279927
"Thu33" "Thu31" 52.5483362794603
"Thu31" "Thu30" 69.2898099391855
"Thu30" "Thu25" 86.0879694300651
"Thu26" "Thu22" 4.06083231498376
"Thu26" "Thu33" 39.5164263239586
"Thu32" "Thu27" 4.27326556486453
"Thu25" "Thu32" 24.4379427837925
"Thu25" "Thu37" 12.9354682533727
"Thu33" "Thu22" 43.5662774878563
"Thu22" "Thu22" 0
"Thu33" "Thu32" 7.58138384288136
"Thu32" "Thu21" 84.8238560279927
"Thu33" "Thu32" 7.58138384288136
"Thu33" "Thu33" 0
"Thu31" "Thu20" 56.033495933341
"Thu32" "Thu21" 84.8238560279927
"Thu35" "Thu20" 83.870985779872
"Thu35" "Thu33" 78.0024840189843
"Thu33" "Thu37" 18.2187817539965
"Thu21" "Thu26" 61.7156753036554
"Thu39" "Thu37" 11.1471880917597
"Thu28" "Thu33" 95.4160226016652
"Thu25" "Thu21" 79.2038127338784
"Thu22" "Thu36" 39.6230819504856
"Thu31" "Thu32" 46.7355685269251
"Thu33" "Thu36" 3.94670703086276
"Thu32" "Thu23" 21.4197923371146
"Thu28" "Thu30" 8.68801725205861
"Thu32" "Thu37" 12.92108965814
"Thu33" "Thu37" 18.2187817539965
"Thu35" "Thu30" 79.9800687884678
"Thu23" "Thu33" 27.8438087533574
"Thu26" "Thu39" 11.6303422699273
"Thu20" "Thu32" 25.7168566644547
"Thu37" "Thu26" 21.3023129299571
"Thu29" "Thu32" 26.8343084916314
"Thu33" "Thu32" 7.58138384288136
"Thu33" "Thu32" 7.58138384288136
"Thu29" "Thu32" 26.8343084916314
"Thu42" "Thu37" 20.9699509233902
"Thu26" "Thu32" 33.8010447845711
"Thu20" "Thu32" 25.7168566644547
"Thu20" "Thu22" 13.1764277667108
"Thu35" "Thu33" 78.0024840189843
"Thu25" "Thu21" 79.2038127338784
"Thu32" "Thu32" 0
"Thu33" "Thu29" 30.6190568563393
"Thu33" "Thu39" 28.8125940989446
"Thu22" "Thu31" 58.9024765878302
"Thu36" "Thu22" 39.6230819504856
"Thu39" "Thu32" 24.062085153401
"Thu31" "Thu28" 70.7728410218982
"Thu27" "Thu32" 4.27326556486453
"Thu36" "Thu20" 26.8622975749727
"Thu37" "Thu33" 18.2187817539965
"Thu33" "Thu27" 3.35846211117625
"Thu32" "Thu39" 24.062085153401
"Thu33" "Thu21" 92.3488554377585
"Thu37" "Thu36" 14.2727536961952
"Thu35" "Thu32" 73.0809386427363
"Thu27" "Thu32" 4.27326556486453
"Thu26" "Thu37" 21.3023129299571
"Thu20" "Thu26" 9.32954850784012
"Thu22" "Thu26" 4.06083231498376
"Thu20" "Thu20" 0
"Thu20" "Thu32" 25.7168566644547
"Thu23" "Thu29" 13.4415876369242
"Thu20" "Thu26" 9.32954850784012
"Thu32" "Thu28" 87.951198101613
"Thu37" "Thu33" 18.2187817539965
"Thu37" "Thu32" 12.92108965814
"Thu34" "Thu32" 24.398068493657
"Thu22" "Thu30" 66.3959413820308
"Thu33" "Thu34" 27.7526390305197
"Thu32" "Thu37" 12.92108965814
"Thu20" "Thu31" 56.033495933341
"Thu25" "Thu32" 24.4379427837925
"Thu33" "Thu25" 27.305040902111
"Thu32" "Thu39" 24.062085153401
"Thu39" "Thu32" 24.062085153401
"Thu33" "Thu37" 18.2187817539965
"Thu39" "Thu21" 72.0067408304267
"Thu33" "Thu37" 18.2187817539965
"Thu20" "Thu27" 28.0966754371321
"Thu26" "Thu39" 11.6303422699273
"Thu31" "Thu33" 52.5483362794603
"Thu31" "Thu39" 56.4221749918086
"Thu31" "Thu23" 47.8923993592145
"Thu31" "Thu26" 56.6993966830725
"Thu22" "Thu26" 4.06083231498376
"Thu26" "Thu39" 11.6303422699273
"Thu31" "Thu35" 27.8653636587386
"Thu32" "Thu33" 7.58138384288136
"Thu37" "Thu37" 0
"Thu22" "Thu31" 58.9024765878302
"Thu26" "Thu32" 33.8010447845711
"Thu26" "Thu38" 17.9588737413766
"Thu32" "Thu26" 33.8010447845711
"Thu22" "Thu37" 25.3563722364295
"Thu20" "Thu35" 83.870985779872
"Thu39" "Thu30" 78.8546775666745
"Thu33" "Thu22" 43.5662774878563
"Thu36" "Thu31" 51.5082104564613
"Thu26" "Thu26" 0
"Thu36" "Thu32" 4.92844036530481
"Thu31" "Thu21" 65.5522916474647
"Thu31" "Thu33" 52.5483362794603
"Thu35" "Thu39" 84.2856881087539
"Thu31" "Thu37" 50.5153510342852
"Thu31" "Thu39" 56.4221749918086
"Thu31" "Thu31" 0
"Thu31" "Thu31" 0
"Thu31" "Thu32" 46.7355685269251
"Thu31" "Thu32" 46.7355685269251
"Thu21" "Thu37" 77.0475842007486
"Thu31" "Thu26" 56.6993966830725
"Thu21" "Thu36" 88.9080969945041
"Thu31" "Thu38" 54.0652181686866
"Thu30" "Thu32" 91.1041818358315
"Thu39" "Thu20" 2.3181180279891
"Thu30" "Thu32" 91.1041818358315
"Thu31" "Thu20" 56.033495933341
"Thu22" "Thu28" 60.5534141127548
"Thu25" "Thu20" 9.48631367038535
"Thu22" "Thu38" 21.9267546646606
"Thu31" "Thu39" 56.4221749918086
"Thu37" "Thu32" 12.92108965814
"Thu22" "Thu20" 13.1764277667108
"Thu36" "Thu35" 77.6062573117464
"Thu39" "Thu32" 24.062085153401
"Thu30" "Thu26" 68.6520697596306
"Thu36" "Thu30" 95.2773178875634
"Thu36" "Thu26" 35.5721119823516
"Thu32" "Thu20" 25.7168566644547
"Thu36" "Thu26" 35.5721119823516
"Thu33" "Thu33" 0
"Thu33" "Thu20" 30.7729109293125
"Thu31" "Thu37" 50.5153510342852
"Thu36" "Thu35" 77.6062573117464
"Thu30" "Thu26" 68.6520697596306
"Thu21" "Thu27" 88.9906773928752
"Thu32" "Thu32" 0
"Thu30" "Thu36" 95.2773178875634
"Thu26" "Thu33" 39.5164263239586
"Thu26" "Thu30" 68.6520697596306
"Thu28" "Thu36" 91.8778862432135
"Thu33" "Thu27" 3.35846211117625
"Thu32" "Thu37" 12.92108965814
"Thu28" "Thu36" 91.8778862432135
"Thu28" "Thu26" 63.141028474706
"Thu30" "Thu26" 68.6520697596306
"Thu21" "Thu37" 77.0475842007486
