"offspring" "father" "occurences"
1089 1625 2
1092 1799 1
1153 1625 1
1160 1222 4
1187 1791 1
1189 1625 1
1206 1306 1
1223 1222 4
1230 1222 3
1232 1233 4
1234 1233 3
1238 1222 1
1252 1233 2
1254 1233 1
1256 1233 2
1622 1821 1
1642 1008 2
1644 1233 2
1694 1779 1
1698 1306 1
1777 1779 1
1793 1791 4
1794 1799 2
1795 1306 1
1812 1779 3
1822 1799 2
1823 1799 1
1830 1799 1
1838 1779 1
1839 1791 1
1935 281 1
1965 349 2
2004 281 1
2008 426 2
2063 281 1
2067 281 1
2069 281 1
2071 426 2
2190 281 1
2380 426 1
2392 869 3
2527 281 1
2645 349 3
2662 349 2
2714 349 2
2732 349 1
3052 426 2
3081 1008 1
3094 1779 2
3101 1821 1
3223 869 1
3350 1821 1
3355 1008 1
3367 1008 1
3391 1779 2
3399 1799 2
3446 1625 2
3500 1008 1
3511 869 1
3523 1233 1
3526 1233 1
3552 1625 1
3554 1233 1
3584 1625 2
3635 1233 2
3636 1233 3
3637 1233 4
3648 1233 3
4131 1222 2
4148 1222 6
4260 1799 1
4263 1625 1
4331 1791 6
4341 1779 2
4355 1799 1
4356 1779 1
4359 1779 3
4371 1625 2
4380 1791 1
4386 1779 2
4389 1799 1
4407 1799 2
4408 1821 3
4409 1799 2
4434 349 3
4437 1233 4
4462 1799 2
164 1236 1
252 161 2
360 842 1
844 842 1
845 842 1
847 1780 2
926 869 3
1014 1626 1
1016 842 1
1055 1780 1
1092 1791 1
1100 842 1
1107 1787 1
1109 1780 1
1113 1626 2
1149 1006 1
1153 1236 3
1158 1236 1
1206 1626 1
1220 1236 2
1221 1006 2
1229 1222 1
1253 1222 3
1641 1791 2
1642 1626 1
1677 4474 4
1703 1626 1
1743 1626 1
1781 842 1
1782 1829 3
1785 842 1
1815 1791 3
1816 1791 1
1818 1236 2
1822 1791 4
1824 1829 1
1825 1821 2
1828 1780 2
1845 1006 2
1978 64 3
2067 426 1
2304 64 2
2345 64 6
2380 161 2
2411 4474 3
2522 426 1
2526 426 1
3079 1006 2
3090 842 1
3102 842 1
3112 1006 2
3201 869 3
3261 4474 2
3314 1626 1
3337 1006 1
3383 1780 1
3392 842 1
3399 842 1
3420 842 1
3447 1236 1
3456 842 1
3476 1780 2
3496 1006 1
3535 1626 1
3548 1236 1
3554 1791 4
3636 1222 2
3637 1222 1
3648 1626 1
4155 1626 1
4160 1626 2
4201 1791 1
4267 1829 1
4313 1626 1
4320 842 1
4323 1780 2
4342 1236 1
4347 1236 1
4352 1780 1
4356 1829 2
4371 1236 2
4389 1829 3
4394 1787 2
4407 1780 2
4409 1787 4
19 822 2
165 315 1
207 315 1
252 315 1
361 1233 1
452 869 1
609 981 3
823 822 2
844 1222 3
861 822 1
882 822 1
922 869 1
923 822 2
929 822 2
933 822 1
1057 1756 1
1104 1787 1
1140 1026 1
1148 1222 1
1223 1791 2
1229 1756 1
1235 1233 3
1252 1756 1
1253 1233 2
1255 1756 1
1627 1787 1
1655 1787 1
1660 1233 2
1662 1233 1
1670 1756 1
1671 1787 1
1684 1787 1
1694 1026 1
1698 1787 1
1703 1756 1
1790 1779 1
1794 1791 2
1795 1778 3
1816 1026 1
1824 1787 2
2104 315 1
2190 315 1
2194 315 1
2526 1756 1
3089 1779 2
3207 822 2
3243 981 2
3346 1778 1
