idind	rha101	rha101b	rha109	rha109b	rha4	rha4b	rha7	rha7b	rhc108	rhc108b	rhc3	rhc3b	rhd102	rhd102b	rhd103	rhd103b	idcol	sexe	ageWhenFirstCaptur	yearWhenFirstCaptur	col2013_1	col2013_2	col2014_1	col2014_2	col2015_1	col2015_2	col2016_1	col2016_2
2454	125	136	186	186	288	288	233	235	211	216	177	177	243	259	220	232	M1106	F	Adult	2015	NA	NA	NA	NA	M1106	M1106	NA	NA
1866	136	138	175	188	288	290	239	241	216	220	169	173	243	247	220	224	M809	M	Adult	2014	NA	NA	M809	M809	NA	NA	NA	NA
373	136	138	177	186	290	290	228	231	216	220	169	177	247	251	216	220	M811	F	Adult	2013	M811	M811	NA	M811	NA	NA	M811	NA
3048	136	138	186	190	265	265	231	233	216	218	169	169	251	251	220	224	M815	M	Juv	2015	NA	NA	NA	NA	NA	M815	NA	M815
952	136	136	188	190	268	286	229	241	211	216	177	177	255	255	220	224	PP3	F	Adult	2013	PP3	M1106	M1106	NA	NA	M1106	M1106	M1106
1159	136	138	186	186	268	284	237	241	211	218	169	173	238	251	216	216	M1113	M	Juv	2013	NA	M1113	NA	NA	NA	NA	NA	NA
2055	136	138	183	188	286	288	237	239	216	216	169	173	238	243	220	224	M1106	F	Juv	2014	NA	NA	NA	M1106	M1106	M1106	M1106	M1106
1722	125	125	184	186	288	288	228	237	211	211	169	169	234	234	232	232	M1979	M	Adult	2014	NA	NA	M1979	NA	NA	NA	NA	NA
46	134	136	186	188	265	288	231	235	211	216	169	173	251	255	212	228	M1979	F	Adult	2013	M1979	NA	NA	NA	NA	NA	NA	NA
962	136	136	177	186	288	290	239	241	216	216	169	169	243	251	216	224	PP1	M	Juv	2013	NA	PP1	NA	NA	NA	PP1	NA	NA
6	134	136	186	188	286	288	229	229	211	216	169	169	255	255	212	220	M1979	F	Adult	2013	M1979	NA	M1979	NA	M1979	M1979	NA	NA
109	125	136	175	186	268	284	229	241	216	216	169	169	243	259	216	228	M831	F	Adult	2013	M831	NA	NA	NA	NA	NA	NA	NA
1567	136	138	186	186	284	288	231	233	216	218	169	169	247	251	220	224	M831	F	Adult	2013	M831	NA	NA	M831	NA	M831	M831	M831
2295	136	136	184	186	268	288	228	229	216	216	169	181	234	259	212	216	M1979	F	Juv	2014	NA	NA	NA	M1979	M1979	M1979	M1979	NA
1989	134	136	186	186	284	290	235	243	211	216	169	173	251	251	220	220	PP3	M	Juv	2014	NA	NA	NA	PP3	NA	NA	M1106	NA
797	136	138	177	190	265	288	228	235	216	218	169	173	251	251	228	228	M815	F	Adult	2013	M815	M815	NA	NA	NA	M815	M815	M815
2430	136	136	186	188	268	288	228	235	218	220	169	173	238	259	216	220	M811	F	Adult	2015	NA	NA	NA	NA	M811	NA	M811	NA
1253	134	146	175	186	268	286	229	235	211	216	173	177	243	251	220	220	PP3	F	Juv	2013	NA	PP3	NA	NA	NA	NA	PP3	NA
947	136	136	175	186	284	286	235	235	220	220	165	173	243	251	224	224	PP3	F	Juv	2013	NA	M1106	PP3	NA	NA	M1106	NA	M1106
921	136	138	188	190	265	265	233	237	210	216	169	173	238	251	212	220	M813	F	Adult	2013	M813	M813	M813	M813	NA	NA	NA	NA
2591	136	136	186	186	268	290	237	239	211	218	169	177	251	255	224	224	M1106	F	Adult	2015	NA	NA	NA	NA	M1106	M1106	NA	NA
3947	136	138	177	184	268	286	229	237	216	220	169	177	259	263	220	220	PP3	F	Adult	2016	NA	NA	NA	NA	NA	NA	PP3	NA
3699	132	136	186	186	284	288	239	241	210	210	169	177	251	251	220	224	M831	M	Juv	2016	NA	NA	NA	NA	NA	NA	NA	M831
317	136	136	177	188	288	290	231	233	216	220	169	177	251	255	220	224	M831	F	Adult	2013	M831	NA	NA	NA	NA	M831	NA	NA
1218	136	138	175	186	284	288	229	229	209	216	173	173	247	263	216	220	PP3	M	Juv	2013	NA	PP3	NA	NA	NA	NA	NA	NA
919	136	136	175	175	286	290	235	241	216	218	169	173	251	251	212	216	M813	F	Adult	2013	M813	NA	M813	M813	M813	NA	M813	NA
42	136	146	175	188	268	284	229	229	216	216	181	181	251	255	212	220	M1979	M	Adult	2013	M1979	NA	NA	NA	NA	NA	NA	NA
2337	136	138	175	188	284	288	229	241	216	220	173	177	251	251	216	224	M244	F	Adult	2014	NA	NA	M244	NA	M244	NA	NA	NA
3691	136	146	188	188	268	284	231	241	211	216	165	165	251	251	212	224	M831	F	Juv	2016	NA	NA	NA	NA	NA	NA	NA	M831
106	136	146	177	186	268	268	231	237	216	216	169	173	255	255	220	224	M831	M	Adult	2013	M831	NA	NA	NA	NA	NA	NA	NA
1173	136	136	173	177	268	288	229	237	216	220	169	177	255	259	224	224	M813	F	Juv	2013	NA	M813	NA	M813	NA	M813	NA	NA
129	136	142	177	188	284	290	231	237	216	216	169	169	247	255	220	224	M831	F	Adult	2013	M831	NA	M831	M831	NA	M831	M831	NA
3365	136	136	184	186	268	288	231	235	214	214	169	169	251	255	216	216	M1102	F	Juv	2016	NA	NA	NA	NA	NA	NA	NA	M1102
506	136	136	175	188	268	284	231	237	211	220	169	173	247	255	216	232	M244	F	Adult	2013	M244	NA	NA	M244	M244	M244	NA	NA
2499	136	136	186	186	286	288	237	237	216	220	173	177	255	263	220	220	M1113	F	Adult	2015	NA	NA	NA	NA	M1113	M1113	M1113	M1113
